ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Alabama A&M|W|76|52|24|51|.471|8|20|.400|20|29|.690|11|37|17|6|2|11|19||16|49|.327|7|19|.368|13|18|.722|7|22|10|3|3|12|22
2|2|2014-11-20|N|Texas A&M|W|55|53|19|52|.365|2|17|.118|15|20|.750|6|23|10|13|5|17|21||18|53|.340|3|11|.273|14|23|.609|19|41|11|5|2|21|18
3|3|2014-11-21|N|Connecticut|L|64|75|22|54|.407|3|14|.214|17|26|.654|7|30|11|3|2|12|19||25|55|.455|6|15|.400|19|24|.792|4|26|8|9|8|8|22
4|4|2014-11-23|N|Boston College|W|65|53|20|47|.426|6|21|.286|19|29|.655|6|29|12|4|0|12|21||17|50|.340|2|21|.095|17|20|.850|8|30|8|8|2|17|23
5|5|2014-11-29||Illinois-Chicago|W|75|41|27|52|.519|8|16|.500|13|18|.722|7|42|20|6|3|11|18||15|54|.278|7|23|.304|4|10|.400|9|24|10|5|4|11|17
6|6|2014-12-03|@|Miami (OH)|W|66|62|20|46|.435|4|20|.200|22|33|.667|9|25|11|9|3|11|15||22|45|.489|9|19|.474|9|15|.600|5|20|14|8|4|17|25
7|7|2014-12-06||Eastern Michigan|W|73|64|21|46|.457|5|14|.357|26|44|.591|8|38|17|3|1|11|15||22|59|.373|7|26|.269|13|17|.765|6|30|10|2|6|6|29
8|8|2014-12-09||Bowling Green State|W|56|52|17|46|.370|1|15|.067|21|29|.724|7|37|10|6|4|11|13||23|62|.371|4|17|.235|2|6|.333|9|36|10|6|3|10|20
9|9|2014-12-13|@|Arkansas|L|55|69|21|52|.404|5|18|.278|8|14|.571|4|19|14|7|0|15|21||24|49|.490|5|13|.385|16|21|.762|10|33|16|9|6|16|16
10|10|2014-12-20||Boston University|W|78|62|26|50|.520|11|23|.478|15|25|.600|7|30|15|9|1|11|18||21|42|.500|7|19|.368|13|21|.619|3|27|13|5|0|18|21
11|11|2014-12-23||Georgia Tech|W|75|61|21|46|.457|10|18|.556|23|31|.742|2|25|15|8|3|6|11||25|63|.397|4|20|.200|7|10|.700|11|34|12|1|6|13|20
12|12|2014-12-30||Mississippi|W|78|74|25|55|.455|8|20|.400|20|31|.645|7|32|16|7|4|10|15||28|67|.418|8|23|.348|10|12|.833|13|41|15|3|6|15|26
13|13|2015-01-03||Duquesne|W|81|55|30|53|.566|10|26|.385|11|22|.500|4|37|21|4|4|9|11||21|61|.344|5|24|.208|8|12|.667|9|34|11|4|2|11|17
14|14|2015-01-08|@|St. Bonaventure|W|78|61|29|52|.558|14|24|.583|6|7|.857|4|24|20|8|1|12|21||20|48|.417|3|14|.214|18|24|.750|10|29|9|3|5|13|14
15|15|2015-01-10|@|Fordham|W|76|58|26|43|.605|7|16|.438|17|20|.850|4|29|12|4|1|11|14||20|60|.333|5|20|.250|13|14|.929|11|23|11|5|1|6|19
16|16|2015-01-14||La Salle|W|61|50|23|48|.479|6|16|.375|9|16|.563|5|29|13|7|4|10|10||19|48|.396|4|10|.400|8|10|.800|4|27|12|1|4|14|18
