ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||Bluefield State|W|91|51|35|64|.547|14|25|.560|7|16|.438|15|45|24|8|2|11|16||16|59|.271|8|23|.348|11|16|.688|13|27|10|5|4|14|14
2|2|2014-11-22|@|Abilene Christian|W|102|81|34|57|.596|12|23|.522|22|34|.647|9|39|13|6|5|15|26||25|62|.403|6|14|.429|25|32|.781|9|27|11|6|1|11|26
3|3|2014-11-29||NJIT|L|81|84|26|61|.426|12|24|.500|17|24|.708|11|25|16|9|1|14|21||29|51|.569|12|24|.500|14|20|.700|9|25|21|6|3|21|22
4|4|2014-12-02||Howard|W|81|63|32|61|.525|9|24|.375|8|16|.500|13|36|22|5|7|13|19||22|59|.373|4|15|.267|15|23|.652|15|31|4|6|3|16|19
5|5|2014-12-05|N|Pittsburgh|L|62|76|22|59|.373|7|22|.318|11|19|.579|7|30|14|7|2|14|22||25|57|.439|6|17|.353|20|32|.625|12|42|20|6|5|10|18
6|6|2014-12-10|@|Penn State|L|62|64|23|57|.404|4|19|.211|12|21|.571|11|33|10|5|1|11|25||20|53|.377|4|19|.211|20|28|.714|10|31|8|6|5|11|20
7|7|2014-12-13|@|Robert Morris|L|59|75|19|61|.311|8|35|.229|13|25|.520|14|33|13|5|5|13|22||26|56|.464|5|11|.455|18|25|.720|13|41|16|8|8|15|23
8|8|2014-12-17||Saint Francis (PA)|L|52|67|18|48|.375|6|22|.273|10|18|.556|3|25|10|3|5|11|15||26|62|.419|8|22|.364|7|10|.700|13|41|15|4|2|10|17
9|9|2014-12-20||Massachusetts-Lowell|W|79|63|29|56|.518|12|20|.600|9|14|.643|7|32|21|3|6|13|20||22|53|.415|8|23|.348|11|17|.647|6|24|18|6|1|14|17
10|10|2014-12-28||Maryland-Eastern Shore|L|69|78|28|63|.444|9|26|.346|4|7|.571|11|27|15|8|2|9|16||28|49|.571|9|15|.600|13|19|.684|6|28|19|4|1|13|12
11|11|2014-12-30||Texas-Pan American|W|78|72|26|47|.553|5|14|.357|21|27|.778|9|38|14|3|5|22|18||24|63|.381|6|22|.273|18|25|.720|10|24|17|11|2|7|24
12|12|2015-01-03|@|Dayton|L|55|81|21|61|.344|5|24|.208|8|12|.667|9|34|11|4|2|11|17||30|53|.566|10|26|.385|11|22|.500|4|37|21|4|4|9|11
13|13|2015-01-07||Saint Joseph's|W|71|68|26|52|.500|11|20|.550|8|12|.667|4|29|15|0|5|11|14||28|68|.412|7|29|.241|5|7|.714|11|32|17|6|5|6|13
14|14|2015-01-10||Rhode Island|L|60|61|24|55|.436|4|16|.250|8|12|.667|7|26|10|6|5|13|13||21|57|.368|8|22|.364|11|13|.846|11|28|14|2|3|15|12
15|15|2015-01-14|@|Saint Louis|L|69|78|24|52|.462|8|19|.421|13|34|.382|9|34|12|6|2|10|22||25|55|.455|11|26|.423|17|25|.680|5|33|22|2|3|11|26
16|16|2015-01-17||Virginia Commonwealth|L|64|70|22|51|.431|6|21|.286|14|22|.636|12|40|13|3|3|16|21||23|59|.390|12|30|.400|12|20|.600|8|25|15|9|1|7|17
17|17|2015-01-22||St. Bonaventure|L (1 OT)|97|100|36|74|.486|14|28|.500|11|22|.500|15|35|22|3|4|9|19||34|68|.500|12|23|.522|20|28|.714|12|39|24|6|9|8|17
18|18|2015-01-24|@|George Washington|L|59|74|22|50|.440|5|15|.333|10|16|.625|8|22|9|7|1|9|16||25|52|.481|12|24|.500|12|18|.667|13|32|17|3|4|11|16
19|19|2015-01-28|@|Richmond|L|55|86|21|52|.404|6|19|.316|7|15|.467|7|24|10|7|2|13|14||30|56|.536|13|30|.433|13|14|.929|7|34|20|6|2|9|11
20|20|2015-01-31||George Mason|W|62|53|22|55|.400|4|18|.222|14|16|.875|11|41|13|3|5|16|19||16|62|.258|6|26|.231|15|23|.652|16|38|12|8|3|14|17
21|21|2015-02-07|@|Davidson|L|69|95|28|62|.452|6|22|.273|7|10|.700|9|28|14|4|2|13|12||38|63|.603|13|26|.500|6|12|.500|8|28|22|4|1|7|11
22|22|2015-02-11||George Washington|W|78|62|29|57|.509|10|21|.476|10|19|.526|13|40|18|3|4|7|17||23|72|.319|7|25|.280|9|16|.563|22|39|10|2|0|6|15
23|23|2015-02-14|@|Massachusetts|L|74|82|26|60|.433|5|21|.238|17|21|.810|9|31|19|5|1|11|25||24|56|.429|9|22|.409|25|39|.641|16|36|17|7|4|9|17
24|24|2015-02-18|@|La Salle|L|72|87|27|66|.409|9|24|.375|9|13|.692|11|37|18|9|1|17|19||30|62|.484|13|30|.433|14|17|.824|9|35|20|8|2|15|14
25|25|2015-02-21||Dayton|W|83|73|31|59|.525|6|17|.353|15|20|.750|5|38|21|7|2|14|17||25|63|.397|11|33|.333|12|19|.632|6|29|20|6|3|11|18
26|26|2015-02-25||Saint Louis|W|79|66|26|58|.448|11|28|.393|16|20|.800|7|28|19|8|2|10|18||24|56|.429|6|21|.286|12|19|.632|10|31|17|3|1|11|18
27|27|2015-02-28|@|St. Bonaventure|L|75|92|27|63|.429|3|15|.200|18|26|.692|13|38|13|3|0|9|27||26|57|.456|11|24|.458|29|41|.707|12|38|15|5|4|8|20
28|28|2015-03-04|@|Fordham|W|81|66|26|53|.491|10|22|.455|19|25|.760|7|29|14|5|4|10|8||27|66|.409|6|31|.194|6|8|.750|12|32|14|6|5|12|20
29|29|2015-03-07||Davidson|L|78|107|31|66|.470|8|20|.400|8|14|.571|10|31|16|4|1|5|14||40|65|.615|20|36|.556|7|12|.583|8|36|35|3|4|7|18
30|30|2015-03-11|N|Saint Louis|W|61|55|23|52|.442|6|19|.316|9|17|.529|7|46|12|7|12|18|12||21|69|.304|10|29|.345|3|6|.500|9|33|14|8|2|8|17
31|31|2015-03-12|N|George Washington|L|55|73|19|56|.339|10|20|.500|7|10|.700|10|28|15|3|5|6|13||27|59|.458|10|20|.500|9|13|.692|16|41|12|4|2|5|13
