ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Clemson|L|41|86|16|48|.333|0|7|.000|9|20|.450|9|33|6|3|1|23|26||32|66|.485|7|25|.280|15|26|.577|13|39|21|8|6|5|16
2|2|2014-11-15|@|South Carolina Upstate|L|65|78|25|60|.417|9|23|.391|6|7|.857|8|25|14|6|1|14|16||31|67|.463|10|30|.333|6|12|.500|19|43|19|11|4|12|11
3|3|2014-11-19|@|San Diego|L|41|72|16|49|.327|2|12|.167|7|14|.500|4|17|7|9|3|11|14||27|50|.540|4|17|.235|14|19|.737|10|39|11|8|5|13|14
4|4|2014-11-21|@|Grand Canyon|L|49|64|18|51|.353|2|10|.200|11|17|.647|8|29|4|2|1|13|15||24|59|.407|7|24|.292|9|11|.818|10|37|16|4|5|10|22
5|5|2014-11-24|@|Wyoming|L|45|66|18|49|.367|5|11|.455|4|7|.571|3|19|5|7|2|9|14||25|47|.532|7|21|.333|9|14|.643|9|33|21|3|2|13|9
6|6|2014-11-26|@|New Mexico State|L|33|78|12|52|.231|1|7|.143|8|11|.727|7|28|2|2|0|20|18||28|54|.519|6|17|.353|16|24|.667|8|40|19|12|5|13|14
7|7|2014-11-29|N|Stetson|L|50|62|19|50|.380|3|14|.214|9|16|.563|8|26|6|3|0|6|16||24|47|.511|8|19|.421|6|13|.462|9|36|17|4|5|10|20
8|8|2014-11-30|@|Northern Colorado|L|56|95|16|48|.333|1|9|.111|23|35|.657|4|23|6|3|1|11|13||34|59|.576|12|27|.444|15|20|.750|5|35|21|9|1|8|25
9|9|2014-12-06|@|South Carolina State|L|61|70|23|54|.426|7|18|.389|8|10|.800|8|28|14|4|3|21|15||27|62|.435|9|30|.300|7|16|.438|14|34|20|13|4|10|15
10|10|2014-12-19||North Florida|L|65|83|23|54|.426|3|10|.300|16|28|.571|7|28|14|6|1|17|24||27|49|.551|10|22|.455|19|29|.655|4|29|19|5|4|16|23
11|11|2014-12-22|@|East Carolina|L|57|75|21|50|.420|4|17|.235|11|20|.550|5|28|10|5|2|17|19||28|64|.438|7|23|.304|12|16|.750|7|32|17|12|2|11|18
12|12|2014-12-29||Florida International|L|55|76|19|45|.422|5|13|.385|12|24|.500|5|23|5|3|2|13|15||30|56|.536|9|24|.375|7|11|.636|6|31|16|7|0|11|21
13|13|2015-01-03|@|Stetson|L|60|65|22|60|.367|5|21|.238|11|19|.579|10|37|11|5|1|8|15||23|56|.411|7|28|.250|12|19|.632|8|36|20|4|2|10|17
14|14|2015-01-06||Jacksonville|L|56|79|14|44|.318|4|15|.267|24|31|.774|5|24|9|7|2|16|14||28|51|.549|9|15|.600|14|19|.737|7|34|17|6|2|15|21
15|15|2015-01-10||Norfolk State|L|51|75|20|63|.317|2|19|.105|9|20|.450|8|27|9|5|3|10|20||29|53|.547|7|19|.368|10|21|.476|10|44|14|5|7|17|17
16|16|2015-01-12||Hampton|L|63|78|17|50|.340|4|13|.308|25|38|.658|4|21|6|4|0|20|26||26|53|.491|6|18|.333|20|35|.571|9|38|17|13|6|20|32
17|17|2015-01-17|@|Morgan State|L|65|75|23|58|.397|5|14|.357|14|16|.875|8|32|10|1|2|12|19||26|66|.394|5|18|.278|18|27|.667|18|40|12|6|6|10|12
18|18|2015-01-19|@|Coppin State|L|75|87|27|61|.443|6|21|.286|15|24|.625|15|45|10|3|3|22|19||32|70|.457|12|33|.364|11|18|.611|10|30|22|11|2|12|16
19|19|2015-01-24||Howard|L|50|59|20|56|.357|6|23|.261|4|6|.667|11|24|12|7|0|13|18||19|46|.413|7|16|.438|14|21|.667|12|31|10|8|8|16|11
20|20|2015-01-26||Maryland-Eastern Shore|L|65|72|21|44|.477|1|11|.091|22|30|.733|8|33|8|2|4|14|32||21|51|.412|5|19|.263|25|38|.658|13|28|11|5|1|9|30
21|21|2015-01-31||Bethune-Cookman|L|44|61|15|44|.341|4|13|.308|10|15|.667|8|23|5|8|4|15|13||22|50|.440|7|18|.389|10|12|.833|11|31|12|9|5|11|14
22|22|2015-02-02|@|North Carolina Central|L|43|85|16|53|.302|3|14|.214|8|17|.471|4|17|8|4|2|11|15||31|57|.544|10|17|.588|13|15|.867|10|44|23|6|5|13|18
23|23|2015-02-09|@|Delaware State|L|74|90|23|59|.390|8|23|.348|20|24|.833|12|37|10|4|2|15|16||31|67|.463|14|29|.483|14|20|.700|12|37|17|7|4|9|18
24|24|2015-02-14||North Carolina A&T|W|57|50|19|49|.388|7|19|.368|12|17|.706|7|28|9|7|2|12|20||17|51|.333|3|13|.231|13|21|.619|13|33|8|5|4|14|20
25|25|2015-02-16||North Carolina Central|L|48|73|16|51|.314|5|13|.385|11|17|.647|4|21|5|4|4|9|16||25|52|.481|7|14|.500|16|22|.727|8|40|12|3|2|9|13
26|26|2015-02-21|@|Bethune-Cookman|L|57|64|22|54|.407|6|16|.375|7|9|.778|8|33|12|6|3|13|20||20|53|.377|6|27|.222|18|26|.692|13|37|10|5|4|12|15
27|27|2015-02-23|@|Savannah State|L|52|63|16|50|.320|2|8|.250|18|25|.720|9|30|7|9|9|13|19||26|59|.441|4|13|.308|7|20|.350|12|36|13|5|4|12|22
28|28|2015-02-28|@|North Carolina A&T|L|65|77|21|51|.412|6|17|.353|17|21|.810|7|25|13|6|1|9|18||28|60|.467|9|24|.375|12|15|.800|11|29|18|6|1|10|17
29|29|2015-03-05||Savannah State|W|64|57|22|43|.512|3|10|.300|17|29|.586|4|23|4|8|3|13|13||25|58|.431|2|15|.133|5|10|.500|10|29|1|6|0|13|18
