ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Pepperdine|L|74|89|28|59|.475|4|20|.200|14|23|.609|9|20|9|11|1|14|25||29|51|.569|5|15|.333|26|32|.813|7|30|14|7|2|16|23
2|2|2014-11-17||Bristol University|W|93|55|30|59|.508|9|22|.409|24|36|.667|15|41|19|11|6|10|14||19|54|.352|7|26|.269|10|14|.714|7|24|12|4|2|17|26
3|3|2014-11-20|@|Northern Arizona|L|52|73|16|43|.372|0|9|.000|20|27|.741|9|21|2|5|4|18|24||21|51|.412|8|19|.421|23|27|.852|16|29|11|6|5|13|23
4|4|2014-11-24|N|Evansville|L|52|58|19|48|.396|5|17|.294|9|14|.643|6|29|4|6|6|13|24||18|47|.383|5|18|.278|17|25|.680|6|25|14|4|2|10|17
5|5|2014-11-25|N|East Carolina|L|52|58|16|49|.327|5|24|.208|15|16|.938|3|23|7|4|1|8|21||19|44|.432|4|16|.250|16|25|.640|6|29|9|3|1|9|15
6|6|2014-11-26|N|Marist|L|64|68|26|61|.426|5|20|.250|7|13|.538|13|32|11|4|6|10|19||21|44|.477|9|21|.429|17|22|.773|4|21|10|4|4|11|12
7|7|2014-11-30||California|L|57|64|18|50|.360|5|15|.333|16|23|.696|1|28|5|5|3|11|17||25|55|.455|5|16|.313|9|16|.563|5|34|12|5|6|10|21
8|8|2014-12-03||California-Irvine|W|72|63|24|56|.429|3|11|.273|21|32|.656|11|40|11|10|4|13|20||23|65|.354|6|20|.300|11|20|.550|14|37|11|7|6|16|24
9|9|2014-12-06|@|Cal State Bakersfield|W|63|61|17|42|.405|6|15|.400|23|27|.852|4|24|8|5|4|11|25||20|45|.444|4|13|.308|17|28|.607|8|29|9|5|1|11|24
10|10|2014-12-10|@|Texas Tech|L|56|73|21|52|.404|5|20|.250|9|16|.563|9|24|9|10|5|17|20||25|52|.481|4|10|.400|19|22|.864|10|28|15|8|1|12|14
11|11|2014-12-13||Cal Poly|W|63|57|20|42|.476|7|20|.350|16|24|.667|5|28|12|6|7|13|20||17|57|.298|3|19|.158|20|27|.741|15|36|5|7|0|8|20
12|12|2014-12-20|@|Pacific|L|68|71|23|53|.434|4|13|.308|18|21|.857|7|24|10|9|6|8|20||27|52|.519|8|22|.364|9|10|.900|8|31|17|1|1|15|16
13|13|2014-12-28||St. Katherine|W|93|62|38|65|.585|6|13|.462|11|17|.647|13|41|22|15|2|14|11||24|57|.421|10|25|.400|4|7|.571|5|20|15|9|1|18|15
14|14|2014-12-31|@|New Mexico|L|64|76|22|57|.386|9|26|.346|11|13|.846|10|25|13|7|4|11|26||23|39|.590|8|10|.800|22|33|.667|7|30|17|6|4|13|13
15|15|2015-01-03||San Diego State|W|59|57|21|54|.389|3|13|.231|14|19|.737|3|22|6|11|6|6|15||21|50|.420|8|15|.533|7|13|.538|7|36|8|3|5|18|21
16|16|2015-01-07||Utah State|W|61|52|25|52|.481|3|17|.176|8|14|.571|7|36|14|5|7|11|14||21|51|.412|5|13|.385|5|13|.385|5|26|12|7|5|12|16
17|17|2015-01-10|@|Nevada|W|69|66|22|57|.386|8|17|.471|17|28|.607|13|29|10|8|2|7|22||24|58|.414|2|16|.125|16|23|.696|14|37|12|5|9|11|20
18|18|2015-01-14|@|San Jose State|W|73|62|26|50|.520|9|20|.450|12|16|.750|6|24|15|7|3|9|21||18|44|.409|6|21|.286|20|26|.769|10|29|7|5|2|17|13
19|19|2015-01-17||Wyoming|L (3 OT)|65|70|25|70|.357|7|34|.206|8|14|.571|10|38|13|10|1|12|24||25|56|.446|5|22|.227|15|26|.577|6|40|13|6|0|17|12
20|20|2015-01-24||Nevada|W|66|62|19|49|.388|6|21|.286|22|33|.667|6|29|11|8|7|10|25||18|59|.305|5|18|.278|21|29|.724|19|43|8|6|1|15|23
21|21|2015-01-27|@|San Diego State|L|47|58|19|52|.365|1|10|.100|8|9|.889|8|26|4|9|5|13|21||18|50|.360|2|6|.333|20|28|.714|16|38|4|4|7|16|9
22|22|2015-01-31|@|Colorado State|L|57|80|17|52|.327|6|19|.316|17|22|.773|3|27|6|8|1|10|20||31|64|.484|7|24|.292|11|17|.647|14|45|21|8|2|11|18
23|23|2015-02-04||San Jose State|W|81|63|27|53|.509|8|17|.471|19|28|.679|6|25|17|14|3|8|17||20|48|.417|6|16|.375|17|23|.739|7|29|10|3|2|18|21
24|24|2015-02-10|@|Nevada-Las Vegas|L|61|73|20|54|.370|5|14|.357|16|25|.640|9|33|8|8|4|11|26||22|56|.393|8|18|.444|21|32|.656|14|40|12|7|11|9|19
25|25|2015-02-14||Boise State|W|70|64|22|44|.500|9|21|.429|17|21|.810|6|25|11|9|1|10|17||22|46|.478|8|17|.471|12|16|.750|5|21|9|9|1|12|19
26|26|2015-02-18||Colorado State|L|73|81|28|60|.467|5|17|.294|12|24|.500|6|25|10|10|1|9|24||25|53|.472|7|16|.438|24|31|.774|9|37|14|4|3|15|20
27|27|2015-02-21|@|Utah State|L|79|85|28|57|.491|7|20|.350|16|18|.889|8|25|15|6|2|9|19||29|54|.537|10|21|.476|17|22|.773|8|27|20|5|2|9|12
28|28|2015-02-25|@|Wyoming|W|64|59|23|57|.404|6|15|.400|12|18|.667|7|27|6|8|4|4|17||20|43|.465|8|19|.421|11|17|.647|5|27|14|3|5|14|13
29|29|2015-02-28||New Mexico|W|59|55|22|42|.524|3|10|.300|12|21|.571|2|28|14|7|2|12|17||22|53|.415|1|8|.125|10|16|.625|7|30|12|6|4|13|22
30|30|2015-03-04||Air Force|W|68|66|24|54|.444|9|26|.346|11|16|.688|8|33|17|4|2|11|14||28|61|.459|5|20|.250|5|10|.500|5|29|18|6|0|7|16
31|31|2015-03-07|@|Boise State|L|52|71|16|46|.348|4|8|.500|16|22|.727|7|23|6|4|1|14|22||23|49|.469|9|27|.333|16|26|.615|10|28|12|7|1|12|21
32|32|2015-03-12|N|Colorado State|L|59|71|23|53|.434|7|15|.467|6|12|.500|5|28|11|6|3|11|23||20|52|.385|9|21|.429|22|31|.710|9|34|14|6|3|9|10
