ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||College of Charleston|L|40|75|10|41|.244|2|12|.167|18|35|.514|11|31|2|0|1|16|13||31|59|.525|11|21|.524|2|4|.500|7|34|20|8|4|7|27
2|2|2014-11-19||Appalachian State|W|84|65|29|53|.547|7|21|.333|19|29|.655|9|38|21|4|2|11|22||22|56|.393|4|16|.250|17|25|.680|7|25|9|6|2|7|20
3|3|2014-11-22||California-Davis|L|55|58|18|43|.419|6|24|.250|13|15|.867|8|21|8|6|2|13|12||24|46|.522|7|18|.389|3|7|.429|7|22|16|7|2|14|16
4|4|2014-11-26|@|Duke|L|54|93|19|56|.339|6|18|.333|10|12|.833|9|25|10|2|3|14|15||38|66|.576|11|29|.379|6|10|.600|13|39|24|5|4|7|17
5|5|2014-12-01|@|Liberty|L|52|66|19|57|.333|8|31|.258|6|11|.545|7|29|10|10|0|17|19||25|53|.472|4|12|.333|12|18|.667|6|40|13|9|4|18|14
6|6|2014-12-06||Samford|W|74|64|19|44|.432|7|17|.412|29|50|.580|9|41|11|9|1|17|21||21|59|.356|5|23|.217|17|25|.680|9|32|12|9|1|12|34
7|7|2014-12-09|@|Texas Christian|L|69|80|23|45|.511|8|20|.400|15|18|.833|5|20|12|4|1|15|29||28|47|.596|4|10|.400|20|34|.588|11|25|15|5|5|9|16
8|8|2014-12-13|@|Gardner-Webb|L|68|74|25|57|.439|8|19|.421|10|14|.714|5|30|7|3|3|14|25||27|58|.466|5|16|.313|15|33|.455|13|40|22|8|7|13|14
9|9|2014-12-19|@|Florida Gulf Coast|L|78|83|26|61|.426|6|23|.261|20|28|.714|9|28|7|9|2|12|17||30|62|.484|5|17|.294|18|24|.750|9|37|20|8|6|11|20
10|10|2014-12-22|@|Minnesota|L|76|86|28|59|.475|12|26|.462|8|11|.727|7|27|16|10|6|18|22||32|61|.525|6|19|.316|16|26|.615|13|35|17|15|4|14|12
11|11|2014-12-30||St. Andrews|W|72|35|26|54|.481|7|25|.280|13|18|.722|10|36|18|10|0|8|10||13|41|.317|4|15|.267|5|8|.625|2|21|8|3|2|20|16
12|12|2015-01-03|@|Chattanooga|L|60|72|20|45|.444|3|10|.300|17|24|.708|6|22|8|7|1|16|19||25|51|.490|6|18|.333|16|21|.762|11|30|12|8|6|12|18
13|13|2015-01-05|@|Western Carolina|L|53|72|15|44|.341|5|18|.278|18|26|.692|10|19|7|6|0|12|13||27|47|.574|8|15|.533|10|14|.714|10|30|14|8|8|12|19
14|14|2015-01-08||North Carolina-Greensboro|W|71|64|20|47|.426|7|20|.350|24|32|.750|6|33|12|4|4|13|17||27|64|.422|4|16|.250|6|12|.500|8|31|12|5|1|10|27
15|15|2015-01-10||Virginia Military Institute|L|73|83|23|49|.469|5|13|.385|22|30|.733|5|35|13|4|4|17|23||26|59|.441|12|32|.375|19|28|.679|8|33|11|6|4|10|22
16|16|2015-01-15|@|Mercer|L|64|67|24|48|.500|9|22|.409|7|8|.875|5|15|11|7|1|7|13||24|41|.585|6|13|.462|13|18|.722|10|28|16|6|5|12|10
17|17|2015-01-17|@|Citadel|W|74|62|28|54|.519|7|17|.412|11|17|.647|13|33|11|2|4|5|13||22|50|.440|6|16|.375|12|16|.750|8|23|13|2|0|6|18
18|18|2015-01-22|@|Wofford|L|49|74|14|43|.326|6|19|.316|15|28|.536|8|27|6|2|2|13|15||28|51|.549|8|14|.571|10|15|.667|7|32|16|5|5|9|21
19|19|2015-01-24||Allen|W|82|46|27|58|.466|10|28|.357|18|26|.692|13|49|19|12|5|15|14||16|62|.258|7|26|.269|7|12|.583|11|32|8|9|0|16|21
20|20|2015-01-29||East Tennessee State|W|59|55|18|44|.409|9|20|.450|14|22|.636|7|32|13|8|3|15|10||21|55|.382|9|26|.346|4|6|.667|7|28|12|6|3|12|19
21|21|2015-01-31|@|Samford|L|58|68|18|44|.409|6|24|.250|16|24|.667|6|32|8|5|3|17|25||22|56|.393|4|17|.235|20|32|.625|11|28|11|9|3|8|19
22|22|2015-02-05||Chattanooga|L (1 OT)|71|74|25|53|.472|6|21|.286|15|24|.625|7|35|13|5|7|12|19||27|62|.435|6|18|.333|14|22|.636|11|28|15|7|5|8|19
23|23|2015-02-07||Mercer|L|68|74|25|52|.481|9|25|.360|9|14|.643|11|31|16|2|1|12|23||26|54|.481|5|18|.278|17|28|.607|12|28|20|9|0|6|14
24|24|2015-02-12|@|Virginia Military Institute|L|59|93|25|52|.481|1|10|.100|8|14|.571|9|29|6|5|2|14|12||33|62|.532|24|45|.533|3|4|.750|6|24|21|7|9|9|14
25|25|2015-02-14|@|East Tennessee State|L|59|66|17|44|.386|6|21|.286|19|26|.731|10|28|9|4|4|13|19||21|43|.488|6|19|.316|18|28|.643|4|26|14|6|3|7|19
26|26|2015-02-19||Citadel|L (1 OT)|56|62|20|53|.377|8|28|.286|8|16|.500|6|21|11|8|2|14|22||21|37|.568|4|8|.500|16|24|.667|2|27|11|12|3|18|16
27|27|2015-02-22|@|North Carolina-Greensboro|L|49|84|17|46|.370|3|19|.158|12|20|.600|6|25|4|2|5|12|10||31|60|.517|15|25|.600|7|12|.583|7|34|17|7|4|7|20
28|28|2015-02-26||Western Carolina|W|53|49|13|46|.283|3|18|.167|24|42|.571|16|44|10|10|3|15|17||17|66|.258|3|23|.130|12|18|.667|23|45|5|10|5|12|28
29|29|2015-02-28||Wofford|L|60|62|23|46|.500|9|22|.409|5|12|.417|6|30|12|2|6|11|22||20|49|.408|3|14|.214|19|28|.679|11|29|7|7|0|7|15
30|30|2015-03-06|N|Citadel|W|73|56|28|59|.475|10|23|.435|7|8|.875|7|28|13|10|4|9|22||15|48|.313|4|18|.222|22|25|.880|8|30|8|3|0|18|10
31|31|2015-03-07|N|Chattanooga|W|69|67|18|42|.429|6|14|.429|27|32|.844|8|27|4|3|6|10|17||24|55|.436|6|14|.429|13|19|.684|11|27|10|3|6|11|26
32|32|2015-03-08|N|Mercer|W|52|49|17|52|.327|2|16|.125|16|23|.696|14|40|4|5|2|12|15||15|52|.288|6|21|.286|13|17|.765|6|27|11|9|5|7|17
33|33|2015-03-09|N|Wofford|L|64|67|24|46|.522|9|15|.600|7|8|.875|2|18|10|3|4|10|17||22|51|.431|6|20|.300|17|21|.810|11|29|8|3|7|8|11
