ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||St. Francis (NY)|W|83|62|32|61|.525|2|10|.200|17|25|.680|7|38|19|8|6|9|16||23|71|.324|6|19|.316|10|17|.588|19|40|12|6|7|17|21
2|2|2014-11-18||Texas A&M-Corpus Christi|W|78|62|27|53|.509|4|12|.333|20|30|.667|17|37|13|9|6|16|15||22|52|.423|4|14|.286|14|16|.875|9|21|9|12|6|16|28
3|3|2014-11-22||Robert Morris|W|80|66|28|57|.491|6|22|.273|18|27|.667|15|45|17|6|8|15|21||18|59|.305|7|25|.280|23|30|.767|11|27|12|10|2|10|21
4|4|2014-11-26|N|Florida|W (1 OT)|66|65|24|49|.490|3|13|.231|15|22|.682|7|30|7|7|7|19|22||23|64|.359|6|23|.261|13|19|.684|18|37|10|8|3|16|23
5|5|2014-11-27|N|Wisconsin|L|65|68|25|47|.532|6|11|.545|9|13|.692|6|20|7|8|1|15|22||21|43|.488|6|16|.375|20|27|.741|10|25|9|6|3|13|17
6|6|2014-11-28|N|Butler|L|58|64|22|53|.415|4|13|.308|10|19|.526|11|31|11|4|4|14|20||22|50|.440|4|14|.286|16|21|.762|6|23|8|5|3|10|20
7|7|2014-12-07||Towson|W|78|46|28|51|.549|11|22|.500|11|14|.786|9|23|18|10|1|11|17||18|44|.409|0|12|.000|10|16|.625|9|24|4|4|2|16|16
8|8|2014-12-10||Kansas|L|70|75|23|57|.404|5|16|.313|19|26|.731|11|37|15|10|9|16|20||20|53|.377|10|17|.588|25|32|.781|10|35|11|9|6|17|20
9|9|2014-12-13||Radford|W|76|49|27|56|.482|7|20|.350|15|20|.750|10|33|19|10|5|13|16||19|50|.380|3|11|.273|8|9|.889|6|22|6|4|5|17|22
10|10|2014-12-20||Charlotte|W|81|78|26|66|.394|6|17|.353|23|30|.767|18|39|15|7|4|8|23||23|50|.460|8|21|.381|24|33|.727|8|29|15|3|3|12|22
11|11|2014-12-27|N|Indiana|W (1 OT)|91|87|35|68|.515|7|12|.583|14|26|.538|11|33|16|13|5|11|20||28|61|.459|13|31|.419|18|22|.818|8|34|15|7|4|16|21
12|12|2014-12-31|@|Xavier|L|53|70|17|47|.362|2|13|.154|17|25|.680|10|29|6|5|10|16|26||20|48|.417|6|12|.500|24|29|.828|7|29|12|5|4|10|20
13|13|2015-01-03||Creighton|W|76|61|27|46|.587|8|19|.421|14|19|.737|3|22|15|9|4|13|21||16|52|.308|5|25|.200|24|29|.828|14|31|10|6|2|14|16
14|14|2015-01-06||Marquette|W|65|59|19|47|.404|4|18|.222|23|28|.821|13|31|13|7|5|15|12||23|50|.460|5|17|.294|8|12|.667|4|19|10|9|2|15|21
15|15|2015-01-10|@|Providence|L (1 OT)|57|60|21|57|.368|4|17|.235|11|20|.550|14|41|8|6|7|14|23||18|57|.316|3|15|.200|21|30|.700|11|37|11|7|6|8|19
16|16|2015-01-13|@|DePaul|W|78|72|23|46|.500|6|15|.400|26|32|.813|7|30|10|5|8|9|21||25|57|.439|9|22|.409|13|17|.765|7|24|10|3|3|7|23
17|17|2015-01-17||Butler|W|61|59|21|53|.396|4|11|.364|15|20|.750|8|32|14|6|5|9|15||22|50|.440|2|7|.286|13|19|.684|5|32|6|4|1|8|17
18|18|2015-01-19||Villanova|W|78|58|23|45|.511|6|12|.500|26|36|.722|7|31|11|10|4|11|24||14|41|.341|7|23|.304|23|32|.719|4|22|8|6|3|17|27
19|19|2015-01-24|@|Marquette|W (1 OT)|95|85|29|58|.500|9|21|.429|28|32|.875|10|36|21|8|3|10|19||29|57|.509|13|25|.520|14|20|.700|5|22|17|8|7|12|21
20|20|2015-01-27||Xavier|L|53|66|17|43|.395|6|22|.273|13|24|.542|3|26|9|5|7|17|23||18|44|.409|5|12|.417|25|32|.781|2|31|14|7|1|10|21
21|21|2015-01-31|@|Creighton|W|67|40|26|52|.500|10|23|.435|5|9|.556|5|37|10|2|3|10|21||11|53|.208|5|22|.227|13|20|.650|11|32|7|5|4|12|14
22|22|2015-02-04||Providence|L|71|74|23|54|.426|8|20|.400|17|25|.680|10|30|17|7|4|15|23||23|43|.535|5|13|.385|23|32|.719|4|28|16|11|4|14|20
23|23|2015-02-07|@|Villanova|L|53|69|18|60|.300|1|17|.059|16|22|.727|13|31|10|14|0|15|18||22|46|.478|12|24|.500|13|17|.765|6|30|15|8|5|19|20
24|24|2015-02-10|@|Seton Hall|W|86|67|32|61|.525|8|19|.421|14|18|.778|10|38|18|10|2|9|27||20|52|.385|8|17|.471|19|31|.613|12|33|12|4|4|15|18
25|25|2015-02-17||St. John's (NY)|W|79|57|28|58|.483|7|19|.368|16|27|.593|11|42|15|7|7|9|18||19|58|.328|7|22|.318|12|19|.632|8|26|11|0|3|14|23
