ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Kentucky|L|45|85|15|48|.313|7|15|.467|8|16|.500|8|20|8|5|3|21|20||34|70|.486|3|14|.214|14|19|.737|22|47|13|8|10|13|16
2|2|2014-11-17||Montana State|W|61|45|20|45|.444|5|19|.263|16|21|.762|2|23|16|6|3|15|22||15|43|.349|3|15|.200|12|23|.522|7|27|5|8|2|21|24
3|3|2014-11-20||Texas-Arlington|L|64|66|20|54|.370|6|23|.261|18|26|.692|5|24|8|7|5|14|25||21|55|.382|3|15|.200|21|30|.700|12|41|7|6|3|16|25
4|4|2014-11-21||Florida A&M|W|64|49|24|59|.407|7|24|.292|9|11|.818|10|37|16|4|5|10|22||18|51|.353|2|10|.200|11|17|.647|8|29|4|2|1|13|15
5|5|2014-11-25||Buffalo|L|64|80|19|59|.322|6|20|.300|20|29|.690|11|31|8|7|0|16|23||28|54|.519|7|17|.412|17|26|.654|11|38|14|10|3|15|26
6|6|2014-11-29|@|Central Michigan|L|77|79|27|47|.574|9|22|.409|14|20|.700|7|24|9|1|1|15|24||27|59|.458|8|25|.320|17|22|.773|7|24|9|6|1|4|19
7|7|2014-12-02|@|Illinois-Chicago|W|66|61|25|54|.463|7|17|.412|9|15|.600|6|28|18|5|7|10|19||20|58|.345|3|16|.188|18|20|.900|10|34|16|4|0|12|16
8|8|2014-12-06||Great Falls|W|80|61|32|55|.582|3|14|.214|13|24|.542|9|30|19|8|3|9|20||24|57|.421|2|13|.154|11|21|.524|14|29|8|2|0|12|23
9|9|2014-12-09||Idaho State|L|51|67|16|48|.333|7|25|.280|12|15|.800|7|20|8|8|5|14|17||26|49|.531|7|14|.500|8|11|.727|10|32|12|7|2|14|15
10|10|2014-12-13|@|Indiana|L|66|94|26|67|.388|2|16|.125|12|15|.800|10|33|8|2|4|6|23||33|75|.440|10|30|.333|18|27|.667|17|48|15|2|5|4|16
11|11|2014-12-15||Bethune-Cookman|W|60|50|21|50|.420|2|12|.167|16|28|.571|12|34|9|8|2|10|20||18|52|.346|4|15|.267|10|17|.588|9|26|8|4|1|11|20
12|12|2014-12-17||Incarnate Word|L|80|82|28|55|.509|8|19|.421|16|23|.696|6|32|11|3|3|9|19||32|61|.525|8|20|.400|10|21|.476|7|26|11|7|5|4|17
13|13|2014-12-20||St. Edward's|W|81|55|33|59|.559|3|11|.273|12|21|.571|7|43|10|5|4|19|18||21|64|.328|3|14|.214|10|18|.556|6|24|8|9|2|12|22
14|14|2014-12-23||New Mexico|W|68|65|20|52|.385|9|24|.375|19|26|.731|5|28|12|7|6|7|23||23|56|.411|4|18|.222|15|20|.750|10|39|12|5|4|11|25
15|15|2014-12-28||Abilene Christian|W|83|81|29|47|.617|4|11|.364|21|35|.600|3|26|19|7|1|16|18||31|59|.525|9|22|.409|10|16|.625|3|21|11|4|2|11|27
16|16|2014-12-30||Harvard|L|59|72|23|52|.442|3|17|.176|10|17|.588|5|22|8|6|1|11|22||25|48|.521|6|12|.500|16|26|.615|7|35|15|6|4|13|18
17|17|2015-01-04||California-Riverside|W|71|69|20|43|.465|7|13|.538|24|34|.706|5|31|10|5|2|12|16||23|66|.348|9|23|.391|14|24|.583|14|37|12|5|1|6|25
18|18|2015-01-10||Cal State Bakersfield|W|73|65|24|46|.522|9|23|.391|16|24|.667|9|29|15|3|3|11|23||21|48|.438|4|10|.400|19|27|.704|7|23|6|3|1|6|22
19|19|2015-01-15|@|Utah Valley|W|83|74|29|61|.475|8|25|.320|17|19|.895|13|36|19|3|1|7|23||24|57|.421|7|21|.333|19|23|.826|13|33|15|2|1|6|19
20|20|2015-01-22|@|New Mexico State|L|63|85|23|57|.404|5|15|.333|12|20|.600|9|27|13|2|1|10|25||29|58|.500|3|12|.250|24|32|.750|15|42|14|5|4|9|16
21|21|2015-01-24|@|Texas-Pan American|L|72|73|22|51|.431|11|23|.478|17|21|.810|7|25|16|5|3|10|13||32|58|.552|4|11|.364|5|7|.714|6|27|20|6|1|9|19
22|22|2015-01-29||Missouri-Kansas City|W|78|57|24|47|.511|9|16|.563|21|30|.700|9|33|10|4|2|11|20||21|52|.404|7|20|.350|8|14|.571|3|16|13|4|4|10|25
23|23|2015-01-31||Chicago State|L|55|56|20|51|.392|7|23|.304|8|11|.727|6|22|8|6|2|8|16||21|48|.438|4|10|.400|10|15|.667|9|31|7|3|2|10|15
24|24|2015-02-05|@|Seattle|W|66|64|24|59|.407|9|24|.375|9|15|.600|9|28|14|9|2|5|16||22|46|.478|8|18|.444|12|17|.706|3|24|15|3|2|10|15
25|25|2015-02-07|@|Cal State Bakersfield|W|78|76|25|47|.532|10|22|.455|18|21|.857|3|19|15|5|5|8|18||27|51|.529|8|13|.615|14|23|.609|10|31|14|3|2|10|19
26|26|2015-02-14||Utah Valley|W|83|57|34|55|.618|6|14|.429|9|11|.818|7|32|12|4|3|5|16||21|54|.389|6|22|.273|9|14|.643|5|21|11|1|0|7|15
27|27|2015-02-19||Texas-Pan American|W|64|59|24|54|.444|2|11|.182|14|18|.778|7|27|8|9|5|12|12||25|61|.410|2|11|.182|7|8|.875|10|35|12|5|2|15|20
28|28|2015-02-21||New Mexico State|L|55|72|19|47|.404|4|13|.308|13|14|.929|5|17|12|5|2|14|19||27|49|.551|3|10|.300|15|22|.682|7|27|15|9|3|13|16
