ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|N|Sacred Heart|L|53|71|20|51|.392|7|25|.280|6|8|.750|5|21|13|5|4|19|16||30|51|.588|1|8|.125|10|18|.556|7|31|18|9|3|17|16
2|2|2014-11-16||Saint Peter's|W|51|50|15|41|.366|7|20|.350|14|21|.667|3|20|13|8|3|13|18||17|41|.415|3|19|.158|13|21|.619|7|31|8|7|6|13|16
3|3|2014-11-19||Dartmouth|W|53|48|17|52|.327|6|18|.333|13|19|.684|5|23|10|9|1|9|12||19|44|.432|4|17|.235|6|7|.857|4|30|9|5|4|18|18
4|4|2014-11-22|@|Niagara|W|65|62|22|45|.489|9|16|.563|12|20|.600|7|30|11|4|2|19|23||21|50|.420|6|18|.333|14|23|.609|9|29|9|2|4|14|22
5|5|2014-11-25|@|Quinnipiac|W|54|50|16|49|.327|8|22|.364|14|19|.737|2|26|11|5|1|8|17||18|55|.327|0|15|.000|14|18|.778|11|43|7|6|9|14|18
6|6|2014-11-28||Emerson|W|83|50|32|59|.542|8|24|.333|11|19|.579|10|38|21|7|3|11|14||16|53|.302|9|24|.375|9|12|.750|10|30|9|5|2|21|21
7|7|2014-11-30|@|Yale|L|57|69|19|59|.322|6|18|.333|13|21|.619|8|27|9|7|0|11|21||22|47|.468|5|14|.357|20|28|.714|10|42|13|5|5|15|18
8|8|2014-12-03|@|Vermont|L|69|81|23|47|.489|8|22|.364|15|20|.750|7|23|9|3|2|20|27||27|47|.574|5|12|.417|22|31|.710|7|24|16|10|3|12|20
9|9|2014-12-06||Central Connecticut State|L|47|56|17|59|.288|6|25|.240|7|12|.583|13|33|10|5|3|9|18||20|47|.426|4|12|.333|12|20|.600|11|41|6|4|5|12|16
10|10|2014-12-09|@|Holy Cross|W|79|61|33|54|.611|7|15|.467|6|9|.667|5|21|24|7|0|6|18||19|51|.373|5|17|.294|18|22|.818|13|27|7|5|4|14|15
11|11|2014-12-13||Rider|L|61|63|16|45|.356|7|21|.333|22|26|.846|6|26|9|4|1|15|15||27|56|.482|4|17|.235|5|13|.385|10|30|15|7|3|11|18
12|12|2014-12-21||Florida International|W|82|69|27|59|.458|13|34|.382|15|20|.750|11|25|13|12|1|11|14||26|49|.531|5|16|.313|12|16|.750|9|26|13|6|1|19|19
13|13|2014-12-30|@|Notre Dame|L|60|87|25|55|.455|9|26|.346|1|2|.500|2|24|17|6|2|16|12||33|62|.532|13|30|.433|8|10|.800|9|36|15|7|3|13|9
14|14|2015-01-03|@|Texas A&M|L|49|58|16|57|.281|8|32|.250|9|11|.818|5|32|11|6|3|14|18||19|50|.380|0|13|.000|20|27|.741|7|39|15|6|2|13|16
15|15|2015-01-07||Binghamton|W|69|59|23|50|.460|9|26|.346|14|21|.667|8|25|10|6|1|12|15||24|44|.545|3|13|.231|8|18|.444|6|24|11|7|2|16|24
16|16|2015-01-14|@|New Hampshire|W|68|67|20|46|.435|8|18|.444|20|25|.800|6|27|10|7|0|13|16||22|49|.449|10|16|.625|13|18|.722|8|28|12|7|4|12|16
17|17|2015-01-17||Massachusetts-Lowell|W (1 OT)|68|62|23|56|.411|9|28|.321|13|17|.765|5|34|14|6|1|16|16||23|58|.397|8|25|.320|8|13|.615|6|30|14|5|0|19|19
18|18|2015-01-19|@|Maryland-Baltimore County|W|65|63|22|43|.512|9|18|.500|12|15|.800|5|28|17|7|0|16|18||20|44|.455|10|19|.526|13|19|.684|4|22|14|11|2|12|15
