ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Murray State|W|77|74|29|64|.453|8|21|.381|11|17|.647|9|38|11|7|3|16|22||24|64|.375|6|25|.240|20|27|.741|8|29|18|9|4|10|18
2|2|2014-11-22||Morgan State|W|72|57|24|73|.329|10|38|.263|14|22|.636|28|59|12|9|2|23|11||22|66|.333|8|20|.400|5|8|.625|13|32|9|12|4|18|19
3|3|2014-11-25|@|Harvard|L|63|84|21|63|.333|10|25|.400|11|17|.647|14|29|12|4|5|10|23||28|53|.528|6|13|.462|22|26|.846|11|40|15|5|6|13|18
4|4|2014-12-04||Texas-Pan American|W|72|58|26|65|.400|11|35|.314|9|9|1.000|14|45|15|6|8|14|17||25|70|.357|2|18|.111|6|14|.429|16|38|11|8|2|11|14
5|5|2014-12-06||Abilene Christian|W|71|59|22|50|.440|10|22|.455|17|23|.739|9|37|15|3|7|11|13||22|67|.328|8|31|.258|7|8|.875|11|31|14|4|2|10|20
6|6|2014-12-16||Houston Baptist|W|83|76|22|50|.440|9|28|.321|30|43|.698|12|26|12|12|2|15|21||27|56|.482|7|18|.389|15|21|.714|14|30|13|8|0|21|30
7|7|2014-12-17||Arkansas-Pine Bluff|L (1 OT)|56|61|18|53|.340|9|33|.273|11|20|.550|11|34|10|8|4|26|20||19|57|.333|7|26|.269|16|23|.696|11|33|8|18|0|18|17
8|8|2014-12-20||South Carolina State|L|63|71|21|67|.313|8|33|.242|13|24|.542|14|33|7|7|4|5|20||25|53|.472|6|14|.429|15|21|.714|11|46|17|2|8|16|18
9|9|2014-12-22|N|Boise State|L (1 OT)|73|75|24|65|.369|8|32|.250|17|29|.586|13|37|11|4|7|16|25||24|51|.471|8|19|.421|19|31|.613|5|35|9|5|2|15|26
10|10|2014-12-23|N|Texas Tech|W|82|69|27|50|.540|13|24|.542|15|25|.600|10|31|13|5|2|12|20||21|52|.404|8|22|.364|19|28|.679|13|30|6|5|1|12|20
11|11|2014-12-28||Mississippi Valley State|W|80|53|26|54|.481|13|30|.433|15|19|.789|14|41|16|5|3|17|16||20|54|.370|5|20|.250|8|12|.667|9|23|13|11|1|12|20
12|12|2014-12-31|@|Memphis|L|54|73|20|64|.313|5|19|.263|9|13|.692|17|36|12|6|0|16|11||31|63|.492|7|16|.438|4|7|.571|13|39|18|10|9|14|15
13|13|2015-01-04|@|Tulsa|L|54|72|19|53|.358|8|28|.286|8|14|.571|6|22|13|5|1|11|25||23|47|.489|0|10|.000|26|36|.722|7|36|10|4|3|10|17
14|14|2015-01-06||Central Florida|L (1 OT)|78|79|24|64|.375|8|23|.348|22|33|.667|15|34|15|7|5|9|21||29|62|.468|8|22|.364|13|22|.591|14|42|11|3|5|16|24
15|15|2015-01-11||Memphis|L|44|62|16|48|.333|4|17|.235|8|13|.615|7|26|9|7|4|18|18||23|53|.434|4|12|.333|12|16|.750|8|34|17|11|7|12|15
16|16|2015-01-14|@|East Carolina|L|61|66|20|59|.339|6|21|.286|15|21|.714|12|34|10|7|6|13|17||24|54|.444|8|26|.308|10|16|.625|8|34|15|7|7|13|21
17|17|2015-01-17||Tulane|L|65|68|23|48|.479|3|17|.176|16|23|.696|9|25|12|4|3|8|18||23|55|.418|6|17|.353|16|20|.800|15|36|11|3|2|10|18
18|18|2015-01-21|@|Cincinnati|L|54|67|20|44|.455|8|20|.400|6|11|.545|11|21|11|6|3|18|14||22|43|.512|7|23|.304|16|17|.941|7|19|16|11|4|11|14
19|19|2015-01-24|@|Southern Methodist|L|59|80|19|54|.352|9|29|.310|12|18|.667|7|24|14|6|3|8|19||27|52|.519|11|20|.550|15|22|.682|13|42|24|4|3|12|18
20|20|2015-01-28||Rice|W|59|48|22|52|.423|7|25|.280|8|11|.727|11|27|14|5|5|6|17||18|39|.462|5|14|.357|7|9|.778|5|24|8|3|1|14|15
21|21|2015-02-01||Connecticut|W|70|68|24|65|.369|8|34|.235|14|18|.778|6|32|15|5|5|1|17||25|64|.391|6|17|.353|12|18|.667|11|46|11|0|3|11|16
22|22|2015-02-05||Tulsa|L|44|57|16|53|.302|7|27|.259|5|6|.833|7|31|8|6|2|13|17||24|50|.480|5|15|.333|4|12|.333|7|37|14|9|1|12|11
23|23|2015-02-12||Southern Methodist|L|69|75|24|59|.407|11|34|.324|10|12|.833|13|33|12|0|3|13|22||29|54|.537|4|8|.500|13|24|.542|8|30|18|7|2|5|16
24|24|2015-02-15|@|Central Florida|L|54|56|24|56|.429|5|17|.294|1|5|.200|10|32|13|5|4|11|10||23|47|.489|4|16|.250|6|11|.545|2|21|15|5|2|9|6
25|25|2015-02-17|@|South Florida|L|67|69|25|66|.379|8|30|.267|9|14|.643|14|38|10|6|1|9|20||25|49|.510|4|12|.333|15|26|.577|6|30|10|7|5|12|17
26|26|2015-02-21||Cincinnati|L|53|63|18|47|.383|6|15|.400|11|12|.917|8|27|9|5|7|16|19||21|48|.438|4|13|.308|17|22|.773|8|28|14|9|5|10|11
27|27|2015-02-26|@|Temple|L|54|66|22|55|.400|6|21|.286|4|11|.364|9|29|8|5|2|10|11||27|60|.450|7|23|.304|5|9|.556|10|36|17|8|3|8|13
28|28|2015-03-01||South Florida|W|72|55|22|54|.407|9|20|.450|19|25|.760|14|33|13|10|1|12|17||19|43|.442|6|13|.462|11|15|.733|5|21|9|5|5|17|19
29|29|2015-03-04|@|Tulane|W (1 OT)|68|63|19|45|.422|4|13|.308|26|33|.788|7|36|9|8|5|15|20||23|60|.383|7|23|.304|10|19|.526|12|35|16|6|1|13|22
30|30|2015-03-08||East Carolina|W|72|54|26|52|.500|12|28|.429|8|12|.667|15|39|14|2|6|14|14||20|53|.377|8|18|.444|6|9|.667|9|21|12|9|0|10|16
31|31|2015-03-12|N|Tulane|W|66|60|22|46|.478|9|23|.391|13|15|.867|7|33|13|3|2|16|14||23|56|.411|9|25|.360|5|14|.357|9|24|13|8|0|8|16
32|32|2015-03-13|N|Tulsa|L|51|59|20|57|.351|7|27|.259|4|7|.571|10|28|8|6|6|11|15||22|48|.458|4|10|.400|11|16|.688|8|34|10|5|2|12|12
