ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Texas-Tyler|W|89|49|30|68|.441|8|18|.444|21|28|.750|14|50|20|12|10|10|17||19|63|.302|6|19|.316|5|14|.357|9|34|10|4|5|18|19
2|2|2014-11-18||Huston-Tillotson|W|94|63|34|63|.540|9|17|.529|17|23|.739|12|42|19|11|4|12|14||26|70|.371|9|22|.409|2|5|.400|13|33|15|7|6|14|18
3|3|2014-11-22|@|Princeton|W|79|68|19|51|.373|6|15|.400|35|39|.897|6|38|10|7|7|10|27||21|59|.356|4|18|.222|22|29|.759|9|32|12|4|1|12|26
4|4|2014-11-24||Texas A&M-International|W|105|83|33|53|.623|15|25|.600|24|31|.774|7|26|20|8|8|12|14||32|60|.533|9|17|.529|10|12|.833|7|23|18|10|2|15|25
5|5|2014-12-04||St. Edward's|W|85|68|29|61|.475|8|21|.381|19|30|.633|16|42|18|8|4|16|15||28|74|.378|3|20|.150|9|11|.818|13|36|9|8|0|16|22
6|6|2014-12-08|@|Texas-El Paso|L|65|81|22|63|.349|6|25|.240|15|23|.652|8|23|7|13|1|8|19||33|51|.647|2|9|.222|13|17|.765|7|47|20|2|1|22|20
7|7|2014-12-10|@|Nebraska|W|74|73|25|52|.481|8|24|.333|16|22|.727|5|25|8|9|2|12|26||22|52|.423|5|17|.294|24|32|.750|10|33|13|6|1|14|20
8|8|2014-12-17|@|Grand Canyon|W|82|80|32|61|.525|8|20|.400|10|21|.476|7|26|11|7|5|4|17||28|55|.509|8|19|.421|16|23|.696|6|32|11|3|3|9|19
9|9|2014-12-20|@|Missouri-Kansas City|W (3 OT)|110|104|36|66|.545|5|22|.227|33|44|.750|9|41|15|9|8|14|30||32|74|.432|10|25|.400|30|42|.714|13|36|20|7|3|16|33
10|10|2014-12-22|@|Tulsa|L|47|76|16|55|.291|4|22|.182|11|15|.733|2|29|9|5|2|17|19||29|69|.420|5|21|.238|13|23|.565|14|51|16|9|4|11|18
11|11|2015-01-03|@|Sam Houston State|L|78|84|25|62|.403|6|19|.316|22|30|.733|8|31|12|8|3|10|23||29|63|.460|7|22|.318|19|34|.559|15|44|16|5|6|13|24
12|12|2015-01-10|@|Northwestern State|L|101|103|34|64|.531|12|27|.444|21|31|.677|11|31|15|10|2|16|25||32|69|.464|10|23|.435|29|34|.853|15|40|12|9|7|16|20
13|13|2015-01-12||New Orleans|W|97|66|35|57|.614|12|22|.545|15|22|.682|8|34|14|5|9|12|18||22|56|.393|3|8|.375|19|29|.655|9|23|10|6|3|11|20
14|14|2015-01-17||Southeastern Louisiana|L (2 OT)|98|108|35|80|.438|7|29|.241|21|26|.808|15|35|12|13|6|10|22||37|63|.587|12|22|.545|22|31|.710|6|35|14|7|2|16|22
