ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Marshall|L|55|74|20|54|.370|10|29|.345|5|12|.417|7|30|11|7|2|17|18||28|56|.500|8|22|.364|10|14|.714|4|27|19|8|2|10|17
2|2|2014-11-17|@|Louisville|L|39|88|14|50|.280|5|26|.192|6|12|.500|7|24|12|5|1|19|21||35|74|.473|5|26|.192|13|27|.481|29|59|15|12|4|12|16
3|3|2014-11-19|@|Cleveland State|L|46|60|16|45|.356|3|14|.214|11|18|.611|6|18|6|5|4|12|18||20|50|.400|6|19|.316|14|17|.824|14|36|13|4|3|13|21
4|4|2014-11-22||Miles|W|88|71|29|65|.446|6|16|.375|24|31|.774|15|45|15|6|7|19|21||25|64|.391|3|11|.273|18|26|.692|13|31|9|13|4|14|21
5|5|2014-11-25|@|Alabama A&M|W|67|61|23|55|.418|6|19|.316|15|24|.625|8|31|9|12|2|13|24||21|57|.368|4|18|.222|15|23|.652|14|38|16|7|3|19|22
6|6|2014-11-28||Savannah State|W|74|71|21|52|.404|3|13|.231|29|33|.879|8|28|14|12|5|13|21||25|52|.481|5|12|.417|16|25|.640|9|32|14|8|6|15|24
7|7|2014-11-30||Fort Valley State|W|81|49|25|62|.403|8|23|.348|23|30|.767|16|47|19|4|7|9|25||14|52|.269|3|17|.176|18|31|.581|9|30|11|3|4|12|19
8|8|2014-12-03||Winthrop|W (1 OT)|79|76|27|65|.415|8|26|.308|17|26|.654|17|36|16|9|5|9|28||24|49|.490|8|16|.500|20|26|.769|7|30|15|2|6|15|22
9|9|2014-12-06|@|Alabama State|L|55|80|18|59|.305|3|19|.158|16|28|.571|13|34|9|4|5|13|21||31|60|.517|4|9|.444|14|25|.560|11|45|14|3|2|10|22
10|10|2014-12-14||Dartmouth|W|79|67|22|52|.423|5|14|.357|30|41|.732|12|33|14|3|4|8|13||25|56|.446|3|14|.214|14|18|.778|11|31|18|5|2|13|27
11|11|2014-12-16||North Carolina-Asheville|W|64|55|18|49|.367|5|13|.385|23|34|.676|14|39|11|4|4|18|15||21|59|.356|4|15|.267|9|12|.750|6|24|7|11|5|11|24
12|12|2014-12-20|@|Northern Colorado|L|60|69|22|49|.449|7|19|.368|9|16|.563|9|23|14|6|3|14|22||26|49|.531|3|10|.300|14|21|.667|7|27|11|8|2|15|17
13|13|2014-12-22|@|Air Force|L (1 OT)|65|66|25|66|.379|9|25|.360|6|7|.857|9|33|14|2|1|7|16||22|45|.489|10|23|.435|12|18|.667|1|31|17|1|8|10|12
14|14|2014-12-27|@|Jacksonville|L|61|75|22|63|.349|6|25|.240|11|17|.647|13|29|11|5|3|12|23||24|41|.585|3|4|.750|24|38|.632|9|34|5|5|5|14|17
15|15|2015-01-01|@|Southern Illinois-Edwardsville|L|57|73|20|59|.339|5|19|.263|12|20|.600|10|31|10|7|3|13|23||26|48|.542|6|15|.400|15|24|.625|5|33|12|5|3|18|19
16|16|2015-01-03|@|Eastern Illinois|L (1 OT)|50|59|16|58|.276|5|24|.208|13|16|.813|13|40|8|2|6|13|18||21|55|.382|3|17|.176|14|24|.583|10|36|13|5|4|11|16
17|17|2015-01-08||Austin Peay|W|71|59|24|58|.414|4|13|.308|19|21|.905|9|34|16|12|6|10|19||23|61|.377|2|14|.143|11|18|.611|16|36|15|6|7|15|18
18|18|2015-01-11||Murray State|L|57|84|19|60|.317|5|23|.217|14|19|.737|4|19|9|3|5|4|20||29|54|.537|6|15|.400|20|27|.741|12|47|18|3|3|8|18
19|19|2015-01-14||Southeast Missouri State|L|52|69|16|55|.291|3|14|.214|17|21|.810|12|29|11|6|0|9|18||22|50|.440|9|22|.409|16|22|.727|11|36|14|4|6|12|21
