ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Southern|W|85|76|26|59|.441|8|23|.348|25|40|.625|12|35|9|3|7|12|21||27|64|.422|5|18|.278|17|30|.567|17|45|7|8|3|10|30
2|2|2014-11-17|@|Temple|L|75|82|27|67|.403|9|26|.346|12|26|.462|8|35|14|7|4|12|28||22|51|.431|4|12|.333|34|49|.694|6|42|10|6|6|13|21
3|3|2014-11-21||Morehead State|W|73|64|22|47|.468|4|12|.333|25|35|.714|5|31|11|4|7|11|12||24|73|.329|6|20|.300|10|10|1.000|15|36|16|6|6|11|26
4|4|2014-11-22||American|W|63|44|24|47|.511|5|14|.357|10|11|.909|6|24|15|3|6|7|11||16|47|.340|4|16|.250|8|10|.800|9|23|10|4|3|13|11
5|5|2014-11-23||Presbyterian|W|76|48|25|50|.500|10|21|.476|16|23|.696|8|27|18|10|2|10|14||22|46|.478|3|10|.300|1|3|.333|5|25|11|6|1|21|16
6|6|2014-11-28||Samford|W|77|64|25|53|.472|6|18|.333|21|31|.677|14|35|13|10|11|20|15||26|72|.361|3|19|.158|9|12|.750|17|38|16|11|3|14|26
7|7|2014-12-02|@|Northwestern State|W|99|88|33|65|.508|8|22|.364|25|33|.758|11|33|20|6|6|8|21||31|65|.477|9|27|.333|17|20|.850|9|34|15|6|1|14|23
8|8|2014-12-06||Jackson State|W|65|52|20|57|.351|7|27|.259|18|24|.750|9|26|13|12|9|10|11||20|58|.345|5|16|.313|7|10|.700|15|42|9|6|1|20|17
9|9|2014-12-10|@|Louisiana-Lafayette|L|86|94|31|65|.477|9|19|.474|15|25|.600|6|26|6|5|7|13|20||35|67|.522|7|14|.500|17|24|.708|12|42|18|7|3|15|18
10|10|2014-12-14|@|Syracuse|L|69|71|24|53|.453|5|17|.294|16|23|.696|9|26|13|10|8|16|18||26|62|.419|5|12|.417|14|19|.737|18|34|15|10|6|17|17
11|11|2014-12-18||Nicholls State|W|79|54|29|61|.475|15|30|.500|6|12|.500|5|23|23|15|9|9|16||21|56|.375|3|15|.200|9|15|.600|17|42|11|7|5|27|18
12|12|2014-12-23|@|North Carolina State|L|65|73|22|53|.415|3|12|.250|18|27|.667|6|27|8|6|5|9|20||25|58|.431|4|17|.235|19|27|.704|10|38|6|4|4|8|18
13|13|2014-12-29||Southern Arkansas|W|74|52|25|57|.439|6|21|.286|18|23|.783|11|30|21|16|5|16|12||20|45|.444|7|18|.389|5|11|.455|5|24|10|9|2|25|17
14|14|2015-01-03|@|Southern Mississippi|W|83|70|29|60|.483|13|38|.342|12|14|.857|11|24|21|10|0|6|13||27|43|.628|9|17|.529|7|9|.778|3|20|18|3|1|18|14
15|15|2015-01-08|@|Texas-El Paso|W|58|45|24|58|.414|5|14|.357|5|5|1.000|10|34|11|8|3|7|13||19|51|.373|6|16|.375|1|7|.143|7|31|11|1|2|12|10
16|16|2015-01-10|@|Texas-San Antonio|W|84|72|29|53|.547|12|22|.545|14|21|.667|8|26|14|6|7|11|19||26|65|.400|6|20|.300|14|20|.700|14|26|15|5|1|11|21
17|17|2015-01-15||Alabama-Birmingham|W|74|71|26|59|.441|9|25|.360|13|16|.813|8|20|14|11|2|11|13||29|50|.580|6|11|.545|7|10|.700|8|30|12|6|8|20|15
18|18|2015-01-17||Middle Tennessee|W|75|68|23|54|.426|3|13|.231|26|36|.722|9|34|13|6|13|12|22||21|58|.362|5|14|.357|21|26|.808|11|37|8|7|7|14|27
19|19|2015-01-22|@|North Texas|L|66|73|27|68|.397|9|32|.281|3|6|.500|9|28|11|7|2|9|17||26|54|.481|6|14|.429|15|25|.600|13|39|5|5|4|15|9
20|20|2015-01-24|@|Rice|W|58|45|21|47|.447|6|13|.462|10|16|.625|8|28|15|8|4|12|20||14|43|.326|5|19|.263|12|19|.632|4|22|8|6|0|18|15
21|21|2015-01-29||Western Kentucky|W|69|56|29|62|.468|4|20|.200|7|14|.500|7|38|17|9|4|10|9||22|53|.415|7|22|.318|5|11|.455|2|29|13|9|3|16|18
