ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Navy|W|64|59|25|53|.472|8|19|.421|6|10|.600|8|36|18|6|4|14|13||24|59|.407|5|17|.294|6|10|.600|7|26|18|8|2|10|17
2|2|2014-11-18|N|Duke|L|71|81|30|60|.500|5|20|.250|6|10|.600|12|33|15|2|0|13|22||27|50|.540|7|14|.500|20|26|.769|4|22|15|6|5|8|16
3|3|2014-11-21||Loyola (IL)|W|87|52|36|57|.632|9|18|.500|6|13|.462|7|38|27|6|5|14|13||20|58|.345|7|20|.350|5|8|.625|7|21|13|5|1|16|18
4|4|2014-11-24||Santa Clara|W|79|52|29|66|.439|12|30|.400|9|17|.529|19|50|22|4|10|12|15||18|62|.290|5|22|.227|11|12|.917|8|28|6|6|3|13|18
5|5|2014-11-27|N|Rider|W|77|45|27|55|.491|12|25|.480|11|15|.733|9|41|16|4|3|14|20||16|62|.258|1|13|.077|12|19|.632|16|37|3|7|1|11|18
6|6|2014-11-28|N|Marquette|W|79|68|26|45|.578|12|23|.522|15|18|.833|3|25|14|7|6|16|18||25|56|.446|6|14|.429|12|18|.667|7|22|13|8|0|12|17
7|7|2014-11-30|N|Kansas|L|56|61|19|59|.322|6|17|.353|12|17|.706|9|35|5|5|4|7|22||20|54|.370|3|14|.214|18|27|.667|12|43|8|3|5|12|17
8|8|2014-12-03|@|Notre Dame|L (1 OT)|78|79|32|65|.492|9|17|.529|5|9|.556|15|38|16|2|5|12|22||26|56|.464|7|23|.304|20|25|.800|5|22|7|7|3|4|14
9|9|2014-12-06||Arkansas-Pine Bluff|W|85|52|30|50|.600|10|18|.556|15|27|.556|10|39|27|8|5|18|14||17|55|.309|6|24|.250|12|21|.571|6|23|9|15|3|15|23
10|10|2014-12-14||Oakland|W|87|61|34|61|.557|10|17|.588|9|19|.474|9|37|25|10|1|8|18||21|53|.396|5|20|.250|14|22|.636|7|28|15|4|1|15|17
11|11|2014-12-17||Eastern Michigan|W|66|46|20|53|.377|7|21|.333|19|25|.760|11|44|17|4|5|12|19||14|62|.226|4|22|.182|14|19|.737|8|31|8|6|8|10|19
12|12|2014-12-20||Texas Southern|L (1 OT)|64|71|24|61|.393|4|21|.190|12|21|.571|17|38|13|5|3|13|22||25|47|.532|4|12|.333|17|26|.654|5|26|11|7|2|11|21
13|13|2014-12-22||Citadel|W|82|56|32|53|.604|4|11|.364|14|19|.737|8|32|23|8|2|10|15||20|48|.417|8|21|.381|8|13|.615|3|16|15|3|1|15|17
14|14|2014-12-30||Maryland|L (2 OT)|66|68|21|65|.323|5|22|.227|19|28|.679|8|35|15|11|5|12|27||19|57|.333|4|22|.182|26|32|.813|10|46|8|7|4|20|24
15|15|2015-01-05||Indiana|W|70|50|28|60|.467|5|15|.333|9|16|.563|15|46|21|5|7|11|15||17|60|.283|5|24|.208|11|13|.846|8|24|8|4|1|6|13
16|16|2015-01-08|@|Iowa|W|75|61|27|53|.509|12|17|.706|9|12|.750|7|32|19|5|3|10|21||22|51|.431|2|12|.167|15|24|.625|7|28|12|4|4|8|14
17|17|2015-01-11||Northwestern|W (1 OT)|84|77|31|62|.500|3|11|.273|19|26|.731|11|30|18|6|1|7|14||26|55|.473|12|25|.480|13|16|.813|7|30|17|1|1|13|19
18|18|2015-01-17|@|Maryland|L|59|75|26|58|.448|3|17|.176|4|13|.308|13|33|13|4|8|12|21||22|51|.431|11|21|.524|20|22|.909|7|29|11|2|6|8|17
19|19|2015-01-21||Penn State|W|66|60|23|54|.426|4|13|.308|16|25|.640|15|38|16|5|5|13|20||20|47|.426|7|19|.368|13|22|.591|7|24|7|7|0|12|24
20|20|2015-01-24|@|Nebraska|L|77|79|27|66|.409|8|23|.348|15|25|.600|21|45|12|8|0|14|27||22|45|.489|6|17|.353|29|37|.784|5|26|6|7|2|9|22
21|21|2015-01-29|@|Rutgers|W|71|51|27|53|.509|8|20|.400|9|14|.643|7|41|14|6|7|17|18||16|55|.291|4|15|.267|15|22|.682|8|27|7|9|2|9|14
22|22|2015-02-01||Michigan|W (1 OT)|76|66|27|58|.466|8|22|.364|14|22|.636|12|41|19|10|7|12|13||27|62|.435|6|20|.300|6|10|.600|4|25|8|5|0|10|19
23|23|2015-02-07||Illinois|L|54|59|20|52|.385|7|20|.350|7|18|.389|8|32|13|4|4|9|14||21|51|.412|5|17|.294|12|16|.750|5|30|8|6|3|8|20
24|24|2015-02-10|@|Northwestern|W|68|44|23|50|.460|13|25|.520|9|13|.692|10|29|19|6|7|11|13||15|42|.357|3|15|.200|11|17|.647|7|20|9|6|2|14|18
25|25|2015-02-14||Ohio State|W|59|56|24|50|.480|7|15|.467|4|7|.571|5|28|19|4|8|10|14||23|52|.442|5|17|.294|5|13|.385|10|28|13|5|5|9|12
26|26|2015-02-17|@|Michigan|W|80|67|31|50|.620|6|18|.333|12|17|.706|9|32|17|1|3|8|18||19|48|.396|8|22|.364|21|28|.750|8|22|10|6|1|6|18
27|27|2015-02-22|@|Illinois|W|60|53|20|47|.426|3|15|.200|17|20|.850|4|32|8|2|3|10|24||15|52|.288|2|16|.125|21|28|.750|8|25|5|5|2|5|22
28|28|2015-02-26||Minnesota|L (1 OT)|90|96|29|63|.460|13|32|.406|19|29|.655|11|33|24|4|6|12|29||29|56|.518|9|21|.429|29|40|.725|4|30|16|6|3|8|23
29|29|2015-03-01|@|Wisconsin|L|61|68|24|53|.453|9|17|.529|4|9|.444|6|23|14|3|4|7|17||26|50|.520|4|14|.286|12|15|.800|7|30|10|3|3|8|9
30|30|2015-03-04||Purdue|W|72|66|23|52|.442|9|23|.391|17|29|.586|10|30|12|8|7|7|16||24|53|.453|10|21|.476|8|12|.667|8|31|15|6|6|12|24
31|31|2015-03-07|@|Indiana|W|74|72|28|64|.438|7|28|.250|11|20|.550|12|35|17|4|3|8|21||24|52|.462|9|24|.375|15|20|.750|5|32|11|3|2|14|21
32|32|2015-03-13|N|Ohio State|W|76|67|29|61|.475|7|21|.333|11|18|.611|10|34|23|6|8|7|20||23|58|.397|7|19|.368|14|20|.700|8|32|16|6|5|12|18
33|33|2015-03-14|N|Maryland|W|62|58|22|50|.440|5|18|.278|13|20|.650|12|28|15|5|4|11|18||20|50|.400|8|20|.400|10|13|.769|7|24|12|4|3|12|18
34|34|2015-03-15|N|Wisconsin|L (1 OT)|69|80|27|53|.509|6|14|.429|9|9|1.000|6|29|16|3|2|13|17||25|52|.481|13|26|.500|17|20|.850|3|21|18|7|1|6|11
