ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Pfeiffer|W|81|43|28|59|.475|9|26|.346|16|21|.762|11|32|17|9|5|12|20||13|37|.351|1|8|.125|16|28|.571|7|26|4|6|4|22|18
2|2|2014-11-16|@|Virginia|L|39|67|12|51|.235|7|17|.412|8|9|.889|11|29|8|3|4|13|18||23|53|.434|10|21|.476|11|17|.647|10|36|19|9|11|10|11
3|3|2014-11-19||Boston University|L|63|71|20|52|.385|5|23|.217|18|26|.692|10|27|7|6|6|11|27||21|42|.500|9|21|.429|20|32|.625|7|29|16|5|3|16|18
4|4|2014-11-22||Texas Southern|W|76|66|28|60|.467|7|13|.538|13|26|.500|14|34|15|8|2|9|24||22|48|.458|6|19|.316|16|29|.552|6|28|10|5|6|14|23
5|5|2014-11-25|@|Vanderbilt|L|53|63|18|56|.321|3|19|.158|14|19|.737|10|37|7|3|3|11|21||22|50|.440|9|22|.409|10|18|.556|6|30|19|5|4|9|19
6|6|2014-11-28|N|St. Francis (NY)|W (1 OT)|72|70|26|48|.542|3|8|.375|17|25|.680|7|28|14|8|4|20|24||24|54|.444|6|22|.273|16|24|.667|11|28|12|7|7|19|23
7|7|2014-11-29|N|Saint Peter's|W|60|58|19|43|.442|4|15|.267|18|25|.720|9|27|10|7|3|13|16||18|40|.450|12|22|.545|10|16|.625|3|20|14|4|1|14|22
8|8|2014-12-02|@|Hofstra|L|74|88|29|63|.460|10|23|.435|6|10|.600|12|31|22|3|2|14|27||24|46|.522|14|25|.560|26|37|.703|6|25|17|9|2|8|14
9|9|2014-12-06||Morgan State|W|85|65|31|49|.633|4|8|.500|19|23|.826|8|37|15|3|3|20|21||21|61|.344|8|25|.320|15|28|.536|13|24|12|5|3|12|20
10|10|2014-12-08||Coppin State|W|88|69|33|63|.524|11|22|.500|11|18|.611|8|47|21|2|4|15|14||28|76|.368|6|35|.171|7|11|.636|7|28|12|7|3|7|16
11|11|2014-12-13|@|Mount St. Mary's|L (1 OT)|64|67|22|53|.415|4|13|.308|16|25|.640|5|34|12|1|4|14|20||24|57|.421|9|28|.321|10|16|.625|6|30|15|4|6|9|26
12|12|2014-12-15||Virginia Wise|W|88|49|35|65|.538|8|22|.364|10|14|.714|14|44|20|11|2|9|8||19|58|.328|10|33|.303|1|4|.250|9|24|11|3|1|17|13
13|13|2014-12-19||Northern Arizona|W|81|62|27|47|.574|7|15|.467|20|36|.556|9|32|11|3|8|13|17||20|56|.357|5|15|.333|17|22|.773|11|29|7|7|1|15|27
14|14|2014-12-22|@|James Madison|W (1 OT)|74|71|25|48|.521|5|12|.417|19|28|.679|9|37|16|3|9|17|25||21|57|.368|8|22|.364|21|28|.750|9|26|16|9|1|12|23
15|15|2014-12-30|@|Baylor|L|51|92|18|54|.333|5|17|.294|10|16|.625|12|28|11|6|5|18|19||34|68|.500|8|19|.421|16|24|.667|23|44|28|11|8|10|13
