ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Greensboro|W|91|61|34|65|.523|3|12|.250|20|28|.714|18|49|9|9|6|18|18||22|74|.297|3|18|.167|14|24|.583|19|31|9|12|3|13|21
2|2|2014-11-17||South Carolina Upstate|L|46|63|16|50|.320|3|20|.150|11|24|.458|10|29|7|5|8|14|18||24|63|.381|9|24|.375|6|14|.429|14|37|18|9|1|9|20
3|3|2014-11-19|@|Northern Kentucky|L|55|68|20|49|.408|5|15|.333|10|11|.909|6|24|8|4|2|10|14||25|51|.490|9|19|.474|9|13|.692|9|27|14|5|2|9|14
4|4|2014-11-23|@|Bradley|L|50|58|19|49|.388|4|12|.333|8|13|.615|13|33|10|5|4|16|20||17|44|.386|4|13|.308|20|31|.645|9|29|13|9|2|11|16
5|5|2014-11-25|@|Saint Louis|L|54|57|21|51|.412|5|16|.313|7|12|.583|11|25|10|13|5|20|24||13|38|.342|5|15|.333|26|34|.765|7|28|7|8|3|19|15
6|6|2014-11-28|N|Radford|L|57|65|24|63|.381|3|14|.214|6|10|.600|16|31|8|8|4|9|18||21|46|.457|9|21|.429|14|22|.636|11|34|15|2|6|14|10
7|7|2014-11-29|N|Mississippi Valley State|L|63|66|22|59|.373|2|14|.143|17|29|.586|18|43|10|10|7|20|24||21|57|.368|5|14|.357|19|26|.731|10|30|9|9|1|13|19
8|8|2014-12-04|@|South Carolina Upstate|L|54|65|19|51|.373|5|22|.227|11|14|.786|8|34|8|2|6|13|19||21|56|.375|8|27|.296|15|26|.577|9|33|13|8|2|5|15
9|9|2014-12-06|@|Howard|L|47|54|14|53|.264|6|31|.194|13|21|.619|12|25|5|7|0|13|17||19|42|.452|1|12|.083|15|20|.750|7|35|10|6|2|20|21
10|10|2014-12-08|@|Maryland-Eastern Shore|L|58|69|21|42|.500|4|15|.267|12|22|.545|6|27|10|7|2|19|26||18|45|.400|11|26|.423|22|38|.579|12|33|16|9|0|17|25
11|11|2014-12-14|@|Old Dominion|L|48|85|19|48|.396|6|22|.273|4|10|.400|1|16|13|3|1|13|15||33|61|.541|6|23|.261|13|18|.722|11|37|20|7|4|6|10
12|12|2014-12-17|@|Ohio State|L|55|97|22|58|.379|8|26|.308|3|4|.750|7|28|16|7|1|26|15||35|62|.565|7|19|.368|20|22|.909|7|30|21|18|2|11|10
13|13|2014-12-19|@|Kent State|L|57|71|17|44|.386|5|15|.333|18|22|.818|7|27|4|3|2|23|18||24|49|.490|10|22|.455|13|27|.481|10|25|16|8|8|11|20
14|14|2014-12-28||North Carolina Wesleyan|W|58|54|13|43|.302|4|15|.267|28|39|.718|5|29|9|12|11|22|20||15|56|.268|5|15|.333|19|25|.760|13|37|7|16|1|24|27
15|15|2014-12-30|@|South Carolina|L|54|91|18|55|.327|6|22|.273|12|15|.800|7|17|8|4|2|18|26||29|53|.547|5|9|.556|28|34|.824|12|41|20|7|7|16|17
16|16|2015-01-03||Cal State Bakersfield|W|83|70|20|42|.476|8|17|.471|35|39|.897|8|32|7|2|3|14|24||18|50|.360|9|22|.409|25|30|.833|8|24|12|6|2|10|34
17|17|2015-01-10||Savannah State|W|68|47|20|42|.476|9|19|.474|19|33|.576|11|36|12|10|11|20|15||19|55|.345|2|13|.154|7|10|.700|6|20|4|8|0|17|24
18|18|2015-01-12||South Carolina State|L|50|52|19|50|.380|4|18|.222|8|17|.471|11|35|8|2|4|14|16||16|49|.327|6|17|.353|14|20|.700|8|29|5|7|1|8|24
19|19|2015-01-17|@|Hampton|W|64|61|24|46|.522|5|10|.500|11|19|.579|5|29|5|6|2|16|15||26|64|.406|4|22|.182|5|12|.417|14|32|11|7|7|11|18
20|20|2015-01-19|@|Norfolk State|L|60|74|20|48|.417|6|22|.273|14|18|.778|11|20|11|4|2|12|17||28|46|.609|8|13|.615|10|13|.769|8|25|16|7|3|14|20
21|21|2015-01-24||Delaware State|L|52|67|18|64|.281|5|25|.200|11|15|.733|19|38|9|6|5|12|13||27|58|.466|8|26|.308|5|6|.833|10|33|16|7|2|12|15
22|22|2015-01-26||Coppin State|L|71|84|25|54|.463|2|12|.167|19|28|.679|12|39|7|0|2|18|24||27|60|.450|11|26|.423|19|32|.594|9|26|14|8|2|5|21
23|23|2015-01-31|@|Savannah State|W|62|59|16|42|.381|3|14|.214|27|34|.794|6|24|5|7|10|17|24||19|45|.422|3|8|.375|18|24|.750|7|18|10|8|1|17|28
24|24|2015-02-04|@|Charlotte|L|61|77|21|49|.429|6|15|.400|13|20|.650|7|25|11|7|2|16|19||30|59|.508|7|20|.350|10|19|.526|12|30|16|6|1|10|16
25|25|2015-02-07||North Carolina Central|L|44|58|13|42|.310|2|13|.154|16|21|.762|6|23|7|2|3|8|15||21|46|.457|7|20|.350|9|14|.643|7|31|8|5|2|13|22
26|26|2015-02-14|@|Florida A&M|L|50|57|17|51|.333|3|13|.231|13|21|.619|13|33|8|5|4|14|20||19|49|.388|7|19|.368|12|17|.706|7|28|9|7|2|12|20
27|27|2015-02-16|@|Bethune-Cookman|L|56|78|18|46|.391|3|17|.176|17|23|.739|7|21|10|3|4|16|20||24|49|.490|9|21|.429|21|24|.875|10|34|13|8|4|16|26
