ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Black Hills State|W|83|62|31|60|.517|4|14|.286|17|21|.810|10|30|12|8|3|6|17||20|47|.426|9|26|.346|13|18|.722|5|25|10|2|2|13|24
2|2|2014-11-16|@|Wyoming|L|70|78|25|51|.490|6|17|.353|14|19|.737|7|18|11|7|0|9|25||26|42|.619|8|18|.444|18|22|.818|5|22|21|5|4|12|15
3|3|2014-11-19|@|New Mexico State|L|65|86|27|62|.435|3|15|.200|8|12|.667|12|27|8|2|1|12|23||32|58|.552|5|11|.455|17|26|.654|16|36|16|6|5|12|14
4|4|2014-11-24||Colorado Christian|W|93|58|30|51|.588|12|20|.600|21|27|.778|6|30|18|7|3|10|24||17|48|.354|8|28|.286|16|25|.640|9|25|11|4|4|19|21
5|5|2014-11-28||Stetson|W|82|62|29|52|.558|6|13|.462|18|21|.857|5|26|15|7|2|5|24||22|48|.458|6|20|.300|12|21|.571|7|23|10|2|2|12|19
6|6|2014-11-30||Florida A&M|W|95|56|34|59|.576|12|27|.444|15|20|.750|5|35|21|9|1|8|25||16|48|.333|1|9|.111|23|35|.657|4|23|6|3|1|11|13
7|7|2014-12-07|@|Colorado State|L|58|66|24|57|.421|4|21|.190|6|16|.375|9|29|14|6|2|14|25||24|51|.471|4|15|.267|14|30|.467|13|38|16|5|1|14|15
8|8|2014-12-13|@|Colorado|L|68|93|24|61|.393|10|18|.556|10|13|.769|13|23|10|5|1|8|21||31|49|.633|12|18|.667|19|23|.826|10|35|21|4|6|11|17
9|9|2014-12-17|@|Nebraska-Omaha|L|82|92|29|62|.468|7|20|.350|17|23|.739|11|25|10|2|2|10|24||30|55|.545|9|19|.474|23|29|.793|11|33|15|3|4|13|21
10|10|2014-12-20||Jacksonville State|W|69|60|26|49|.531|3|10|.300|14|21|.667|7|27|11|8|2|15|17||22|49|.449|7|19|.368|9|16|.563|9|23|14|6|3|14|22
11|11|2014-12-22||California-Davis|L|63|73|21|55|.382|7|19|.368|14|20|.700|5|25|10|4|1|6|19||24|47|.511|9|23|.391|16|24|.667|6|32|12|1|3|12|21
12|12|2015-01-01|@|Montana|L|48|66|18|49|.367|3|16|.188|9|16|.563|9|32|8|6|1|11|16||22|56|.393|11|31|.355|11|15|.733|10|34|17|3|0|10|18
13|13|2015-01-03|@|Montana State|W|62|54|22|49|.449|9|18|.500|9|11|.818|9|30|9|3|3|15|14||21|51|.412|6|22|.273|6|13|.462|7|22|13|5|4|10|15
14|14|2015-01-08||Portland State|W|90|85|32|62|.516|11|24|.458|15|20|.750|8|24|17|7|4|8|16||28|53|.528|12|19|.632|17|22|.773|7|23|14|4|1|13|20
15|15|2015-01-10||Sacramento State|W|84|73|32|50|.640|6|10|.600|14|17|.824|3|24|20|8|3|11|15||28|63|.444|8|25|.320|9|11|.818|10|24|11|7|1|11|16
16|16|2015-01-17|@|North Dakota|W (1 OT)|88|78|30|59|.508|8|19|.421|20|25|.800|7|35|14|6|3|13|18||26|60|.433|8|21|.381|18|22|.818|6|26|16|6|3|14|24
17|17|2015-01-22|@|Eastern Washington|L|85|95|28|64|.438|10|24|.417|19|27|.704|13|25|13|9|3|10|22||28|52|.538|13|24|.542|26|29|.897|10|36|12|7|6|16|20
18|18|2015-01-24|@|Idaho|L|79|83|29|53|.547|6|17|.353|15|22|.682|8|19|11|7|3|10|20||29|49|.592|11|19|.579|14|24|.583|11|21|16|6|6|14|21
19|19|2015-01-29||Idaho State|W|79|76|28|60|.467|12|17|.706|11|14|.786|9|26|17|9|1|11|15||30|54|.556|8|14|.571|8|10|.800|7|30|13|5|3|14|14
20|20|2015-01-31||Weber State|W|71|57|26|55|.473|9|20|.450|10|13|.769|8|29|14|5|2|6|22||18|43|.419|7|24|.292|14|24|.583|4|23|10|2|2|12|15
21|21|2015-02-05|@|Northern Arizona|L|60|65|23|54|.426|7|24|.292|7|12|.583|5|26|6|5|0|8|19||19|52|.365|8|20|.400|19|25|.760|10|37|10|3|5|11|13
22|22|2015-02-07|@|Southern Utah|W|84|80|28|50|.560|5|11|.455|23|35|.657|2|24|15|12|0|12|25||26|54|.481|9|21|.429|19|26|.731|7|31|15|2|3|19|29
23|23|2015-02-12||Montana State|L|87|90|29|56|.518|7|18|.389|22|30|.733|8|23|10|6|4|11|20||31|60|.517|9|22|.409|19|24|.792|9|31|12|3|6|13|24
24|24|2015-02-14||Montana|L (3 OT)|81|83|25|65|.385|9|22|.409|22|32|.688|14|39|12|13|2|19|19||30|67|.448|11|31|.355|12|19|.632|10|34|18|8|5|18|21
25|25|2015-02-19|@|Sacramento State|L|59|66|25|60|.417|3|19|.158|6|14|.429|11|27|12|12|1|10|21||22|44|.500|4|15|.267|18|29|.621|11|37|14|5|6|16|18
26|26|2015-02-21|@|Portland State|L|75|91|27|59|.458|7|17|.412|14|18|.778|13|30|17|4|3|10|20||32|61|.525|12|24|.500|15|19|.789|8|26|19|5|5|7|19
27|27|2015-02-26||Southern Utah|W|77|67|28|54|.519|2|11|.182|19|27|.704|7|36|12|7|4|10|14||26|57|.456|7|18|.389|8|9|.889|0|22|15|8|6|13|19
