ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||Appalachian State|W|73|47|26|55|.473|8|19|.421|13|20|.650|4|37|12|2|6|12|19||18|55|.327|4|16|.250|7|16|.438|8|34|12|3|2|14|18
2|2|2014-11-19|@|Florida Gulf Coast|L|62|79|20|60|.333|2|20|.100|20|28|.714|8|28|5|7|4|10|20||31|61|.508|6|13|.462|11|16|.688|11|38|16|5|8|12|23
3|3|2014-11-25||Arkansas-Pine Bluff|W|69|60|22|49|.449|4|17|.235|21|27|.778|9|40|15|9|3|20|13||21|64|.328|7|28|.250|11|14|.786|7|27|13|8|2|15|24
4|4|2014-11-29||Belmont|L|81|83|33|67|.493|9|28|.321|6|10|.600|7|36|13|3|4|6|20||29|57|.509|14|30|.467|11|18|.611|1|27|17|0|0|8|16
5|5|2014-12-06||St. Bonaventure|L|70|80|25|61|.410|5|19|.263|15|22|.682|12|33|9|5|4|12|23||26|56|.464|6|13|.462|22|28|.786|10|33|5|4|5|7|17
6|6|2014-12-13||Alcorn State|W|66|55|24|51|.471|7|20|.350|11|19|.579|7|32|8|4|3|13|17||19|57|.333|3|12|.250|14|16|.875|11|32|6|6|1|15|16
7|7|2014-12-18|@|Evansville|L (1 OT)|69|81|29|70|.414|9|26|.346|2|3|.667|10|31|10|5|4|12|23||27|54|.500|4|12|.333|23|28|.821|6|35|21|3|5|14|14
8|8|2014-12-22|N|George Washington|L|49|77|21|56|.375|6|21|.286|1|3|.333|7|25|7|2|4|14|16||30|63|.476|5|16|.313|12|18|.667|14|43|7|5|3|8|10
9|9|2014-12-23|N|DePaul|W|99|78|38|64|.594|10|24|.417|13|18|.722|10|36|14|7|2|10|19||25|61|.410|8|26|.308|20|24|.833|8|26|7|4|2|14|21
10|10|2014-12-25|N|Nebraska|L|58|71|20|53|.377|7|22|.318|11|15|.733|3|26|7|7|0|15|19||23|51|.451|4|15|.267|21|27|.778|7|37|9|10|4|11|16
11|11|2014-12-30||North Carolina-Wilmington|W|72|53|26|56|.464|3|12|.250|17|25|.680|9|41|14|6|9|13|15||20|64|.313|4|15|.267|9|16|.563|8|33|5|3|2|10|25
12|12|2015-01-07||Northern Illinois|L|60|70|22|54|.407|6|24|.250|10|16|.625|7|24|13|6|7|14|18||23|53|.434|5|11|.455|19|22|.864|9|30|7|8|0|13|16
13|13|2015-01-10|@|Bowling Green State|L|54|69|19|57|.333|8|22|.364|8|11|.727|8|30|13|5|4|10|13||26|59|.441|8|21|.381|9|11|.818|10|40|18|5|6|8|13
14|14|2015-01-14||Toledo|L|73|80|28|56|.500|8|22|.364|9|14|.643|9|34|16|1|7|11|20||29|66|.439|4|12|.333|18|22|.818|12|32|13|7|2|6|10
15|15|2015-01-17|@|Kent State|L|59|69|18|53|.340|4|12|.333|19|24|.792|8|34|7|6|3|14|20||22|55|.400|8|20|.400|17|27|.630|7|30|10|6|6|7|18
16|16|2015-01-21|@|Ball State|W|82|73|29|47|.617|13|18|.722|11|17|.647|4|25|20|9|2|15|18||24|56|.429|11|27|.407|14|20|.700|12|27|15|6|2|12|20
17|17|2015-01-24||Buffalo|W|63|61|22|53|.415|6|19|.316|13|16|.813|7|26|7|5|5|12|13||23|64|.359|4|22|.182|11|13|.846|14|35|7|5|0|14|21
18|18|2015-01-27|@|Eastern Michigan|L|40|76|13|57|.228|2|19|.105|12|17|.706|11|31|8|5|4|18|9||32|64|.500|3|17|.176|9|11|.818|7|41|15|11|7|12|18
19|19|2015-01-31|@|Central Michigan|L|69|74|24|51|.471|5|18|.278|16|19|.842|8|31|6|4|3|15|17||26|56|.464|11|31|.355|11|19|.579|8|27|12|9|0|8|14
20|20|2015-02-04||Akron|W|83|82|28|54|.519|11|18|.611|16|24|.667|10|30|10|9|5|11|11||32|69|.464|18|36|.500|0|6|.000|11|29|17|6|4|12|14
21|21|2015-02-07||Eastern Michigan|W|76|73|24|51|.471|8|22|.364|20|25|.800|9|36|15|4|9|15|20||23|58|.397|10|26|.385|17|24|.708|7|24|9|7|0|7|20
22|22|2015-02-10||Central Michigan|L|57|68|20|50|.400|6|19|.316|11|13|.846|7|28|11|3|4|14|18||22|56|.393|6|28|.214|18|23|.783|12|35|11|10|1|9|15
23|23|2015-02-14|@|Miami (OH)|L|66|77|27|59|.458|10|28|.357|2|3|.667|8|27|14|6|3|12|16||27|49|.551|5|12|.417|18|26|.692|3|25|11|9|4|6|8
24|24|2015-02-18|@|Western Michigan|L|69|80|28|59|.475|8|25|.320|5|7|.714|5|20|11|5|3|11|21||28|54|.519|9|23|.391|15|20|.750|7|33|14|5|4|14|11
25|25|2015-02-21||Kent State|L|51|64|18|51|.353|2|12|.167|13|19|.684|8|32|9|5|3|11|19||20|53|.377|7|18|.389|17|20|.850|10|36|8|5|3|11|18
26|26|2015-02-24||Bowling Green State|L|65|76|25|61|.410|8|21|.381|7|8|.875|9|27|13|5|3|11|14||29|65|.446|4|17|.235|14|17|.824|15|40|10|8|3|9|15
27|27|2015-02-27|@|Akron|L|58|70|17|53|.321|6|26|.231|18|20|.900|10|30|6|5|5|9|17||23|54|.426|11|28|.393|13|20|.650|8|27|16|6|5|9|17
28|28|2015-03-03|@|Buffalo|L|66|93|23|56|.411|12|27|.444|8|8|1.000|3|29|16|4|5|16|14||36|73|.493|10|23|.435|11|15|.733|10|39|23|11|0|6|10
29|29|2015-03-06||Miami (OH)|W|95|65|32|56|.571|17|31|.548|14|15|.933|4|35|19|5|7|14|9||26|71|.366|10|20|.500|3|7|.429|12|33|12|7|0|11|17
30|30|2015-03-09|@|Western Michigan|L|74|82|26|58|.448|7|26|.269|15|20|.750|7|33|13|5|3|11|21||24|57|.421|12|27|.444|22|27|.815|6|35|10|6|3|6|16
