ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Niagara|W|78|45|30|57|.526|7|16|.438|11|14|.786|7|35|20|3|2|9|23||12|48|.250|0|14|.000|21|29|.724|9|23|4|2|4|11|18
2|2|2014-11-16||Samford|W|63|56|24|47|.511|3|9|.333|12|17|.706|6|30|20|2|7|11|15||19|59|.322|8|23|.348|10|12|.833|11|29|9|4|4|7|17
3|3|2014-11-21|N|Hawaii|L|70|74|25|58|.431|8|23|.348|12|15|.800|13|27|16|4|2|8|17||27|51|.529|7|20|.350|13|18|.722|9|23|12|5|2|7|13
4|4|2014-11-24|N|Chaminade|W|81|68|29|63|.460|7|17|.412|16|23|.696|25|47|15|6|1|15|18||25|49|.510|11|27|.407|7|13|.538|4|14|16|7|2|13|23
5|5|2014-11-25|N|San Diego State|L|57|74|20|53|.377|5|17|.294|12|17|.706|14|31|9|3|2|14|19||27|46|.587|3|11|.273|17|22|.773|5|21|9|8|10|9|14
6|6|2014-11-26|N|Kansas State|W|70|47|26|47|.553|8|15|.533|10|14|.714|5|21|17|9|0|10|17||15|46|.326|2|13|.154|15|17|.882|11|29|10|5|1|14|17
7|7|2014-12-02|@|Indiana|L|69|81|26|72|.361|7|26|.269|10|14|.714|22|41|16|4|3|11|18||33|61|.541|7|17|.412|8|13|.615|12|35|17|5|3|8|17
8|8|2014-12-05|N|Duquesne|W|76|62|25|57|.439|6|17|.353|20|32|.625|12|42|20|6|5|10|18||22|59|.373|7|22|.318|11|19|.579|7|30|14|7|2|14|22
9|9|2014-12-13||St. Bonaventure|W|58|54|20|50|.400|3|10|.300|15|23|.652|6|31|13|3|7|12|17||18|50|.360|5|15|.333|13|19|.684|9|34|8|9|2|15|20
10|10|2014-12-17||Manhattan|W|65|56|23|45|.511|2|4|.500|17|25|.680|5|23|20|7|5|16|19||21|44|.477|4|14|.286|10|18|.556|4|23|9|9|2|20|19
11|11|2014-12-20||Oakland|W (1 OT)|81|77|26|56|.464|5|14|.357|24|29|.828|10|30|16|5|5|5|12||29|62|.468|7|20|.350|12|14|.857|11|35|16|2|1|9|22
12|12|2014-12-23||Holy Cross|W|58|39|25|59|.424|1|8|.125|7|12|.583|12|40|11|4|2|11|13||15|50|.300|4|24|.167|5|7|.714|4|21|6|4|6|9|16
13|13|2014-12-30||Florida Gulf Coast|W|71|54|28|52|.538|4|12|.333|11|17|.647|8|23|19|8|3|10|14||23|50|.460|1|7|.143|7|8|.875|7|21|11|3|3|16|14
14|14|2015-01-03|@|North Carolina State|L|50|68|18|55|.327|5|15|.333|9|12|.750|11|28|10|6|2|6|13||27|52|.519|6|16|.375|8|9|.889|7|31|10|4|9|10|14
15|15|2015-01-06|@|Boston College|W (1 OT)|61|60|23|60|.383|1|8|.125|14|18|.778|13|35|15|4|3|12|13||23|58|.397|6|16|.375|8|9|.889|9|31|12|1|2|15|16
16|16|2015-01-10||Clemson|L|62|71|21|53|.396|4|13|.308|16|18|.889|5|20|12|4|4|2|19||24|51|.471|8|18|.444|15|20|.750|12|35|15|1|1|8|14
17|17|2015-01-14||Florida State|W|73|64|24|55|.436|3|10|.300|22|32|.688|15|38|13|4|2|6|21||21|51|.412|4|11|.364|18|27|.667|8|27|13|4|7|7|22
18|18|2015-01-17||Georgia Tech|W|70|65|24|55|.436|2|11|.182|20|26|.769|10|25|17|7|3|6|18||21|53|.396|6|14|.429|17|20|.850|14|36|14|3|2|15|21
19|19|2015-01-19|@|Duke|L|65|79|27|60|.450|3|10|.300|8|12|.667|9|27|16|5|2|11|18||24|52|.462|11|23|.478|20|25|.800|9|32|13|7|4|8|13
20|20|2015-01-25||Louisville|L|68|80|22|59|.373|6|23|.261|18|26|.692|14|28|18|9|3|12|21||30|46|.652|6|12|.500|14|22|.636|3|28|19|5|4|15|22
21|21|2015-01-27|@|Virginia Tech|L (1 OT)|67|70|27|61|.443|4|11|.364|9|17|.529|10|40|16|3|3|11|16||23|60|.383|12|27|.444|12|17|.706|9|29|15|4|4|9|16
22|22|2015-01-31||Notre Dame|W|76|72|31|53|.585|4|8|.500|10|14|.714|6|26|24|6|3|9|15||26|49|.531|7|18|.389|13|18|.722|4|22|11|7|1|10|15
23|23|2015-02-02||Bryant|W|72|67|27|59|.458|6|15|.400|12|19|.632|8|27|22|8|4|6|14||26|51|.510|6|14|.429|9|13|.692|2|25|18|5|2|14|13
24|24|2015-02-07||Syracuse|W|83|77|29|60|.483|7|22|.318|18|28|.643|14|33|22|9|3|10|20||26|52|.500|5|15|.333|20|30|.667|8|29|15|5|8|13|22
25|25|2015-02-11|@|Louisville|L|56|69|20|53|.377|4|12|.333|12|21|.571|7|27|12|5|3|9|18||27|54|.500|0|4|.000|15|18|.833|7|37|10|3|9|10|18
