ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Pace|W|94|54|36|72|.500|5|20|.250|17|27|.630|18|49|18|11|5|11|22||20|56|.357|2|19|.105|12|22|.545|9|27|10|3|1|17|22
2|2|2014-11-16||Massachusetts-Lowell|W|72|56|30|47|.638|4|13|.308|8|17|.471|11|33|19|5|5|18|22||16|43|.372|3|9|.333|21|26|.808|2|15|6|8|0|11|22
3|3|2014-11-22||Nebraska|W (1 OT)|66|62|21|61|.344|3|19|.158|21|33|.636|16|49|9|7|5|16|23||21|57|.368|3|20|.150|17|22|.773|6|30|10|6|6|16|23
4|4|2014-11-27|N|Kansas|L|60|76|19|52|.365|7|17|.412|15|24|.625|11|29|6|4|2|11|18||25|53|.472|8|17|.471|18|25|.720|12|34|13|8|7|11|20
5|5|2014-11-28|N|Santa Clara|W|66|44|25|47|.532|8|18|.444|8|12|.667|8|24|14|7|3|15|17||16|41|.390|5|15|.333|7|9|.778|5|14|7|4|2|13|13
6|6|2014-11-30|N|Georgia Tech|L|61|64|22|50|.440|3|16|.188|14|18|.778|4|23|11|7|2|16|25||19|42|.452|5|9|.556|21|31|.677|7|28|9|8|2|18|20
7|7|2014-12-06|@|Southern Mississippi|W|75|43|29|52|.558|7|16|.438|10|16|.625|8|28|19|9|2|10|23||15|38|.395|3|15|.200|10|22|.455|8|25|6|3|2|23|17
8|8|2014-12-10|@|Providence|L|60|68|22|47|.468|4|14|.286|12|22|.545|7|21|11|6|2|15|22||23|46|.500|1|6|.167|21|26|.808|5|26|14|10|5|12|18
9|9|2014-12-13||Delaware State|W|83|44|31|53|.585|3|9|.333|18|33|.545|5|41|16|10|9|11|21||16|63|.254|4|19|.211|8|15|.533|9|30|9|7|6|17|23
10|10|2014-12-20||Detroit Mercy|W|69|55|19|51|.373|5|19|.263|26|34|.765|7|32|11|5|7|13|19||19|54|.352|4|15|.267|13|20|.650|9|32|7|8|2|15|26
11|11|2014-12-31||Brown|W|80|60|28|55|.509|6|13|.462|18|24|.750|10|34|18|4|8|11|24||18|48|.375|5|12|.417|19|30|.633|8|24|12|6|4|12|23
12|12|2015-01-03|@|Saint Louis|W|65|53|24|52|.462|3|13|.231|14|19|.737|7|28|12|13|7|14|19||20|44|.455|2|12|.167|11|18|.611|7|25|10|5|5|21|19
13|13|2015-01-07||Fordham|W|68|65|24|51|.471|1|14|.071|19|35|.543|9|31|9|8|8|15|16||24|52|.462|4|12|.333|13|19|.684|7|32|7|8|1|17|24
14|14|2015-01-10|@|Duquesne|W|61|60|21|57|.368|8|22|.364|11|13|.846|11|28|14|2|3|15|12||24|55|.436|4|16|.250|8|12|.667|7|26|10|6|5|13|13
15|15|2015-01-13||Virginia Commonwealth|L|60|65|23|53|.434|1|8|.125|13|22|.591|9|38|13|8|8|18|20||24|59|.407|8|24|.333|9|21|.429|10|27|10|5|8|13|21
16|16|2015-01-17|@|Massachusetts|L|56|60|19|41|.463|2|5|.400|16|25|.640|6|28|12|4|9|14|21||20|55|.364|2|9|.222|18|26|.692|14|31|14|6|6|10|19
17|17|2015-01-22||La Salle|W|59|47|21|41|.512|3|9|.333|14|23|.609|4|37|16|6|15|18|14||21|64|.328|2|9|.222|3|6|.500|7|27|10|11|4|11|16
18|18|2015-01-25||St. Bonaventure|W|53|48|19|47|.404|3|16|.188|12|18|.667|7|32|13|5|9|14|16||18|51|.353|1|6|.167|11|14|.786|8|31|8|8|4|14|17
19|19|2015-01-28|@|Fordham|W|64|63|23|55|.418|7|17|.412|11|27|.407|12|31|15|10|5|15|20||21|51|.412|4|12|.333|17|23|.739|10|36|13|5|7|16|20
20|20|2015-01-31||George Washington|W|59|55|19|51|.373|1|14|.071|20|22|.909|11|29|10|12|7|13|19||21|49|.429|4|11|.364|9|17|.529|13|33|14|6|5|20|20
21|21|2015-02-08|@|Richmond|W|79|74|27|55|.491|4|11|.364|21|37|.568|14|42|11|4|3|18|31||24|53|.453|2|10|.200|24|37|.649|7|28|6|9|3|10|27
22|22|2015-02-11|@|Saint Joseph's|L|64|65|23|54|.426|5|17|.294|13|18|.722|6|26|13|7|5|12|21||21|51|.412|7|19|.368|16|24|.667|9|32|12|5|7|12|16
23|23|2015-02-14||Saint Louis|W|81|68|24|51|.471|6|15|.400|27|33|.818|10|25|16|5|5|10|27||19|37|.514|4|12|.333|26|34|.765|7|25|10|7|5|21|25
24|24|2015-02-18||Massachusetts|W|75|59|23|49|.469|6|13|.462|23|32|.719|10|30|15|9|5|13|20||21|46|.457|3|9|.333|14|25|.560|6|27|12|7|3|18|23
25|25|2015-02-21|@|George Mason|W|71|56|21|52|.404|7|17|.412|22|26|.846|9|33|9|4|5|13|22||16|52|.308|4|9|.444|20|32|.625|16|35|4|8|5|16|23
26|26|2015-02-25||Davidson|L|59|60|21|61|.344|1|19|.053|16|33|.485|17|44|9|8|7|10|18||23|56|.411|3|19|.158|11|15|.733|6|36|10|6|2|14|22
27|27|2015-02-28|@|La Salle|W|59|56|23|52|.442|2|11|.182|11|19|.579|11|28|13|4|1|15|22||20|47|.426|3|16|.188|13|25|.520|9|26|10|6|2|12|19
28|28|2015-03-03|@|Dayton|L|59|75|22|44|.500|3|12|.250|12|23|.522|4|21|12|2|6|11|26||24|42|.571|3|8|.375|24|31|.774|1|24|12|6|4|8|20
29|29|2015-03-07||Saint Joseph's|W|78|68|29|61|.475|3|18|.167|17|21|.810|9|29|15|9|1|8|15||27|48|.563|6|18|.333|8|17|.471|3|27|17|6|2|16|17
