ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Carroll (MT)|W|83|64|29|64|.453|11|25|.440|14|24|.583|19|38|14|5|3|10|18||23|45|.511|1|5|.200|17|24|.708|5|25|7|5|3|14|22
2|2|2014-11-17|@|Southern Mississippi|L|59|68|23|62|.371|5|27|.185|8|10|.800|6|25|12|7|4|14|24||21|51|.412|3|13|.231|23|34|.676|11|42|10|8|6|15|10
3|3|2014-11-22|@|Detroit Mercy|L|53|66|18|55|.327|5|21|.238|12|23|.522|12|44|7|8|6|22|18||21|61|.344|4|17|.235|20|23|.870|7|33|11|11|7|14|21
4|4|2014-11-28|@|Miami (FL)|L|75|87|32|79|.405|4|18|.222|7|14|.500|18|39|11|7|2|6|19||31|57|.544|7|16|.438|18|23|.783|8|32|21|3|8|9|11
5|5|2014-12-02||Spring Hill|W|71|54|20|55|.364|9|25|.360|22|31|.710|12|36|11|11|3|15|18||20|49|.408|5|8|.625|9|17|.529|7|33|10|4|3|19|26
6|6|2014-12-06||Middle Tennessee|L (1 OT)|67|68|24|56|.429|6|19|.316|13|21|.619|11|35|14|3|3|15|20||25|56|.446|4|12|.333|14|25|.560|8|28|13|5|0|10|21
7|7|2014-12-15|@|Pepperdine|L|68|78|23|60|.383|6|18|.333|16|24|.667|9|35|15|5|4|8|18||28|59|.475|4|15|.267|18|22|.818|8|38|20|4|4|7|16
8|8|2014-12-18|@|Richmond|L|54|65|23|65|.354|3|19|.158|5|7|.714|13|38|6|5|4|14|15||24|58|.414|6|23|.261|11|14|.786|10|35|12|7|7|10|13
9|9|2014-12-20|@|IUPUI|L (1 OT)|65|71|23|55|.418|10|21|.476|9|12|.750|9|32|11|8|6|22|26||23|53|.434|3|11|.273|22|32|.688|10|32|14|12|2|16|16
10|10|2014-12-23||Howard|L|60|73|15|49|.306|7|22|.318|23|29|.793|9|29|9|6|5|15|20||26|63|.413|7|18|.389|14|24|.583|19|41|15|6|2|13|18
11|11|2014-12-30||Arkansas State|L (1 OT)|60|63|25|64|.391|4|20|.200|6|12|.500|13|39|7|8|6|16|14||23|64|.359|5|19|.263|12|16|.750|12|38|9|7|3|11|14
12|12|2015-01-03|@|Texas-Arlington|L|87|99|29|55|.527|11|24|.458|18|28|.643|7|24|18|6|2|15|22||40|67|.597|3|15|.200|16|26|.615|13|38|24|10|0|13|23
13|13|2015-01-05|@|Arkansas-Little Rock|W|72|69|22|46|.478|7|17|.412|21|29|.724|5|28|16|0|5|12|19||22|54|.407|7|18|.389|18|20|.900|5|26|14|5|1|8|23
