ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||North Florida|W|81|56|29|57|.509|4|11|.364|19|26|.731|8|38|19|7|3|9|15||18|53|.340|10|32|.313|10|16|.625|2|22|9|2|5|15|22
2|2|2014-11-18||Baylor|L|65|69|22|54|.407|5|21|.238|16|19|.842|11|31|11|4|3|10|21||21|47|.447|6|18|.333|21|26|.808|5|25|10|6|1|11|20
3|3|2014-11-20|N|Cornell|W|69|45|22|58|.379|8|22|.364|17|21|.810|12|38|16|10|5|11|15||14|52|.269|5|20|.250|12|16|.750|8|28|6|6|6|17|19
4|4|2014-11-21|N|Charlotte|L|63|65|26|61|.426|3|18|.167|8|9|.889|9|33|13|6|7|16|21||23|53|.434|6|17|.353|13|19|.684|6|28|6|6|5|16|13
5|5|2014-11-23|N|Akron|L|63|68|25|64|.391|2|10|.200|11|20|.550|18|42|11|8|2|16|20||21|50|.420|4|20|.200|22|27|.815|7|28|6|6|6|15|19
6|6|2014-11-26||North Carolina-Asheville|W|89|75|31|60|.517|8|17|.471|19|26|.731|12|37|21|12|10|20|15||23|63|.365|15|29|.517|14|20|.700|13|30|12|11|3|22|21
7|7|2014-12-01|@|Marshall|W|77|59|30|63|.476|4|20|.200|13|24|.542|12|37|17|13|3|15|24||16|56|.286|5|26|.192|22|34|.647|17|40|9|6|3|18|20
8|8|2014-12-06||Oklahoma State|W|75|49|26|60|.433|6|17|.353|17|22|.773|10|45|14|6|8|11|19||16|65|.246|5|24|.208|12|19|.632|15|39|7|4|5|11|17
9|9|2014-12-19||Clemson|W|68|45|23|50|.460|7|22|.318|15|20|.750|7|35|17|7|7|12|14||17|57|.298|4|18|.222|7|12|.583|10|27|7|9|5|13|20
10|10|2014-12-21||Coker|W|78|52|31|64|.484|3|11|.273|13|19|.684|17|44|21|11|9|15|16||18|58|.310|7|21|.333|9|14|.643|11|27|8|8|1|19|21
11|11|2014-12-30||North Carolina A&T|W|91|54|29|53|.547|5|9|.556|28|34|.824|12|41|20|7|7|16|17||18|55|.327|6|22|.273|12|15|.800|7|17|8|4|2|18|26
12|12|2015-01-03|N|Iowa State|W|64|60|23|50|.460|2|10|.200|16|26|.615|9|35|8|8|4|19|28||20|57|.351|1|18|.056|19|33|.576|10|29|8|10|4|13|21
13|13|2015-01-07||Florida|L|68|72|20|49|.408|5|13|.385|23|27|.852|6|21|11|4|5|11|20||21|49|.429|5|19|.263|25|30|.833|11|31|14|7|4|17|24
14|14|2015-01-10|@|Mississippi|L|49|65|18|49|.367|4|20|.200|9|16|.563|6|28|16|5|2|15|20||20|49|.408|7|14|.500|18|22|.818|7|28|13|5|4|10|14
15|15|2015-01-13||Alabama|W|68|66|22|53|.415|3|14|.214|21|27|.778|12|32|9|5|1|12|27||20|41|.488|6|17|.353|20|30|.667|4|22|13|4|4|12|27
16|16|2015-01-17|@|Auburn|L|68|71|26|52|.500|8|18|.444|8|15|.533|7|26|12|3|4|17|27||19|52|.365|7|20|.350|26|33|.788|11|33|8|9|4|13|20
17|17|2015-01-20||Tennessee|L|62|66|22|64|.344|4|17|.235|14|15|.933|16|33|13|5|4|10|17||23|40|.575|10|18|.556|10|17|.588|5|25|9|6|3|17|17
18|18|2015-01-24||Kentucky|L|43|58|12|53|.226|3|10|.300|16|21|.762|14|34|5|3|2|11|20||18|39|.462|3|9|.333|19|27|.704|2|24|10|8|9|8|17
19|19|2015-01-28|@|Louisiana State|L|58|64|21|61|.344|7|19|.368|9|15|.600|17|37|11|6|7|14|17||22|48|.458|5|14|.357|15|19|.789|6|31|13|7|13|13|13
20|20|2015-01-31||Georgia|W|67|50|22|55|.400|6|19|.316|17|21|.810|7|31|13|7|5|8|23||11|50|.220|3|17|.176|25|32|.781|9|34|6|4|1|11|21
21|21|2015-02-03|@|Arkansas|L|55|75|17|61|.279|5|24|.208|16|24|.667|13|41|11|4|6|20|22||28|71|.394|2|13|.154|17|22|.773|15|45|14|7|8|9|21
22|22|2015-02-07|@|Vanderbilt|L|50|65|17|43|.395|5|19|.263|11|13|.846|3|18|10|4|1|12|23||19|42|.452|5|17|.294|22|29|.759|10|33|15|8|3|10|14
23|23|2015-02-10||Missouri|W|65|60|23|63|.365|7|25|.280|12|15|.800|15|35|16|10|4|10|15||22|52|.423|7|14|.500|9|12|.750|9|31|12|4|3|15|16
24|24|2015-02-14|@|Kentucky|L|43|77|13|55|.236|3|20|.150|14|17|.824|8|19|3|3|2|9|21||27|54|.500|5|14|.357|18|24|.750|14|43|17|2|6|13|15
25|25|2015-02-17|@|Georgia|W|64|58|21|53|.396|9|24|.375|13|14|.929|10|30|10|4|4|7|19||20|53|.377|4|13|.308|14|23|.609|15|35|7|3|1|7|14
