ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15|@|Georgetown|L|62|83|23|71|.324|6|19|.316|10|17|.588|19|40|12|6|7|17|21||32|61|.525|2|10|.200|17|25|.680|7|38|19|8|6|9|16
2|2|2014-11-19||Army|L|71|74|26|59|.441|6|16|.375|13|21|.619|11|37|12|11|4|20|19||30|68|.441|5|23|.217|9|15|.600|6|30|17|12|4|16|19
3|3|2014-11-23|@|Rutgers|L|73|76|26|56|.464|6|19|.316|15|20|.750|11|39|9|9|5|21|23||25|56|.446|8|16|.500|18|27|.667|10|30|11|9|3|12|17
4|4|2014-11-25|@|La Salle|L|60|73|24|68|.353|5|15|.333|7|10|.700|12|35|9|12|4|16|16||27|58|.466|4|11|.364|15|25|.600|13|39|16|10|2|18|13
5|5|2014-11-28|N|Norfolk State|L (1 OT)|70|72|24|54|.444|6|22|.273|16|24|.667|11|28|12|7|7|19|23||26|48|.542|3|8|.375|17|25|.680|7|28|14|8|4|20|24
6|6|2014-11-29|N|Tennessee State|W|59|57|17|53|.321|2|18|.111|23|39|.590|16|40|9|3|7|10|14||20|55|.364|8|15|.533|9|18|.500|7|35|11|5|4|10|28
7|7|2014-12-06|@|Liberty|W|65|54|22|62|.355|2|20|.100|19|24|.792|18|39|10|8|2|10|19||18|47|.383|3|12|.250|15|23|.652|6|27|13|5|2|15|22
8|8|2014-12-09|@|NJIT|L|66|68|20|59|.339|7|22|.318|19|27|.704|9|28|9|8|7|5|22||20|41|.488|6|14|.429|22|29|.759|4|34|11|3|7|13|20
9|9|2014-12-13||Mount Saint Vincent|W|90|72|33|70|.471|12|34|.353|12|17|.706|14|42|20|9|6|13|22||25|57|.439|6|15|.400|16|24|.667|3|20|13|4|1|15|13
10|10|2014-12-17||Delaware State|L|64|72|24|65|.369|3|21|.143|13|17|.765|21|42|13|3|2|12|16||25|50|.500|10|16|.625|12|14|.857|3|22|12|3|2|9|17
11|11|2014-12-20||Florida Atlantic|W|61|56|21|54|.389|1|5|.200|18|26|.692|16|39|10|9|1|12|14||21|54|.389|5|14|.357|9|13|.692|8|24|7|5|3|13|21
12|12|2014-12-23|@|Monmouth|W|71|46|23|53|.434|11|23|.478|14|19|.737|10|38|15|8|2|13|16||19|51|.373|2|9|.222|6|9|.667|4|23|9|4|5|14|17
13|13|2014-12-30||Columbia|W|72|64|24|53|.453|4|16|.250|20|26|.769|12|32|13|8|4|10|14||25|49|.510|4|13|.308|10|14|.714|7|26|8|3|1|14|23
14|14|2015-01-03|@|Sacred Heart|W|73|71|25|59|.424|7|24|.292|16|24|.667|14|35|11|4|5|12|19||25|56|.446|4|11|.364|17|22|.773|11|30|14|4|2|13|19
15|15|2015-01-05||Bryant|W|63|47|23|50|.460|6|20|.300|11|14|.786|9|36|10|4|7|14|14||17|53|.321|3|16|.188|10|15|.667|7|24|8|6|1|9|17
16|16|2015-01-08|@|Fairleigh Dickinson|W|78|69|22|44|.500|8|15|.533|26|39|.667|7|32|16|5|3|15|15||23|54|.426|5|15|.333|18|21|.857|7|24|11|10|6|12|27
17|17|2015-01-10|@|Mount St. Mary's|L|61|71|24|55|.436|5|19|.263|8|15|.533|11|30|8|6|2|13|20||23|46|.500|12|23|.522|13|23|.565|6|28|17|3|4|13|16
18|18|2015-01-16|@|Robert Morris|W|68|63|22|48|.458|7|20|.350|17|30|.567|10|30|13|3|7|5|17||21|53|.396|5|10|.500|16|20|.800|11|34|10|2|0|9|23
19|19|2015-01-18|@|Saint Francis (PA)|W|60|59|23|45|.511|5|17|.294|9|13|.692|8|22|4|8|2|13|15||21|42|.500|4|13|.308|13|15|.867|6|22|7|8|3|17|13
20|20|2015-01-21|N|Central Connecticut State|W|63|51|27|50|.540|2|11|.182|7|13|.538|7|26|15|7|6|10|12||19|49|.388|7|17|.412|6|9|.667|8|26|8|5|0|16|16
21|21|2015-01-24||Robert Morris|L|65|67|22|62|.355|5|17|.294|16|28|.571|20|45|14|6|6|12|18||22|49|.449|6|9|.667|17|24|.708|6|30|9|7|4|15|22
22|22|2015-01-29||Mount St. Mary's|W (1 OT)|73|67|23|53|.434|6|14|.429|21|28|.750|16|38|11|7|5|17|22||23|47|.489|6|15|.400|15|23|.652|2|20|7|9|3|16|24
23|23|2015-01-31||Long Island University|W|81|64|30|59|.508|8|19|.421|13|15|.867|10|35|19|3|8|9|21||22|57|.386|4|12|.333|16|24|.667|12|31|7|6|2|10|17
24|24|2015-02-05|@|Central Connecticut State|W|90|81|32|65|.492|11|21|.524|15|21|.714|14|35|16|3|6|8|18||27|63|.429|8|15|.533|19|25|.760|14|30|11|6|2|6|17
25|25|2015-02-07|@|Wagner|W|66|51|21|45|.467|6|19|.316|18|29|.621|4|31|12|5|7|11|19||15|57|.263|2|11|.182|19|25|.760|13|33|7|8|3|13|24
26|26|2015-02-12||Wagner|W|83|66|29|60|.483|7|17|.412|18|29|.621|17|37|20|4|7|6|15||25|53|.472|7|17|.412|9|13|.692|9|27|9|1|3|14|26
27|27|2015-02-14||Sacred Heart|W|71|62|26|61|.426|5|18|.278|14|17|.824|12|34|17|10|7|8|14||23|55|.418|6|12|.500|10|16|.625|10|33|12|5|3|15|17
28|28|2015-02-19||Fairleigh Dickinson|W|70|54|25|65|.385|4|24|.167|16|23|.696|24|52|12|7|8|19|15||20|53|.377|5|14|.357|9|14|.643|6|19|7|12|3|11|20
29|29|2015-02-21||Saint Francis (PA)|W|66|54|21|45|.467|5|19|.263|19|21|.905|10|35|12|2|4|16|17||20|48|.417|3|11|.273|11|21|.524|7|20|7|5|1|9|18
30|30|2015-02-26|@|Long Island University|W (1 OT)|74|69|17|64|.266|2|23|.087|38|54|.704|16|38|8|14|9|12|31||18|56|.321|4|19|.211|29|43|.674|14|42|6|7|6|27|35
31|31|2015-02-28|@|Bryant|L|51|61|19|63|.302|2|17|.118|11|21|.524|23|42|6|8|4|19|23||17|48|.354|2|14|.143|25|28|.893|8|24|12|7|1|15|17
32|32|2015-03-04||Long Island University|W|79|70|23|53|.434|6|18|.333|27|35|.771|11|31|12|8|2|8|20||23|50|.460|6|13|.462|18|23|.783|9|29|16|4|1|15|24
33|33|2015-03-07||Saint Francis (PA)|W|62|48|24|57|.421|4|18|.222|10|13|.769|12|38|14|4|5|11|15||17|56|.304|2|15|.133|12|17|.706|13|30|4|5|4|8|13
34|34|2015-03-10||Robert Morris|L|63|66|23|60|.383|8|25|.320|9|22|.409|22|46|15|8|3|16|20||21|47|.447|8|16|.500|16|25|.640|6|23|9|13|4|13|23
