ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Montana State|W|113|78|39|68|.574|9|19|.474|26|40|.650|15|38|25|17|6|11|20||28|59|.475|9|21|.429|13|17|.765|7|28|17|4|4|22|30
2|2|2014-11-16||Coastal Carolina|W|84|71|27|62|.435|8|20|.400|22|26|.846|14|42|16|4|3|11|18||24|60|.400|4|22|.182|19|23|.826|8|30|10|7|1|10|18
3|3|2014-11-20||Nicholls State|W|107|74|38|68|.559|11|21|.524|20|29|.690|15|47|28|7|6|13|14||30|70|.429|9|26|.346|5|12|.417|10|31|12|9|1|14|20
4|4|2014-11-23||Long Beach State|W|77|63|26|65|.400|8|25|.320|17|30|.567|14|37|12|15|5|5|17||20|47|.426|7|24|.292|16|21|.762|5|34|11|3|3|19|22
5|5|2014-11-26|N|Oklahoma|L|65|75|26|69|.377|4|17|.235|9|21|.429|17|49|8|3|4|13|24||21|64|.328|10|38|.263|23|30|.767|12|39|13|5|4|9|21
6|6|2014-11-27|N|North Carolina|L|56|78|17|44|.386|1|14|.071|21|33|.636|9|36|7|7|3|23|18||28|67|.418|8|23|.348|14|19|.737|11|31|15|13|0|11|25
7|7|2014-11-28|N|Alabama-Birmingham|W|88|76|27|63|.429|7|22|.318|27|36|.750|12|39|19|6|4|12|17||26|68|.382|8|28|.286|16|22|.727|12|31|15|9|5|10|26
8|8|2014-12-03||Cal State Fullerton|W|73|45|29|65|.446|8|19|.421|7|13|.538|12|49|18|7|6|14|17||13|54|.241|4|20|.200|15|22|.682|7|30|9|7|2|15|15
9|9|2014-12-07||San Diego|W|75|68|26|54|.481|5|12|.417|18|27|.667|8|35|17|5|6|10|21||25|56|.446|8|20|.400|10|20|.500|8|30|15|5|4|14|22
10|10|2014-12-10||California-Riverside|W|77|66|25|47|.532|6|16|.375|21|30|.700|7|38|16|1|4|16|20||22|68|.324|11|35|.314|11|15|.733|13|31|17|5|3|7|27
11|11|2014-12-13||Gonzaga|L|74|87|25|60|.417|9|19|.474|15|22|.682|11|27|11|10|5|12|20||31|53|.585|9|19|.474|16|19|.842|6|33|20|6|4|13|16
12|12|2014-12-20|N|Kentucky|L|44|83|19|71|.268|5|16|.313|1|4|.250|11|32|9|6|3|14|10||32|64|.500|12|26|.462|7|12|.583|11|44|25|8|13|12|13
13|13|2014-12-28|@|Alabama|L|50|56|16|52|.308|5|19|.263|13|19|.684|6|34|9|9|3|18|24||17|51|.333|4|22|.182|18|30|.600|8|36|7|9|5|12|15
14|14|2015-01-02|@|Colorado|L|56|62|22|70|.314|6|26|.231|6|10|.600|11|32|9|10|7|13|22||18|48|.375|5|10|.500|21|25|.840|5|39|12|9|8|18|14
15|15|2015-01-04|@|Utah|L|39|71|15|52|.288|1|11|.091|8|15|.533|7|24|8|5|3|11|17||24|51|.471|7|22|.318|16|19|.842|9|39|12|8|5|10|17
16|16|2015-01-08||Stanford|W (2 OT)|86|81|27|62|.435|8|19|.421|24|39|.615|17|49|17|4|3|10|18||26|71|.366|15|31|.484|14|21|.667|13|37|15|5|0|8|25
17|17|2015-01-11||California|W|73|54|29|65|.446|8|14|.571|7|14|.500|12|36|16|9|2|6|15||21|52|.404|8|16|.500|4|10|.400|7|31|9|3|3|16|14
18|18|2015-01-14|@|Southern California|W|83|66|35|62|.565|7|17|.412|6|10|.600|11|39|14|8|3|14|17||24|58|.414|6|13|.462|12|17|.706|4|19|15|8|1|12|14
19|19|2015-01-22|@|Oregon State|L|55|66|19|62|.306|6|25|.240|11|14|.786|15|32|11|12|2|10|16||22|43|.512|6|16|.375|16|18|.889|3|30|15|7|5|15|11
20|20|2015-01-24|@|Oregon|L|64|82|25|61|.410|5|17|.294|9|13|.692|11|26|8|2|1|7|15||33|53|.623|9|13|.692|7|10|.700|4|28|16|3|2|10|14
21|21|2015-01-29||Utah|W|69|59|24|52|.462|3|13|.231|18|24|.750|8|27|15|8|1|6|11||23|47|.489|7|22|.318|6|9|.667|6|26|12|2|6|13|16
22|22|2015-01-31||Colorado|W|72|59|25|52|.481|3|12|.250|19|23|.826|10|33|14|10|4|11|15||20|55|.364|7|21|.333|12|16|.750|12|30|8|3|2|13|17
23|23|2015-02-05|@|Stanford|W|69|67|24|64|.375|8|19|.421|13|22|.591|15|38|9|3|3|9|20||24|57|.421|7|23|.304|12|20|.600|11|37|11|7|2|10|17
24|24|2015-02-07|@|California|L|62|64|25|54|.463|3|10|.300|9|16|.563|6|39|11|1|4|12|17||23|61|.377|9|26|.346|9|15|.600|9|33|12|5|5|5|19
25|25|2015-02-11||Oregon State|W|75|59|22|46|.478|10|18|.556|21|30|.700|11|38|17|3|1|14|19||20|52|.385|5|22|.227|14|21|.667|6|20|12|7|3|7|18
26|26|2015-02-14||Oregon|W|72|63|24|48|.500|7|16|.438|17|21|.810|9|35|15|1|5|12|13||22|56|.393|11|27|.407|8|14|.571|8|23|15|7|3|5|20
27|27|2015-02-18|@|Arizona State|L|66|68|25|57|.439|6|20|.300|10|15|.667|6|25|14|8|6|8|23||23|50|.460|5|17|.294|17|26|.654|11|36|16|4|2|15|15
