ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Florida A&M|W|86|41|32|66|.485|7|25|.280|15|26|.577|13|39|21|8|6|5|16||16|48|.333|0|7|.000|9|20|.450|9|33|6|3|1|23|26
2|2|2014-11-17||Winthrop|L|74|77|24|50|.480|3|13|.231|23|39|.590|11|41|8|2|8|16|23||24|62|.387|9|23|.391|20|25|.800|4|25|12|9|3|6|31
3|3|2014-11-21|N|Gardner-Webb|L|70|72|28|57|.491|4|13|.308|10|14|.714|9|32|10|2|7|7|11||25|67|.373|11|31|.355|11|16|.688|11|31|18|4|0|7|16
4|4|2014-11-22|N|Nevada|W|59|50|19|42|.452|5|15|.333|16|26|.615|9|27|7|6|3|14|11||21|52|.404|4|9|.444|4|6|.667|9|24|5|7|2|15|21
5|5|2014-11-24|N|Louisiana State|W|64|61|24|57|.421|6|17|.353|10|15|.667|11|30|9|3|3|15|14||23|61|.377|1|13|.077|14|20|.700|17|37|13|7|2|13|13
6|6|2014-11-28||High Point|W|62|59|21|59|.356|6|22|.273|14|16|.875|14|39|12|5|5|14|14||24|57|.421|6|14|.429|5|8|.625|6|29|17|9|1|11|17
7|7|2014-12-01||Rutgers|L|64|69|24|56|.429|8|22|.364|8|11|.727|12|38|13|2|6|13|18||25|58|.431|7|19|.368|12|16|.750|9|26|16|8|4|3|10
8|8|2014-12-07||Arkansas|W (1 OT)|68|65|26|56|.464|6|21|.286|10|14|.714|11|29|12|7|2|14|13||25|57|.439|6|21|.286|9|12|.750|8|22|11|7|2|13|17
9|9|2014-12-14||Auburn|W|72|61|22|49|.449|2|14|.143|26|35|.743|8|33|7|7|7|17|19||21|54|.389|7|24|.292|12|19|.632|7|27|10|12|2|18|28
10|10|2014-12-19|@|South Carolina|L|45|68|17|57|.298|4|18|.222|7|12|.583|10|27|7|9|5|13|20||23|50|.460|7|22|.318|15|20|.750|7|35|17|7|7|12|14
11|11|2014-12-22||Oakland|W|70|60|24|52|.462|8|23|.348|14|21|.667|6|32|15|9|6|12|20||20|51|.392|4|15|.267|16|23|.696|6|27|8|8|0|13|20
12|12|2014-12-30||Robert Morris|W|64|57|25|54|.463|4|17|.235|10|16|.625|11|43|12|1|9|16|11||24|74|.324|6|23|.261|3|6|.500|13|34|8|7|6|7|20
13|13|2015-01-03||North Carolina|L|50|74|15|53|.283|6|26|.231|14|21|.667|9|25|8|4|7|8|15||28|63|.444|5|13|.385|13|17|.765|15|47|20|4|4|6|18
14|14|2015-01-07|@|Louisville|L|52|58|16|52|.308|7|23|.304|13|17|.765|14|40|12|4|2|14|21||18|55|.327|6|24|.250|16|22|.727|13|36|7|11|1|9|15
15|15|2015-01-10|@|Pittsburgh|W|71|62|24|51|.471|8|18|.444|15|20|.750|12|35|15|1|1|8|14||21|53|.396|4|13|.308|16|18|.889|5|20|12|4|4|2|19
16|16|2015-01-13|@|Virginia|L|42|65|15|42|.357|3|13|.231|9|13|.692|7|28|4|2|2|11|11||25|50|.500|10|21|.476|5|10|.500|3|23|14|4|5|4|17
17|17|2015-01-17||Syracuse|W|66|53|23|51|.451|8|20|.400|12|20|.600|12|36|12|5|1|10|13||21|57|.368|2|15|.133|9|14|.643|12|30|7|5|0|9|15
18|18|2015-01-19||Florida State|L|55|59|17|50|.340|5|19|.263|16|31|.516|12|26|8|7|1|10|16||22|46|.478|3|13|.231|12|14|.857|4|25|11|6|4|15|24
19|19|2015-01-24||Wake Forest|W|59|57|20|57|.351|4|18|.222|15|27|.556|11|40|8|8|8|7|18||19|61|.311|6|20|.300|13|21|.619|11|40|9|4|3|10|25
20|20|2015-01-28|@|North Carolina State|W|68|57|25|53|.472|6|12|.500|12|19|.632|8|33|11|4|9|12|20||18|63|.286|6|14|.429|15|22|.682|19|43|8|6|4|10|18
21|21|2015-01-31||Boston College|W|64|49|22|56|.393|7|23|.304|13|14|.929|12|31|12|4|2|8|12||18|46|.391|8|22|.364|5|9|.556|6|25|13|6|1|13|11
22|22|2015-02-04|@|Florida State|W|62|56|19|47|.404|5|13|.385|19|30|.633|8|31|10|9|4|14|20||20|56|.357|4|14|.286|12|21|.571|13|32|7|4|4|17|23
23|23|2015-02-08|@|Miami (FL)|L|45|56|20|61|.328|5|20|.250|0|1|.000|11|30|7|8|2|10|12||19|48|.396|10|26|.385|8|12|.667|9|34|12|5|7|11|9
24|24|2015-02-10||Notre Dame|L|58|60|24|56|.429|5|17|.294|5|5|1.000|11|36|11|5|4|11|16||22|51|.431|6|17|.353|10|13|.769|7|23|11|6|3|8|13
25|25|2015-02-14||Virginia Tech|W|75|54|27|57|.474|11|29|.379|10|15|.667|9|37|16|7|5|7|12||18|49|.367|8|23|.348|10|16|.625|3|24|9|3|1|10|15
26|26|2015-02-16|@|Georgia Tech|L|52|63|20|55|.364|4|15|.267|8|12|.667|8|27|7|9|5|14|16||25|54|.463|4|11|.364|9|16|.563|11|35|15|7|4|14|13
