ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Eastern Oregon|W|77|65|30|66|.455|5|13|.385|12|17|.706|14|44|14|6|3|13|21||21|56|.375|9|32|.281|14|27|.519|6|29|12|7|1|13|14
2|2|2014-11-17||South Dakota State|W|82|77|29|67|.433|8|15|.533|16|22|.727|14|37|10|3|0|12|27||27|58|.466|6|19|.316|17|22|.773|8|28|6|4|6|12|21
3|3|2014-11-20|@|Northern Illinois|L|67|78|24|56|.429|5|23|.217|14|16|.875|8|26|8|5|1|14|23||26|51|.510|8|19|.421|18|26|.692|8|30|14|9|3|12|16
4|4|2014-11-25|N|Boise State|L|75|86|25|56|.446|11|18|.611|14|23|.609|8|25|15|2|1|9|24||28|51|.549|9|18|.500|21|27|.778|5|28|13|4|1|10|22
5|5|2014-11-29||Northern Kentucky|L|74|79|24|56|.429|7|19|.368|19|29|.655|9|30|11|4|0|14|24||28|49|.571|5|16|.313|18|26|.692|1|24|5|6|5|12|25
6|6|2014-12-03|@|Washington State|W|77|71|27|60|.450|7|19|.368|16|26|.615|10|38|12|5|3|13|18||25|71|.352|5|30|.167|16|19|.842|11|35|13|8|4|9|22
7|7|2014-12-06||California-Davis|W|79|71|25|54|.463|4|17|.235|25|33|.758|7|31|10|9|0|10|21||22|50|.440|10|24|.417|17|27|.630|4|28|8|4|4|16|26
8|8|2014-12-11|@|Western Illinois|L|75|78|27|58|.466|9|18|.500|12|15|.800|4|36|14|2|1|17|24||25|60|.417|8|19|.421|20|30|.667|6|33|18|6|0|9|16
9|9|2014-12-13|@|South Dakota State|L|85|87|29|48|.604|12|18|.667|15|20|.750|6|25|18|3|2|18|25||26|51|.510|11|28|.393|24|33|.727|9|23|17|4|1|10|22
10|10|2014-12-18||Walla Walla|W|86|39|34|65|.523|11|23|.478|7|9|.778|11|44|20|7|3|6|15||14|53|.264|7|33|.212|4|8|.500|5|22|9|2|0|11|8
11|11|2014-12-22|@|Northern Kentucky|L|68|81|23|66|.348|5|24|.208|17|21|.810|15|38|5|5|1|11|13||28|64|.438|12|34|.353|13|15|.867|11|35|13|2|6|9|16
12|12|2015-01-01||Idaho State|W|77|54|28|61|.459|12|23|.522|9|11|.818|11|37|19|5|5|7|18||16|47|.340|5|17|.294|17|23|.739|5|26|8|3|2|11|13
13|13|2015-01-03||Weber State|W|86|84|31|61|.508|7|18|.389|17|22|.773|7|28|12|1|5|4|19||28|58|.483|13|30|.433|15|22|.682|8|30|15|2|0|6|20
14|14|2015-01-10||Eastern Washington|L|86|89|31|64|.484|9|19|.474|15|22|.682|10|29|15|3|4|9|21||30|57|.526|11|26|.423|18|24|.750|8|29|16|5|7|7|18
15|15|2015-01-15|@|Sacramento State|L|76|79|28|56|.500|8|25|.320|12|14|.857|9|37|17|3|2|17|24||28|61|.459|8|18|.444|15|26|.577|9|27|16|4|1|10|17
16|16|2015-01-17|@|Portland State|L|73|85|27|56|.482|9|21|.429|10|18|.556|2|32|17|4|0|14|24||28|62|.452|6|22|.273|23|29|.793|4|29|19|7|3|6|19
17|17|2015-01-22||North Dakota|L|63|71|21|51|.412|6|16|.375|15|28|.536|5|27|10|9|2|16|23||23|47|.489|6|17|.353|19|29|.655|4|25|13|8|4|16|21
18|18|2015-01-24||Northern Colorado|W|83|79|29|49|.592|11|19|.579|14|24|.583|11|21|16|6|6|14|21||29|53|.547|6|17|.353|15|22|.682|8|19|11|7|3|10|20
19|19|2015-01-31|@|Eastern Washington|L (1 OT)|95|98|36|67|.537|10|22|.455|13|23|.565|10|43|19|3|2|10|26||34|72|.472|17|44|.386|13|25|.520|12|35|18|2|5|7|22
20|20|2015-02-05|@|Montana State|W|80|71|27|53|.509|6|14|.429|20|25|.800|9|37|15|8|1|10|20||24|59|.407|13|37|.351|10|19|.526|9|28|15|3|3|14|23
21|21|2015-02-07|@|Montana|L|56|70|18|39|.462|6|13|.462|14|23|.609|4|24|9|3|1|17|23||24|48|.500|7|22|.318|15|22|.682|4|23|14|8|1|10|19
22|22|2015-02-12||Portland State|W|87|76|30|52|.577|11|17|.647|16|19|.842|6|34|19|4|4|13|22||29|74|.392|8|26|.308|10|16|.625|16|34|12|6|4|8|18
23|23|2015-02-14||Sacramento State|W|69|58|27|48|.563|4|14|.286|11|20|.550|11|36|13|0|2|12|10||23|56|.411|5|23|.217|7|8|.875|8|19|12|9|1|6|18
