ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-16||Utah State|L|55|60|22|67|.328|2|15|.133|9|20|.450|15|39|11|8|2|7|17||21|49|.429|7|20|.350|11|19|.579|7|37|13|2|6|12|18
2|2|2014-11-21|N|Weber State|W|73|64|29|63|.460|5|15|.333|10|14|.714|14|29|11|8|4|14|22||18|42|.429|3|12|.250|25|32|.781|8|27|10|6|1|18|17
3|3|2014-11-23|N|Old Dominion|W|64|45|25|51|.490|5|17|.294|9|12|.750|7|32|13|7|2|13|16||17|50|.340|2|17|.118|9|15|.600|6|23|9|3|1|12|16
4|4|2014-11-24|N|Seton Hall|L|80|84|27|64|.422|10|18|.556|16|21|.762|12|29|15|8|4|14|31||22|43|.512|12|18|.667|28|38|.737|6|23|13|4|4|20|20
5|5|2014-11-29||Youngstown State|W (1 OT)|85|73|26|60|.433|6|18|.333|27|38|.711|15|46|8|5|9|19|19||27|65|.415|7|22|.318|12|14|.857|4|24|14|11|0|13|28
6|6|2014-12-02||Virginia Commonwealth|L|62|66|20|40|.500|7|13|.538|15|23|.652|7|30|11|4|8|24|18||22|65|.338|9|24|.375|13|20|.650|18|31|11|9|5|8|21
7|7|2014-12-07|@|Alabama-Birmingham|W|78|74|31|57|.544|5|17|.294|11|15|.733|11|28|16|7|7|11|16||27|53|.509|9|18|.500|11|19|.579|10|27|19|5|4|12|13
8|8|2014-12-14|@|DePaul|W|78|72|26|67|.388|5|21|.238|21|29|.724|14|41|10|12|4|13|20||26|55|.473|8|20|.400|12|21|.571|6|35|18|6|2|18|23
9|9|2014-12-17||Tennessee-Martin|W|64|54|22|55|.400|6|16|.375|14|18|.778|11|38|11|7|2|10|15||21|52|.404|5|20|.250|7|14|.500|7|30|11|4|0|10|13
10|10|2014-12-20|@|Murray State|L|77|89|26|63|.413|8|21|.381|17|21|.810|10|26|8|9|1|12|20||31|54|.574|8|17|.471|19|27|.704|7|34|18|6|4|14|20
11|11|2014-12-22||IPFW|W|68|43|28|63|.444|5|20|.250|7|16|.438|12|39|14|7|7|9|20||13|42|.310|2|13|.154|15|28|.536|8|31|6|5|5|16|18
12|12|2014-12-29||Quincy|W|99|57|39|64|.609|7|19|.368|14|19|.737|12|33|23|13|4|13|9||24|60|.400|2|13|.154|7|10|.700|13|27|15|11|4|22|15
13|13|2014-12-31||Indiana State|L|61|63|19|53|.358|6|17|.353|17|23|.739|10|27|12|12|4|18|16||20|47|.426|9|21|.429|14|17|.824|8|29|10|9|3|24|18
14|14|2015-01-04|@|Wichita State|L|62|70|19|52|.365|4|14|.286|20|24|.833|11|27|5|4|5|13|24||23|44|.523|5|12|.417|19|29|.655|7|23|14|6|6|9|17
15|15|2015-01-07||Drake|W|81|45|30|53|.566|9|21|.429|12|18|.667|9|37|18|6|4|12|18||14|44|.318|5|17|.294|12|17|.706|4|17|10|5|1|15|15
16|16|2015-01-11|@|Missouri State|W|69|55|20|50|.400|9|15|.600|20|24|.833|11|35|11|7|4|14|17||19|53|.358|1|13|.077|16|21|.762|11|29|15|7|6|11|17
17|17|2015-01-14|@|Indiana State|L (1 OT)|70|71|23|63|.365|6|17|.353|18|23|.783|14|37|9|9|4|17|27||18|47|.383|8|19|.421|27|33|.818|3|28|10|6|4|13|21
18|18|2015-01-17||Bradley|W|82|72|26|51|.510|13|25|.520|17|23|.739|7|23|19|9|1|11|15||25|50|.500|12|27|.444|10|16|.625|8|26|11|5|2|17|24
19|19|2015-01-20|@|Drake|W|64|56|22|44|.500|4|14|.286|16|25|.640|9|35|7|7|3|10|17||21|55|.382|6|15|.400|8|14|.571|9|28|14|6|1|10|19
20|20|2015-01-25||Northern Iowa|L|53|54|21|61|.344|5|16|.313|6|11|.545|12|30|9|9|1|8|18||18|39|.462|7|16|.438|11|16|.688|4|31|14|4|4|16|12
21|21|2015-01-28||Missouri State|W|67|57|24|55|.436|2|15|.133|17|19|.895|13|34|8|8|2|15|16||20|46|.435|3|14|.214|14|18|.778|6|22|13|9|1|17|17
22|22|2015-01-31|@|Loyola (IL)|W|48|45|19|51|.373|4|13|.308|6|8|.750|13|29|8|9|7|11|22||18|42|.429|2|10|.200|7|19|.368|8|26|13|7|2|13|13
23|23|2015-02-03||Evansville|W|77|51|29|59|.492|6|19|.316|13|18|.722|9|35|16|10|10|13|22||18|55|.327|0|10|.000|15|25|.600|13|32|9|4|1|18|17
24|24|2015-02-07|@|Southern Illinois|L|59|65|20|54|.370|6|18|.333|13|19|.684|10|31|10|4|6|16|26||20|50|.400|3|11|.273|22|28|.786|8|31|8|8|3|11|17
25|25|2015-02-11|@|Northern Iowa|L|64|83|24|58|.414|8|25|.320|8|12|.667|15|33|7|5|1|9|16||29|54|.537|12|28|.429|13|16|.813|7|27|16|4|4|7|14
26|26|2015-02-14||Wichita State|L|62|68|22|53|.415|5|19|.263|13|18|.722|6|21|11|5|3|12|24||18|49|.367|5|19|.263|27|32|.844|14|36|7|3|2|13|14
27|27|2015-02-18|@|Bradley|W|60|47|23|52|.442|5|15|.333|9|13|.692|8|30|13|10|8|10|12||16|54|.296|4|17|.235|11|14|.786|14|34|10|8|3|13|16
