ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|North Carolina State|L|58|93|18|64|.281|5|24|.208|17|23|.739|9|30|4|4|4|12|25||32|61|.525|8|20|.400|21|32|.656|7|41|16|8|7|10|20
2|2|2014-11-16|@|South Florida|L|64|73|24|61|.393|7|16|.438|9|14|.643|11|27|11|9|2|16|25||22|42|.524|5|14|.357|24|32|.750|7|30|12|6|3|20|19
3|3|2014-11-18|@|Jacksonville|W|66|57|22|51|.431|3|13|.231|19|20|.950|8|29|11|11|0|9|21||19|42|.452|9|22|.409|10|23|.435|8|27|13|4|0|17|20
4|4|2014-11-23|@|Alabama-Birmingham|L|50|58|21|48|.438|1|8|.125|7|11|.636|10|35|7|8|9|26|21||18|51|.353|5|21|.238|17|21|.810|7|20|10|14|7|16|11
5|5|2014-11-25|@|St. Bonaventure|L|71|79|23|57|.404|7|19|.368|18|20|.900|6|24|11|9|4|11|33||20|45|.444|8|21|.381|31|43|.721|12|40|12|3|6|18|18
6|6|2014-11-28||Hofstra|L|56|86|16|55|.291|7|21|.333|17|26|.654|10|27|10|7|1|17|18||31|56|.554|13|23|.565|11|18|.611|9|37|13|7|8|16|20
7|7|2014-12-03|@|Louisiana-Lafayette|L|53|76|23|68|.338|3|15|.200|4|9|.444|8|26|6|8|3|14|20||25|53|.472|2|10|.200|24|32|.750|10|42|17|8|10|15|11
8|8|2014-12-06|@|Louisiana Tech|L|52|65|20|58|.345|5|16|.313|7|10|.700|15|42|9|6|1|20|17||20|57|.351|7|27|.259|18|24|.750|9|26|13|12|9|10|11
9|9|2014-12-13|@|Loyola (IL)|L|46|58|18|46|.391|3|16|.188|7|12|.583|11|23|6|12|0|17|18||22|43|.512|4|16|.250|10|11|.909|9|23|15|9|0|16|11
10|10|2014-12-15|@|Drake|L|66|76|23|64|.359|6|19|.316|14|19|.737|14|37|8|6|0|9|30||18|39|.462|6|15|.400|34|41|.829|2|29|13|5|3|8|15
11|11|2014-12-18||Southern Mississippi|W|66|46|22|48|.458|6|20|.300|16|24|.667|10|28|11|14|5|18|23||13|35|.371|3|11|.273|17|24|.708|5|23|6|8|1|22|17
12|12|2014-12-19|@|Tulane|L|49|56|18|57|.316|3|10|.300|10|15|.667|9|26|8|6|1|14|27||14|42|.333|3|12|.250|25|35|.714|10|34|8|9|6|16|17
13|13|2014-12-22||North Carolina Central|L (1 OT)|64|67|16|46|.348|4|17|.235|28|42|.667|13|35|7|5|3|15|34||19|39|.487|5|12|.417|24|44|.545|7|27|5|7|4|18|31
14|14|2015-01-03|@|Alabama A&M|W|70|67|22|50|.440|6|16|.375|20|26|.769|10|30|11|2|2|11|24||21|47|.447|6|21|.286|19|29|.655|9|22|15|4|3|13|26
15|15|2015-01-05|@|Alabama State|L|52|72|16|60|.267|2|19|.105|18|25|.720|12|33|3|5|3|10|24||24|51|.471|6|15|.400|18|24|.750|9|39|12|3|9|11|22
16|16|2015-01-10||Alcorn State|W|64|54|20|52|.385|3|12|.250|21|31|.677|11|45|7|1|1|15|22||17|53|.321|4|18|.222|16|25|.640|2|22|7|8|2|8|20
17|17|2015-01-12||Southern|L|52|60|18|52|.346|5|18|.278|11|20|.550|15|32|9|3|1|11|27||18|42|.429|4|13|.308|20|30|.667|6|28|8|6|4|12|20
18|18|2015-01-17|@|Prairie View|L|55|70|19|58|.328|2|18|.111|15|24|.625|17|38|10|5|4|12|20||23|49|.469|8|16|.500|16|22|.727|5|26|12|3|5|11|21
19|19|2015-01-19|@|Texas Southern|L|54|67|22|53|.415|5|16|.313|5|14|.357|9|26|9|5|2|14|22||20|43|.465|8|19|.421|19|25|.760|6|27|14|6|7|12|17
20|20|2015-01-24|@|Grambling|W|74|63|23|58|.397|8|26|.308|20|29|.690|16|40|7|5|1|12|20||19|52|.365|4|20|.200|21|30|.700|13|36|7|4|2|11|21
21|21|2015-01-31|@|Mississippi Valley State|L|62|75|23|56|.411|4|15|.267|12|19|.632|10|26|10|8|4|14|10||30|56|.536|13|23|.565|2|2|1.000|6|28|17|7|1|15|18
22|22|2015-02-02||Arkansas-Pine Bluff|W|69|45|24|56|.429|10|29|.345|11|17|.647|14|34|16|10|2|18|23||9|39|.231|4|19|.211|23|33|.697|8|25|3|10|3|22|16
23|23|2015-02-07|@|Alcorn State|W|64|61|24|54|.444|7|16|.438|9|16|.563|6|31|7|6|2|9|21||20|49|.408|5|18|.278|16|28|.571|7|30|11|5|1|7|16
24|24|2015-02-09|@|Southern|W|62|52|25|59|.424|6|22|.273|6|11|.545|14|37|15|1|2|15|20||17|46|.370|6|17|.353|12|21|.571|5|17|10|8|4|12|14
25|25|2015-02-14||Prairie View|L|55|61|22|62|.355|5|21|.238|6|17|.353|15|43|12|4|2|12|28||17|41|.415|2|9|.222|25|42|.595|6|32|7|7|9|11|18
26|26|2015-02-16||Texas Southern|L (1 OT)|70|71|27|69|.391|4|18|.222|12|23|.522|18|38|12|4|4|10|24||23|51|.451|6|18|.333|19|29|.655|9|32|13|5|2|16|19
