ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|N|Minnesota|W|81|68|23|50|.460|6|16|.375|29|42|.690|7|36|11|11|1|15|28||22|55|.400|4|18|.222|20|33|.606|9|33|12|6|0|18|32
2|2|2014-11-17||Jacksonville State|W|88|39|35|74|.473|5|26|.192|13|27|.481|29|59|15|12|4|12|16||14|50|.280|5|26|.192|6|12|.500|7|24|12|5|1|19|21
3|3|2014-11-21||Marshall|W|85|67|27|70|.386|3|22|.136|28|44|.636|20|46|10|13|6|7|24||23|63|.365|7|24|.292|14|27|.519|18|48|16|1|1|21|33
4|4|2014-11-24||Savannah State|W|87|26|31|59|.525|8|20|.400|17|30|.567|15|53|17|16|8|17|16||10|51|.196|0|16|.000|6|12|.500|7|26|3|11|4|24|22
5|5|2014-11-26||Cleveland State|W|45|33|15|47|.319|3|20|.150|12|26|.462|14|45|6|3|11|13|13||13|52|.250|4|19|.211|3|8|.375|6|33|6|10|1|13|22
6|6|2014-12-02||Ohio State|W|64|55|19|54|.352|10|29|.345|16|28|.571|17|45|15|11|5|16|21||17|56|.304|6|18|.333|15|25|.600|14|39|7|10|4|14|23
7|7|2014-12-05||Florida International|W|82|57|32|56|.571|8|20|.400|10|15|.667|9|34|21|14|9|19|20||20|54|.370|5|15|.333|12|18|.667|8|26|11|12|1|24|14
8|8|2014-12-09|N|Indiana|W|94|74|35|79|.443|8|23|.348|16|27|.593|23|48|15|10|8|12|16||29|61|.475|8|20|.400|8|14|.571|8|30|14|6|3|19|19
9|9|2014-12-14||North Carolina-Wilmington|W|68|57|27|65|.415|1|13|.077|13|16|.813|17|44|7|10|7|16|12||24|62|.387|5|13|.385|4|8|.500|12|34|8|6|4|18|21
10|10|2014-12-20|@|Western Kentucky|W|76|67|22|53|.415|6|22|.273|26|30|.867|8|34|11|7|9|11|19||21|56|.375|10|23|.435|15|25|.600|9|35|15|5|1|14|24
11|11|2014-12-23||Cal State Northridge|W|80|55|27|57|.474|11|27|.407|15|19|.789|8|36|18|14|11|14|18||19|57|.333|0|3|.000|17|20|.850|11|35|11|6|1|20|19
12|12|2014-12-27||Kentucky|L|50|58|15|58|.259|3|14|.214|17|24|.708|16|31|1|10|2|9|16||21|50|.420|6|14|.429|10|14|.714|16|45|11|6|3|18|20
13|13|2014-12-30||Long Beach State|W|63|48|21|41|.512|6|15|.400|15|21|.714|3|28|12|10|5|16|15||18|50|.360|5|20|.250|7|8|.875|6|27|10|5|0|19|20
14|14|2015-01-04|@|Wake Forest|W|85|76|31|62|.500|7|17|.412|16|25|.640|10|34|15|8|4|7|25||28|53|.528|3|15|.200|17|32|.531|6|34|15|4|5|12|22
15|15|2015-01-07||Clemson|W|58|52|18|55|.327|6|24|.250|16|22|.727|13|36|7|11|1|9|15||16|52|.308|7|23|.304|13|17|.765|14|40|12|4|2|14|21
16|16|2015-01-10|@|North Carolina|L|71|72|28|59|.475|6|19|.316|9|11|.818|9|30|13|10|5|10|12||29|67|.433|5|12|.417|9|11|.818|15|38|18|7|7|12|13
17|17|2015-01-13||Virginia Tech|W|78|63|31|65|.477|10|25|.400|6|7|.857|12|39|19|3|8|7|17||22|60|.367|8|19|.421|11|17|.647|14|33|12|3|2|8|13
18|18|2015-01-17||Duke|L|52|63|18|61|.295|4|25|.160|12|16|.750|18|38|7|4|4|10|17||21|43|.488|4|15|.267|17|23|.739|4|30|13|6|1|10|15
19|19|2015-01-25|@|Pittsburgh|W|80|68|30|46|.652|6|12|.500|14|22|.636|3|28|19|5|4|15|22||22|59|.373|6|23|.261|18|26|.692|14|28|18|9|3|12|21
20|20|2015-01-28|@|Boston College|W|81|72|29|50|.580|6|12|.500|17|24|.708|3|26|10|4|5|9|21||26|61|.426|9|29|.310|11|15|.733|8|26|17|2|1|6|21
21|21|2015-01-31||North Carolina|W (1 OT)|78|68|22|65|.338|7|21|.333|27|44|.614|21|45|9|10|5|11|16||26|60|.433|5|16|.313|11|20|.550|12|43|11|4|4|19|33
22|22|2015-02-03|@|Miami (FL)|W|63|55|23|48|.479|4|15|.267|13|18|.722|8|31|7|9|7|12|16||18|53|.340|6|19|.316|13|17|.765|7|24|8|7|1|11|16
23|23|2015-02-07|@|Virginia|L|47|52|17|46|.370|3|14|.214|10|13|.769|5|32|6|2|3|10|18||17|51|.333|2|14|.143|16|22|.727|9|31|9|8|4|2|13
24|24|2015-02-11||Pittsburgh|W|69|56|27|54|.500|0|4|.000|15|18|.833|7|37|10|3|9|10|18||20|53|.377|4|12|.333|12|21|.571|7|27|12|5|3|9|18
25|25|2015-02-14||North Carolina State|L|65|74|20|61|.328|7|17|.412|18|24|.750|11|36|10|2|7|5|21||26|58|.448|6|16|.375|16|28|.571|12|46|11|2|3|8|18
26|26|2015-02-18|@|Syracuse|L|59|69|23|54|.426|6|20|.300|7|14|.500|8|30|15|2|4|10|21||22|47|.468|4|18|.222|21|27|.778|5|30|16|6|6|7|12
