ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Siena|W|95|87|25|55|.455|6|15|.400|39|52|.750|12|37|15|6|7|13|21||34|74|.459|5|18|.278|14|22|.636|16|39|21|5|2|14|33
2|2|2014-11-16|N|Boston College|W|71|62|20|41|.488|0|3|.000|31|46|.674|5|33|12|9|7|14|22||20|57|.351|5|21|.238|17|27|.630|13|38|11|9|3|18|31
3|3|2014-11-18||Manhattan|W (1 OT)|77|68|24|60|.400|2|10|.200|27|29|.931|14|42|17|9|4|17|18||27|59|.458|6|15|.400|8|16|.500|6|26|16|7|3|17|23
4|4|2014-11-22|N|Notre Dame|L|68|81|21|49|.429|6|17|.353|20|29|.690|5|23|11|6|2|17|16||31|53|.585|9|19|.474|10|17|.588|6|30|12|13|2|17|21
5|5|2014-11-23|N|Florida State|W|75|69|24|57|.421|4|16|.250|23|30|.767|9|37|11|6|2|11|22||25|67|.373|0|7|.000|19|30|.633|16|42|6|5|2|11|26
6|6|2014-11-26||Northeastern|W|79|54|37|70|.529|3|17|.176|2|6|.333|12|40|19|17|5|15|16||22|59|.373|3|15|.200|7|10|.700|8|26|11|7|4|20|11
7|7|2014-11-29|@|Harvard|L|73|75|25|52|.481|4|9|.444|19|28|.679|8|32|8|5|5|11|17||31|61|.508|5|15|.333|8|14|.571|7|26|15|4|4|8|19
8|8|2014-12-02|@|Louisiana State|L|60|82|23|61|.377|2|13|.154|12|19|.632|9|29|6|12|3|18|17||35|65|.538|5|13|.385|7|11|.636|7|35|15|11|10|19|16
9|9|2014-12-07||Florida Gulf Coast|L|75|84|24|56|.429|4|10|.400|23|30|.767|9|31|15|5|9|13|17||29|66|.439|10|18|.556|16|19|.842|12|32|24|6|3|11|21
10|10|2014-12-13||Canisius|W|75|58|25|50|.500|7|19|.368|18|26|.692|11|37|22|2|4|12|13||22|58|.379|8|23|.348|6|10|.600|6|23|16|6|2|7|24
11|11|2014-12-20|@|Providence|L|65|85|21|50|.420|4|16|.250|19|28|.679|8|31|11|6|4|18|12||33|73|.452|8|22|.364|11|14|.786|15|35|18|12|3|9|22
12|12|2014-12-23|@|Brigham Young|L (1 OT)|71|77|27|59|.458|5|22|.227|12|17|.706|8|35|14|8|3|15|25||23|59|.390|5|21|.238|26|32|.813|11|37|12|10|3|12|13
13|13|2014-12-30||Iona|W|87|82|33|64|.516|7|17|.412|14|20|.700|10|34|16|7|5|12|15||31|71|.437|9|26|.346|11|17|.647|11|35|19|9|7|9|16
14|14|2015-01-03||St. Bonaventure|L|55|69|19|54|.352|4|22|.182|13|20|.650|12|28|10|4|4|15|27||22|49|.449|4|12|.333|21|31|.677|11|36|12|6|3|12|21
15|15|2015-01-07|@|La Salle|W|71|65|27|52|.519|6|13|.462|11|16|.688|6|33|15|5|5|14|19||25|64|.391|2|10|.200|13|20|.650|14|30|12|7|7|9|15
16|16|2015-01-11|@|George Mason|W|66|62|24|61|.393|8|18|.444|10|17|.588|15|38|14|8|4|15|22||21|55|.382|5|12|.417|15|26|.577|15|36|9|5|7|13|17
17|17|2015-01-14||Davidson|L|63|71|24|59|.407|4|17|.235|11|18|.611|12|37|15|7|5|14|16||26|63|.413|7|29|.241|12|16|.750|12|34|14|11|3|11|16
18|18|2015-01-17||Rhode Island|W|60|56|20|55|.364|2|9|.222|18|26|.692|14|31|14|6|6|10|19||19|41|.463|2|5|.400|16|25|.640|6|28|12|4|9|14|21
19|19|2015-01-21|@|Saint Joseph's|L|56|62|22|52|.423|3|12|.250|9|17|.529|11|30|10|5|0|13|20||23|48|.479|4|17|.235|12|20|.600|8|24|17|8|6|8|15
20|20|2015-01-29||Dayton|W|66|64|27|59|.458|4|14|.286|8|12|.667|11|34|20|6|7|13|11||25|57|.439|7|22|.318|7|14|.500|9|31|19|8|5|12|12
21|21|2015-01-31|@|Saint Louis|W|60|56|21|53|.396|4|16|.250|14|18|.778|9|33|12|3|7|11|17||19|47|.404|7|12|.583|11|17|.647|5|27|13|3|2|9|18
22|22|2015-02-04|@|Fordham|W|78|72|24|57|.421|7|22|.318|23|29|.793|9|34|12|6|6|11|21||24|64|.375|5|19|.263|19|23|.826|14|38|14|5|4|10|22
23|23|2015-02-08||La Salle|W|66|59|21|49|.429|6|12|.500|18|24|.750|9|38|16|7|3|13|16||20|55|.364|5|16|.313|14|22|.636|9|30|9|6|5|9|21
24|24|2015-02-11|@|St. Bonaventure|W|55|53|19|41|.463|2|9|.222|15|18|.833|3|29|6|10|4|20|14||22|60|.367|4|19|.211|5|8|.625|11|30|9|7|3|15|16
25|25|2015-02-14||Duquesne|W|82|74|24|56|.429|9|22|.409|25|39|.641|16|36|17|7|4|9|17||26|60|.433|5|21|.238|17|21|.810|9|31|19|5|1|11|25
26|26|2015-02-18|@|Rhode Island|L|59|75|21|46|.457|3|9|.333|14|25|.560|6|27|12|7|3|18|23||23|49|.469|6|13|.462|23|32|.719|10|30|15|9|5|13|20
