ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||Cal Poly|W|65|49|23|56|.411|5|15|.333|14|21|.667|11|38|8|2|6|3|14||18|58|.310|4|22|.182|9|18|.500|12|36|10|2|5|4|17
2|2|2014-11-17||Adams State|W|69|64|20|50|.400|5|13|.385|24|43|.558|22|46|13|9|4|18|21||23|68|.338|7|25|.280|11|18|.611|18|33|11|7|2|14|32
3|3|2014-11-21|N|Seton Hall|L|60|68|19|49|.388|4|13|.308|18|22|.818|8|27|7|3|5|12|25||23|57|.404|6|17|.353|16|27|.593|15|32|12|5|1|9|17
4|4|2014-11-22|N|Clemson|L|50|59|21|52|.404|4|9|.444|4|6|.667|9|24|5|7|2|15|21||19|42|.452|5|15|.333|16|26|.615|9|27|7|6|3|14|11
5|5|2014-11-24|N|Weber State|L|56|59|20|56|.357|2|11|.182|14|17|.824|15|34|4|5|7|16|20||19|47|.404|6|16|.375|15|19|.789|3|20|7|4|6|13|17
6|6|2014-11-29|@|Nebraska-Omaha|L|54|78|19|59|.322|3|17|.176|13|21|.619|11|33|12|7|4|20|19||26|52|.500|7|15|.467|19|28|.679|2|24|18|10|8|11|21
7|7|2014-12-03|@|Long Beach State|L|57|68|16|50|.320|2|14|.143|23|28|.821|14|38|4|3|11|19|24||21|66|.318|6|19|.316|20|29|.690|18|38|7|7|3|8|19
8|8|2014-12-07||California|L|56|63|18|54|.333|1|8|.125|19|27|.704|10|37|10|1|4|5|17||24|61|.393|3|12|.250|12|18|.667|10|35|10|3|3|3|20
9|9|2014-12-13||Cal State Fullerton|L|55|65|20|54|.370|5|16|.313|10|12|.833|8|27|12|4|7|9|18||21|51|.412|5|13|.385|18|25|.720|14|37|10|2|3|8|11
10|10|2014-12-18|@|Pacific|L|65|69|21|52|.404|3|17|.176|20|26|.769|9|30|4|3|5|11|31||23|58|.397|5|17|.294|18|36|.500|22|44|12|4|2|13|21
11|11|2014-12-22||Marshall|W|83|55|31|67|.463|3|14|.214|18|27|.667|17|55|18|6|4|15|25||17|66|.258|5|28|.179|16|27|.593|12|32|9|4|0|10|21
12|12|2014-12-28||Northwest Christian|W|81|67|25|52|.481|7|21|.333|24|36|.667|10|44|15|4|5|13|17||23|62|.371|9|25|.360|12|15|.800|7|27|15|8|3|9|25
13|13|2015-01-03||Air Force|W|80|62|24|50|.480|7|23|.304|25|35|.714|16|34|18|6|1|10|18||23|50|.460|6|20|.300|10|18|.556|8|20|12|8|0|9|24
14|14|2015-01-07|@|Nevada-Las Vegas|W|64|62|24|68|.353|5|14|.357|11|13|.846|18|39|8|6|6|11|15||21|62|.339|5|17|.294|15|16|.938|16|36|11|3|11|11|17
15|15|2015-01-10||Fresno State|L|66|69|24|58|.414|2|16|.125|16|23|.696|14|37|12|5|9|11|20||22|57|.386|8|17|.471|17|28|.607|13|29|10|8|2|7|22
16|16|2015-01-14|@|Colorado State|L|42|98|18|55|.327|1|10|.100|5|11|.455|16|31|3|3|4|18|16||37|65|.569|13|24|.542|11|16|.688|12|36|21|9|4|5|13
17|17|2015-01-20||Utah State|L|54|70|21|60|.350|2|18|.111|10|15|.667|14|39|13|7|5|18|13||27|59|.458|7|15|.467|9|13|.692|5|28|15|8|5|8|16
18|18|2015-01-24|@|Fresno State|L|62|66|18|59|.305|5|18|.278|21|29|.724|19|43|8|6|1|15|23||19|49|.388|6|21|.286|22|33|.667|6|29|11|8|7|10|25
19|19|2015-01-27||Nevada-Las Vegas|L|62|67|20|56|.357|5|12|.417|17|27|.630|16|40|11|6|5|13|20||24|49|.490|6|16|.375|13|25|.520|10|34|16|4|5|13|21
20|20|2015-01-31|@|Wyoming|L|55|63|21|50|.420|2|11|.182|11|14|.786|7|21|12|4|1|12|19||18|44|.409|6|17|.353|21|26|.808|8|29|14|7|3|14|11
21|21|2015-02-04||San Diego State|L|63|65|25|54|.463|4|8|.500|9|13|.692|12|25|10|9|3|10|16||24|54|.444|6|17|.353|11|16|.688|16|27|13|6|5|13|13
22|22|2015-02-07|@|San Jose State|W|60|57|18|51|.353|0|9|.000|24|38|.632|19|51|9|8|3|19|27||17|55|.309|5|26|.192|18|26|.692|11|30|8|5|3|13|25
23|23|2015-02-10|@|Utah State|L|62|75|23|56|.411|6|14|.429|10|14|.714|13|29|16|5|2|9|16||25|42|.595|9|16|.563|16|22|.727|2|17|17|5|9|6|14
24|24|2015-02-14||New Mexico|W (1 OT)|66|63|23|58|.397|6|21|.286|14|17|.824|13|37|11|6|5|17|16||23|65|.354|5|21|.238|12|13|.923|12|34|16|6|8|12|16
25|25|2015-02-17||Wyoming|L|58|64|20|57|.351|4|12|.333|14|15|.933|12|39|12|3|4|15|23||22|49|.449|6|20|.300|14|25|.560|4|24|15|8|3|6|14
