ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15|@|Old Dominion|L|56|76|18|56|.321|7|18|.389|13|21|.619|6|23|7|8|4|13|18||26|55|.473|8|15|.533|16|22|.727|12|43|16|7|9|16|14
2|2|2014-11-18|@|North Carolina-Greensboro|W|84|72|32|49|.653|10|16|.625|10|15|.667|2|25|18|7|3|18|23||24|55|.436|4|22|.182|20|33|.606|13|32|9|10|3|13|16
3|3|2014-11-22|@|Virginia Military Institute|W|110|93|47|79|.595|2|7|.286|14|20|.700|16|41|20|14|8|17|22||31|66|.470|13|29|.448|18|23|.783|8|25|19|5|7|23|18
4|4|2014-11-29|@|Davidson|L|49|72|17|56|.304|3|15|.200|12|20|.600|13|38|9|6|7|20|22||23|67|.343|8|23|.348|18|25|.720|14|43|16|10|3|11|23
5|5|2014-12-03||St. Andrews|W|105|47|45|64|.703|10|18|.556|5|14|.357|14|45|26|13|2|11|10||18|59|.305|6|26|.231|5|7|.714|8|18|9|7|1|14|13
6|6|2014-12-14|@|Louisville|L|57|68|24|62|.387|5|13|.385|4|8|.500|12|34|8|6|4|18|21||27|65|.415|1|13|.077|13|16|.813|17|44|7|10|7|16|12
7|7|2014-12-17||Liberty|W (1 OT)|73|70|21|46|.457|4|10|.400|27|44|.614|7|37|9|8|6|16|21||26|66|.394|6|17|.353|12|23|.522|15|41|7|9|4|16|31
8|8|2014-12-20||East Carolina|W|66|54|21|45|.467|5|14|.357|19|28|.679|10|40|8|5|11|16|20||18|64|.281|6|19|.316|12|22|.545|18|34|7|7|0|9|21
9|9|2014-12-23|@|Campbell|L|63|69|23|55|.418|4|15|.267|13|15|.867|11|35|10|4|2|16|15||26|48|.542|7|14|.500|10|20|.500|2|21|13|8|3|10|15
10|10|2014-12-27|@|Minnesota|L|82|108|31|66|.470|10|24|.417|10|12|.833|17|38|19|5|7|20|17||40|67|.597|10|16|.625|18|21|.857|5|23|25|13|4|8|15
11|11|2014-12-30|@|Ohio|L|53|72|20|64|.313|4|15|.267|9|16|.563|8|33|5|3|2|10|25||26|56|.464|3|12|.250|17|25|.680|9|41|14|6|9|13|15
12|12|2015-01-03||Hofstra|L|56|68|21|58|.362|4|19|.211|10|15|.667|10|36|11|3|3|14|27||18|59|.305|4|22|.182|28|43|.651|15|41|8|6|0|9|15
13|13|2015-01-05|@|Northeastern|W|75|68|31|57|.544|2|3|.667|11|17|.647|6|30|10|9|3|10|18||24|52|.462|6|13|.462|14|22|.636|5|25|16|6|4|13|16
14|14|2015-01-08||Delaware|W (1 OT)|74|73|28|70|.400|6|22|.273|12|21|.571|17|42|15|11|11|11|20||23|62|.371|8|20|.400|19|24|.792|13|40|12|4|3|19|18
15|15|2015-01-10||Drexel|W|64|57|22|42|.524|2|9|.222|18|25|.720|6|31|11|7|4|16|22||18|43|.419|3|11|.273|18|27|.667|4|22|5|7|1|12|24
16|16|2015-01-14|@|William & Mary|L|72|76|28|51|.549|7|13|.538|9|14|.643|4|16|14|7|3|7|20||24|44|.545|7|15|.467|21|26|.808|7|25|15|4|4|10|11
17|17|2015-01-17|@|Hofstra|W|79|74|27|57|.474|4|13|.308|21|28|.750|10|28|9|6|1|10|26||18|43|.419|6|21|.286|32|39|.821|8|30|12|6|3|14|23
18|18|2015-01-21|@|College of Charleston|W (1 OT)|58|56|16|62|.258|4|17|.235|22|31|.710|14|36|6|10|5|7|23||19|48|.396|3|14|.214|15|25|.600|9|41|6|4|6|19|21
19|19|2015-01-24||Towson|W|69|65|24|61|.393|2|13|.154|19|30|.633|14|39|9|4|3|9|25||24|53|.453|3|9|.333|14|29|.483|11|38|10|3|3|14|24
20|20|2015-01-28||Elon|W|82|65|30|59|.508|7|14|.500|15|22|.682|13|33|18|9|5|11|25||19|46|.413|5|18|.278|22|34|.647|11|33|9|5|1|15|21
21|21|2015-01-31|@|Drexel|L|76|85|27|63|.429|4|15|.267|18|31|.581|15|32|8|8|1|10|22||29|48|.604|5|12|.417|22|29|.759|4|30|20|5|6|14|23
22|22|2015-02-04|@|James Madison|W|77|65|25|59|.424|9|15|.600|18|22|.818|9|31|15|8|4|6|19||20|50|.400|4|19|.211|21|27|.778|10|31|7|4|2|13|16
23|23|2015-02-07||William & Mary|L|53|56|19|66|.288|3|19|.158|12|18|.667|18|36|10|10|3|11|16||22|44|.500|1|11|.091|11|14|.786|5|29|9|6|6|20|15
24|24|2015-02-11||College of Charleston|W|58|45|16|41|.390|4|12|.333|22|26|.846|7|37|5|6|3|15|16||15|54|.278|4|18|.222|11|18|.611|12|31|7|9|1|12|21
25|25|2015-02-14||Northeastern|W|66|61|25|51|.490|3|11|.273|13|18|.722|3|27|7|10|7|11|22||20|49|.408|4|16|.250|17|31|.548|8|31|13|8|2|15|15
