ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Oregon State|L|54|67|16|52|.308|8|29|.276|14|15|.933|5|24|10|7|2|11|20||24|54|.444|4|11|.364|15|20|.750|12|43|19|5|7|13|14
2|2|2014-11-19||Prairie View|W|68|64|20|41|.488|9|17|.529|19|28|.679|6|30|11|0|3|20|19||23|56|.411|5|18|.278|13|19|.684|10|30|11|8|4|14|24
3|3|2014-11-22||William & Mary|L|65|69|21|49|.429|9|25|.360|14|19|.737|10|30|13|12|0|15|23||23|48|.479|6|18|.333|17|24|.708|10|28|18|5|5|14|16
4|4|2014-11-27|N|Mercer|L (1 OT)|71|77|21|57|.368|10|29|.345|19|27|.704|9|26|14|8|4|11|31||20|46|.435|6|14|.429|31|44|.705|12|34|16|5|1|15|22
5|5|2014-11-28|N|Washington State|L|74|76|26|65|.400|8|22|.364|14|20|.700|12|37|17|1|2|8|22||24|51|.471|7|15|.467|21|29|.724|6|32|21|4|5|9|20
6|6|2014-11-29|@|Alaska-Anchorage|L|54|65|16|50|.320|4|24|.167|18|26|.692|9|26|13|2|3|12|21||18|44|.409|10|26|.385|19|25|.760|5|26|16|6|4|9|22
7|7|2014-12-03||Houston Baptist|L|55|58|19|51|.373|4|19|.211|13|15|.867|8|27|8|7|3|11|17||22|52|.423|5|16|.313|9|18|.500|9|33|10|7|3|12|16
8|8|2014-12-06||St. Edward's|W|54|49|21|47|.447|6|17|.353|6|13|.462|5|34|13|6|0|18|17||20|63|.317|4|17|.235|5|12|.417|12|35|9|9|2|12|18
9|9|2014-12-18||St. Thomas (TX)|W|72|61|23|62|.371|11|37|.297|15|18|.833|19|44|16|6|2|16|20||19|45|.422|10|19|.526|13|20|.650|2|21|10|7|4|15|22
10|10|2014-12-22|@|Lamar|L (1 OT)|72|79|22|51|.431|11|28|.393|17|23|.739|7|26|12|8|3|21|30||21|46|.457|10|20|.500|27|40|.675|6|27|13|4|3|21|20
11|11|2014-12-29|@|Texas|L|55|66|21|50|.420|8|25|.320|5|6|.833|6|21|11|11|1|15|24||23|53|.434|3|11|.273|17|27|.630|16|36|14|6|3|16|8
12|12|2015-01-02||Texas-San Antonio|W|67|52|23|42|.548|11|22|.500|10|11|.909|7|29|15|5|6|14|20||18|53|.340|4|22|.182|12|22|.545|18|32|13|10|6|11|15
13|13|2015-01-04||Texas-El Paso|L|57|66|19|53|.358|12|23|.522|7|10|.700|11|25|14|4|5|12|14||25|52|.481|8|16|.500|8|10|.800|8|31|15|4|7|8|10
14|14|2015-01-10||North Texas|L|63|66|19|48|.396|12|31|.387|13|18|.722|7|32|14|6|1|19|20||25|50|.500|4|12|.333|12|28|.429|5|28|11|12|5|13|20
15|15|2015-01-15|@|Old Dominion|L|53|63|21|53|.396|8|25|.320|3|6|.500|4|22|11|6|1|12|17||20|42|.476|6|11|.545|17|24|.708|8|37|11|8|5|16|12
16|16|2015-01-17|@|Charlotte|W (1 OT)|73|68|25|52|.481|12|34|.353|11|13|.846|6|31|12|4|3|15|20||27|62|.435|7|25|.280|7|15|.467|14|34|15|10|0|12|16
17|17|2015-01-22||Southern Mississippi|W|58|56|20|44|.455|11|26|.423|7|10|.700|6|29|17|4|1|13|10||22|49|.449|8|16|.500|4|8|.500|5|22|15|5|2|7|14
18|18|2015-01-24||Louisiana Tech|L|45|58|14|43|.326|5|19|.263|12|19|.632|4|22|8|6|0|18|15||21|47|.447|6|13|.462|10|16|.625|8|28|15|8|4|12|20
19|19|2015-01-28|@|Houston|L|48|59|18|39|.462|5|14|.357|7|9|.778|5|24|8|3|1|14|15||22|52|.423|7|25|.280|8|11|.727|11|27|14|5|5|6|17
20|20|2015-01-31|@|North Texas|L|65|75|21|49|.429|15|27|.556|8|15|.533|9|27|15|5|2|16|19||30|53|.566|5|12|.417|10|16|.625|6|27|12|6|5|10|13
21|21|2015-02-05|@|Marshall|L|55|69|20|55|.364|9|31|.290|6|10|.600|10|27|10|10|0|12|10||27|51|.529|10|25|.400|5|8|.625|8|32|14|6|2|16|12
22|22|2015-02-07|@|Western Kentucky|W|72|68|25|42|.595|7|17|.412|15|17|.882|1|26|13|6|4|15|19||23|55|.418|7|24|.292|15|19|.789|8|24|12|6|2|11|17
23|23|2015-02-12||Middle Tennessee|W (2 OT)|71|68|21|51|.412|8|21|.381|21|31|.677|4|22|12|9|3|8|20||21|53|.396|3|12|.250|23|26|.885|14|44|11|3|4|22|25
24|24|2015-02-14||Alabama-Birmingham|W (2 OT)|82|73|24|60|.400|10|32|.313|24|28|.857|7|36|16|8|3|16|20||27|67|.403|5|20|.250|14|22|.636|9|38|15|9|3|19|26
