ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||Portland State|L|68|76|25|47|.532|4|12|.333|14|22|.636|10|40|11|1|7|23|23||25|64|.391|8|18|.444|18|25|.720|8|23|13|10|0|4|17
2|2|2014-11-17||Tennessee Tech|W|70|58|21|47|.447|4|10|.400|24|34|.706|6|30|11|11|5|17|15||23|68|.338|1|18|.056|11|18|.611|19|36|8|8|3|15|23
3|3|2014-11-20|N|Akron|L|46|66|15|53|.283|2|12|.167|14|22|.636|13|37|6|5|1|16|17||24|60|.400|8|27|.296|10|13|.769|12|36|14|10|6|12|17
4|4|2014-11-21|N|Drexel|W|72|70|29|59|.492|4|12|.333|10|18|.556|10|22|14|9|3|9|17||23|44|.523|9|16|.563|15|19|.789|7|27|17|4|4|20|17
5|5|2014-11-23|N|Penn State|L|61|63|18|66|.273|7|22|.318|18|27|.667|21|41|11|7|5|13|14||25|59|.424|7|22|.318|6|10|.600|10|28|10|3|5|15|19
6|6|2014-11-25||Cal State Fullerton|W|53|49|23|59|.390|3|14|.214|4|14|.286|13|40|10|7|8|13|14||18|56|.321|7|20|.350|6|9|.667|10|36|6|4|2|16|12
7|7|2014-11-30|@|New Mexico|W|66|54|23|60|.383|4|17|.235|16|23|.696|13|39|15|5|2|9|17||18|55|.327|3|24|.125|15|23|.652|11|35|12|5|8|12|18
8|8|2014-12-03||Loyola Marymount|W|77|61|29|62|.468|9|21|.429|10|15|.667|8|32|18|8|5|13|14||25|68|.368|7|17|.412|4|10|.400|15|36|11|6|7|14|12
9|9|2014-12-07||Utah State|W|89|84|31|62|.500|12|26|.462|15|27|.556|11|35|22|7|1|9|18||28|59|.475|10|28|.357|18|26|.692|9|33|17|3|4|10|21
10|10|2014-12-13||Army|L (1 OT)|77|85|29|72|.403|4|19|.211|15|28|.536|13|40|14|9|2|14|22||30|70|.429|7|32|.219|18|25|.720|11|41|14|6|4|11|25
11|11|2014-12-21|@|Boston College|W|75|71|29|52|.558|4|11|.364|13|19|.684|7|31|13|5|6|17|19||25|61|.410|7|25|.280|14|18|.778|9|27|17|10|4|12|20
12|12|2014-12-30||Vermont|W|64|56|23|56|.411|1|7|.143|17|25|.680|12|41|10|11|8|15|15||19|63|.302|5|23|.217|13|15|.867|13|37|11|13|3|17|19
13|13|2015-01-02|@|Utah|L|55|79|25|65|.385|3|13|.231|2|5|.400|13|29|11|6|3|9|18||29|51|.569|11|19|.579|10|20|.500|9|35|19|6|6|11|13
14|14|2015-01-04|@|Colorado|L|65|86|28|64|.438|4|20|.200|5|11|.455|14|32|10|5|3|13|14||32|58|.552|7|15|.467|15|19|.789|9|33|22|10|4|10|16
15|15|2015-01-07||California|W|71|57|26|61|.426|2|15|.133|17|20|.850|11|38|14|5|4|8|17||23|65|.354|4|20|.200|7|11|.636|11|33|10|4|2|13|16
16|16|2015-01-11||Stanford|L|76|78|26|53|.491|5|11|.455|19|24|.792|5|30|12|9|4|14|14||30|65|.462|10|25|.400|8|12|.667|9|29|13|5|3|14|22
17|17|2015-01-14||UCLA|L|66|83|24|58|.414|6|13|.462|12|17|.706|4|19|15|8|1|12|14||35|62|.565|7|17|.412|6|10|.600|11|39|14|8|3|14|17
18|18|2015-01-22|@|Oregon|L|67|75|25|67|.373|6|19|.316|11|18|.611|13|36|11|8|3|13|23||21|58|.362|8|25|.320|25|31|.806|14|42|11|5|5|15|17
19|19|2015-01-24|@|Oregon State|L|55|59|17|50|.340|5|18|.278|16|18|.889|5|25|12|4|5|10|17||20|51|.392|6|19|.316|13|18|.722|5|30|14|7|4|5|16
20|20|2015-01-29||Colorado|L (3 OT)|94|98|31|73|.425|9|22|.409|23|35|.657|14|39|12|5|4|17|29||30|65|.462|8|22|.364|30|42|.714|13|38|8|8|2|20|32
21|21|2015-02-01||Utah|L|39|67|13|49|.265|1|12|.083|12|19|.632|5|24|4|6|3|15|16||25|54|.463|4|20|.200|13|15|.867|10|38|14|9|3|11|15
22|22|2015-02-05|@|California|L|69|70|28|55|.509|4|10|.400|9|18|.500|9|32|10|4|5|18|18||26|61|.426|9|24|.375|9|16|.563|8|30|15|4|5|14|18
23|23|2015-02-08|@|Stanford|L|62|70|25|63|.397|9|22|.409|3|8|.375|7|29|15|8|3|16|20||22|61|.361|6|24|.250|20|25|.800|15|46|14|6|5|17|13
24|24|2015-02-11||Oregon|L|75|80|31|66|.470|4|18|.222|9|13|.692|11|29|13|5|3|10|12||34|59|.576|5|16|.313|7|8|.875|7|34|13|3|3|14|13
25|25|2015-02-14||Oregon State|W|68|55|23|51|.451|8|18|.444|14|23|.609|9|34|19|7|9|22|18||19|58|.328|5|17|.294|12|20|.600|10|29|13|13|4|15|24
