ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|N|Citadel|W|66|65|26|58|.448|11|29|.379|3|4|.750|11|25|12|3|4|13|18||23|42|.548|2|4|.500|17|22|.773|3|21|10|6|1|11|10
2|2|2014-11-15|N|Army|L|86|92|33|75|.440|9|24|.375|11|15|.733|14|33|14|10|4|15|26||36|65|.554|5|19|.263|15|29|.517|17|43|15|8|6|18|20
3|3|2014-11-18||Johnson University|W|124|42|43|82|.524|21|46|.457|17|24|.708|15|51|24|16|6|13|18||14|63|.222|3|13|.231|11|16|.688|9|34|6|4|4|29|21
4|4|2014-11-22||North Carolina-Wilmington|L|93|110|31|66|.470|13|29|.448|18|23|.783|8|25|19|5|7|23|18||47|79|.595|2|7|.286|14|20|.700|16|41|20|14|8|17|22
5|5|2014-11-26|N|West Virginia|L|72|103|26|58|.448|11|31|.355|9|10|.900|13|40|17|3|4|35|20||42|81|.519|8|18|.444|11|22|.500|14|31|24|26|4|9|11
6|6|2014-11-30|@|Maryland|L|77|95|30|76|.395|12|42|.286|5|9|.556|11|29|12|6|3|18|23||37|64|.578|3|12|.250|18|26|.692|10|39|15|6|10|20|15
7|7|2014-12-02||Mid-Atlantic Christian|W|133|62|54|105|.514|15|57|.263|10|21|.476|26|67|27|22|14|10|19||19|67|.284|6|17|.353|18|30|.600|10|37|10|7|1|28|13
8|8|2014-12-04|@|Samford|W|88|66|28|70|.400|7|25|.280|25|35|.714|17|45|10|10|8|10|17||27|69|.391|2|12|.167|10|16|.625|11|39|17|6|2|20|23
9|9|2014-12-06|@|Mercer|L|81|90|26|70|.371|17|44|.386|12|15|.800|7|25|18|3|4|10|26||29|57|.509|7|12|.583|25|38|.658|13|40|15|8|6|15|13
10|10|2014-12-09|@|Navy|L|66|84|23|65|.354|7|34|.206|13|16|.813|11|24|7|7|2|13|25||29|51|.569|7|19|.368|19|29|.655|9|40|18|7|5|18|17
11|11|2014-12-13||Marist|W|92|77|30|75|.400|19|55|.345|13|18|.722|14|42|24|8|3|12|24||28|59|.475|5|17|.294|16|24|.667|4|34|8|7|0|16|17
12|12|2014-12-22|@|Virginia Tech|L|74|87|23|70|.329|10|39|.256|18|22|.818|14|37|8|9|12|15|22||33|62|.532|4|7|.571|17|24|.708|8|34|12|5|6|15|18
13|13|2014-12-30|@|George Washington|L|60|80|21|71|.296|8|36|.222|10|14|.714|14|42|12|5|8|16|26||30|66|.455|1|7|.143|19|30|.633|10|44|12|5|6|10|14
14|14|2015-01-02|@|East Tennessee State|L|88|98|27|76|.355|10|45|.222|24|35|.686|22|44|15|11|4|15|28||31|63|.492|4|20|.200|32|36|.889|10|41|11|10|4|17|24
15|15|2015-01-05||Mercer|L|75|85|24|64|.375|12|35|.343|15|21|.714|10|25|11|8|2|14|25||27|49|.551|4|10|.400|27|38|.711|10|36|11|8|4|15|16
16|16|2015-01-08|@|Wofford|L|70|75|26|63|.413|4|22|.182|14|18|.778|13|31|5|4|8|13|20||26|55|.473|7|18|.389|16|20|.800|7|30|16|8|4|12|15
17|17|2015-01-10|@|Furman|W|83|73|26|59|.441|12|32|.375|19|28|.679|8|33|11|6|4|10|22||23|49|.469|5|13|.385|22|30|.733|5|35|13|4|4|17|23
18|18|2015-01-14|@|North Carolina-Greensboro|L|63|75|23|75|.307|9|40|.225|8|16|.500|14|34|9|9|4|13|21||28|62|.452|6|18|.333|13|19|.684|11|49|12|2|8|17|16
19|19|2015-01-17||East Tennessee State|W|85|79|27|77|.351|9|41|.220|22|37|.595|19|51|14|14|10|18|26||24|66|.364|11|29|.379|20|29|.690|13|41|10|10|2|24|24
20|20|2015-01-22|@|Chattanooga|L|64|86|21|68|.309|7|25|.280|15|25|.600|12|38|13|4|2|22|20||30|62|.484|4|17|.235|22|32|.688|7|35|13|11|7|10|19
21|21|2015-01-24||Citadel|W|85|75|25|58|.431|10|28|.357|25|39|.641|10|30|9|15|6|16|28||21|56|.375|6|20|.300|27|35|.771|12|36|12|7|2|21|32
22|22|2015-01-29||Western Carolina|L|70|85|24|71|.338|12|47|.255|10|17|.588|9|26|16|16|6|14|20||31|64|.484|4|11|.364|19|26|.731|13|48|16|11|4|22|16
23|23|2015-02-03||North Carolina-Greensboro|L|56|85|16|72|.222|8|38|.211|16|26|.615|13|37|12|11|6|14|17||31|65|.477|9|19|.474|14|24|.583|8|50|21|9|5|20|25
24|24|2015-02-07||Wofford|L|62|65|23|62|.371|10|24|.417|6|8|.750|12|36|12|7|8|15|19||24|58|.414|3|11|.273|14|20|.700|6|33|11|7|3|10|14
25|25|2015-02-12||Furman|W|93|59|33|62|.532|24|45|.533|3|4|.750|6|24|21|7|9|9|14||25|52|.481|1|10|.100|8|14|.571|9|29|6|5|2|14|12
26|26|2015-02-15|@|Citadel|W|84|69|31|71|.437|15|41|.366|7|9|.778|14|33|13|9|2|8|16||23|49|.469|6|14|.429|17|20|.850|6|27|10|6|1|12|13
