ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|James Madison|W|79|51|29|50|.580|5|7|.714|16|21|.762|8|36|12|11|7|16|18||15|53|.283|8|26|.308|13|18|.722|9|22|9|4|1|17|15
2|2|2014-11-16||Norfolk State|W|67|39|23|53|.434|10|21|.476|11|17|.647|10|36|19|9|11|10|11||12|51|.235|7|17|.412|8|9|.889|11|29|8|3|4|13|18
3|3|2014-11-18||South Carolina State|W|75|55|27|57|.474|6|16|.375|15|18|.833|13|44|12|3|6|12|10||19|58|.328|8|22|.364|9|13|.692|7|23|10|9|3|5|17
4|4|2014-11-21||George Washington|W|59|42|24|57|.421|1|9|.111|10|16|.625|13|38|9|4|9|8|11||16|49|.327|4|18|.222|6|9|.667|6|25|6|6|6|10|14
5|5|2014-11-25||Tennessee State|W|79|36|31|60|.517|7|21|.333|10|15|.667|17|46|17|5|4|6|9||14|48|.292|4|19|.211|4|9|.444|4|19|7|5|3|8|19
6|6|2014-11-28|N|La Salle|W|64|56|22|46|.478|3|7|.429|17|22|.773|10|33|11|8|4|12|23||18|45|.400|4|14|.286|16|25|.640|6|19|7|8|0|13|21
7|7|2014-11-29|N|Rutgers|W|45|26|18|55|.327|2|16|.125|7|9|.778|9|37|10|7|1|7|9||12|48|.250|0|13|.000|2|3|.667|5|27|4|4|5|11|11
8|8|2014-12-03|@|Maryland|W|76|65|26|49|.531|5|13|.385|19|27|.704|8|32|13|4|4|7|28||16|40|.400|6|18|.333|27|36|.750|3|21|6|2|2|7|19
9|9|2014-12-06|@|Virginia Commonwealth|W|74|57|28|41|.683|6|11|.545|12|16|.750|5|31|18|4|1|16|9||23|60|.383|7|24|.292|4|9|.444|8|20|15|12|3|6|12
10|10|2014-12-18||Cleveland State|W|70|52|22|44|.500|5|11|.455|21|28|.750|8|31|14|4|6|6|13||19|52|.365|7|23|.304|7|9|.778|7|22|9|3|0|7|24
11|11|2014-12-21||Harvard|W|76|27|31|52|.596|6|11|.545|8|11|.727|7|42|21|6|5|10|20||8|50|.160|2|11|.182|9|22|.409|8|22|1|7|1|10|9
12|12|2014-12-30||Davidson|W|83|72|27|61|.443|5|15|.333|24|29|.828|17|40|13|4|2|5|13||27|56|.482|11|28|.393|7|12|.583|2|19|14|3|3|7|19
13|13|2015-01-03|@|Miami (FL)|W (2 OT)|89|80|26|58|.448|10|21|.476|27|39|.692|9|35|19|3|6|9|23||27|68|.397|9|28|.321|17|24|.708|11|36|14|6|0|9|26
14|14|2015-01-07||North Carolina State|W|61|51|23|56|.411|6|20|.300|9|10|.900|11|36|13|5|4|9|10||20|53|.377|9|21|.429|2|9|.222|7|28|9|3|4|11|13
15|15|2015-01-10|@|Notre Dame|W|62|56|25|51|.490|5|11|.455|7|8|.875|8|33|9|2|3|8|12||20|59|.339|10|24|.417|6|12|.500|13|30|10|4|1|6|14
16|16|2015-01-13||Clemson|W|65|42|25|50|.500|10|21|.476|5|10|.500|3|23|14|4|5|4|17||15|42|.357|3|13|.231|9|13|.692|7|28|4|2|2|11|11
17|17|2015-01-17|@|Boston College|W|66|51|21|49|.429|6|18|.333|18|21|.857|12|33|12|2|3|8|18||17|43|.395|5|15|.333|12|13|.923|3|18|8|2|0|9|16
18|18|2015-01-22||Georgia Tech|W|57|28|24|53|.453|5|9|.556|4|6|.667|6|33|13|4|3|4|12||12|49|.245|0|12|.000|4|8|.500|8|29|2|3|3|10|8
19|19|2015-01-25|@|Virginia Tech|W|50|47|17|49|.347|6|18|.333|10|12|.833|10|31|12|5|3|12|13||19|42|.452|5|19|.263|4|7|.571|1|18|8|5|5|14|16
20|20|2015-01-31||Duke|L|63|69|26|63|.413|3|13|.231|8|10|.800|12|30|11|4|1|7|11||28|55|.509|6|17|.353|7|13|.538|10|32|12|4|4|8|13
21|21|2015-02-02|@|North Carolina|W|75|64|29|56|.518|5|12|.417|12|18|.667|6|19|18|9|7|8|13||25|56|.446|4|9|.444|10|13|.769|10|32|15|3|3|13|16
22|22|2015-02-07||Louisville|W|52|47|17|51|.333|2|14|.143|16|22|.727|9|31|9|8|4|2|13||17|46|.370|3|14|.214|10|13|.769|5|32|6|2|3|10|18
23|23|2015-02-11|@|North Carolina State|W|51|47|19|51|.373|2|11|.182|11|18|.611|13|39|10|2|6|11|15||19|57|.333|3|17|.176|6|7|.857|8|26|7|6|9|6|15
24|24|2015-02-14||Wake Forest|W|61|60|24|53|.453|2|12|.167|11|16|.688|5|29|10|5|2|9|14||19|44|.432|10|24|.417|12|22|.545|3|29|15|6|1|11|16
25|25|2015-02-16||Pittsburgh|W|61|49|20|47|.426|5|13|.385|16|22|.727|6|27|11|5|4|7|14||17|44|.386|6|16|.375|9|17|.529|7|27|11|5|0|11|21
