ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-15||Pfeiffer|W|82|59|27|61|.443|11|28|.393|17|25|.680|18|39|16|7|4|14|25||18|47|.383|2|6|.333|21|31|.677|9|23|5|7|6|19|17
2|2|2014-11-17|@|Clemson|W|77|74|24|62|.387|9|23|.391|20|25|.800|4|25|12|9|3|6|31||24|50|.480|3|13|.231|23|39|.590|11|41|8|2|8|16|23
3|3|2014-11-20|@|Savannah State|L|58|59|20|53|.377|7|21|.333|11|21|.524|11|30|9|13|4|19|18||25|50|.500|4|11|.364|5|12|.417|8|30|12|7|6|22|18
4|4|2014-11-24||East Tennessee State|L|64|69|22|57|.386|9|31|.290|11|15|.733|10|36|14|5|5|13|20||19|62|.306|12|32|.375|19|26|.731|14|39|9|6|1|10|20
5|5|2014-12-01||Savannah State|W|68|47|25|56|.446|9|21|.429|9|13|.692|11|38|11|6|9|20|20||18|62|.290|3|14|.214|8|19|.421|17|33|4|14|4|16|11
6|6|2014-12-03|@|Jacksonville State|L (1 OT)|76|79|24|49|.490|8|16|.500|20|26|.769|7|30|15|2|6|15|22||27|65|.415|8|26|.308|17|26|.654|17|36|16|9|5|9|28
7|7|2014-12-06|@|Maryland|L|62|82|21|58|.362|9|27|.333|11|16|.688|8|24|10|5|1|10|24||22|46|.478|9|22|.409|29|35|.829|6|33|15|4|7|10|18
8|8|2014-12-09||Mars Hill|W|96|51|33|63|.524|4|18|.222|26|37|.703|11|45|13|13|5|11|15||18|60|.300|7|26|.269|8|12|.667|7|31|9|7|0|25|27
9|9|2014-12-17|@|Auburn|L|62|80|24|70|.343|4|27|.148|10|23|.435|19|44|9|7|5|11|23||27|61|.443|7|19|.368|19|34|.559|13|46|16|4|4|11|21
10|10|2014-12-19|@|Southeastern Louisiana|L|71|81|27|59|.458|7|21|.333|10|15|.667|7|25|13|6|3|10|13||30|53|.566|9|19|.474|12|19|.632|6|27|16|6|3|11|15
11|11|2014-12-21||Reinhardt|W|100|72|38|57|.667|10|18|.556|14|17|.824|4|31|19|9|9|15|18||27|72|.375|9|28|.321|9|14|.643|18|33|11|8|1|17|15
12|12|2014-12-31||Longwood|W (1 OT)|82|72|25|57|.439|13|28|.464|19|25|.760|7|34|13|10|6|16|17||25|66|.379|5|22|.227|17|20|.850|11|38|5|5|3|15|21
13|13|2015-01-03||High Point|L (2 OT)|87|90|29|68|.426|6|24|.250|23|30|.767|11|36|14|11|4|17|17||36|80|.450|6|12|.500|12|17|.706|15|43|14|8|4|16|25
14|14|2015-01-08|@|Presbyterian|W|57|56|21|51|.412|7|26|.269|8|9|.889|3|19|12|6|6|10|9||22|53|.415|1|7|.143|11|12|.917|11|33|3|5|2|15|11
15|15|2015-01-10|@|Gardner-Webb|L|64|65|25|55|.455|9|20|.450|5|8|.625|7|31|16|4|6|10|13||21|59|.356|11|34|.324|12|14|.857|11|35|17|4|6|9|13
16|16|2015-01-14|@|North Carolina-Asheville|W|84|69|28|53|.528|7|16|.438|21|25|.840|5|31|16|10|6|15|14||25|63|.397|7|24|.292|12|19|.632|12|32|16|7|5|15|15
17|17|2015-01-17||Radford|L|77|85|31|57|.544|8|20|.400|7|13|.538|6|26|13|5|5|9|16||29|56|.518|11|18|.611|16|18|.889|4|23|18|6|1|9|14
18|18|2015-01-22|@|Liberty|W|71|56|22|57|.386|6|27|.222|21|28|.750|10|31|8|9|2|10|20||21|49|.429|0|10|.000|14|18|.778|4|27|8|4|1|20|20
19|19|2015-01-24||Campbell|W|71|63|20|51|.392|7|21|.333|24|30|.800|10|33|7|6|3|8|14||21|55|.382|7|21|.333|14|19|.737|7|28|10|5|5|8|19
20|20|2015-01-28|@|Coastal Carolina|W|75|68|27|57|.474|8|18|.444|13|16|.813|11|34|14|5|1|8|16||23|56|.411|4|11|.364|18|24|.750|8|29|9|8|2|9|17
21|21|2015-01-31|@|Radford|L|66|73|24|55|.436|5|16|.313|13|21|.619|8|28|8|6|4|13|13||26|57|.456|5|16|.313|16|19|.842|9|34|12|6|3|13|16
22|22|2015-02-02||Charleston Southern|W|77|55|29|55|.527|9|23|.391|10|13|.769|6|31|11|13|4|13|17||18|51|.353|4|28|.143|15|20|.750|7|27|6|6|1|16|16
23|23|2015-02-04||Liberty|W|74|61|23|48|.479|10|25|.400|18|22|.818|11|32|9|5|11|15|21||21|59|.356|3|12|.250|16|20|.800|12|26|4|8|3|11|19
24|24|2015-02-11|@|High Point|L|72|73|26|59|.441|13|26|.500|7|10|.700|12|33|19|5|2|12|18||23|50|.460|8|17|.471|19|23|.826|6|27|14|6|9|10|14
25|25|2015-02-14||Gardner-Webb|W|71|68|21|57|.368|8|17|.471|21|28|.750|10|35|8|7|3|12|16||23|66|.348|6|27|.222|16|18|.889|14|38|7|4|6|13|22
26|26|2015-02-18||North Carolina-Asheville|W|91|70|34|57|.596|11|26|.423|12|14|.857|8|25|16|8|3|8|14||29|49|.592|4|14|.286|8|18|.444|9|21|12|3|1|13|15
