ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Quinnipiac|L (2 OT)|85|88|30|78|.385|7|22|.318|18|23|.783|17|35|11|8|3|10|28||32|69|.464|5|19|.263|19|30|.633|21|49|21|6|11|16|22
2|2|2014-11-17||Newbury|W|97|51|39|76|.513|10|28|.357|9|13|.692|18|51|26|10|9|12|15||17|64|.266|5|22|.227|12|15|.800|12|26|3|7|3|14|10
3|3|2014-11-21|N|Illinois-Chicago|W|70|58|23|52|.442|9|20|.450|15|18|.833|7|30|17|11|3|12|16||23|51|.451|5|13|.385|7|9|.778|5|22|11|1|1|15|21
4|4|2014-11-22|N|Southern Illinois|W|53|46|18|49|.367|5|21|.238|12|19|.632|13|36|12|6|4|14|12||19|53|.358|2|11|.182|6|10|.600|9|30|6|4|1|13|21
5|5|2014-11-23|@|Kent State|W|66|59|19|38|.500|6|13|.462|22|27|.815|5|27|13|5|5|14|17||22|48|.458|4|12|.333|11|18|.611|8|22|8|7|4|9|21
6|6|2014-11-26||Lafayette|W|82|60|29|58|.500|9|20|.450|15|23|.652|17|45|17|8|7|18|14||25|56|.446|6|18|.333|4|9|.444|3|18|12|9|1|14|22
7|7|2014-11-28|@|Providence|L|66|72|24|58|.414|8|31|.258|10|14|.714|9|32|15|3|3|14|27||22|43|.512|3|13|.231|25|40|.625|4|30|15|7|5|11|15
8|8|2014-11-30||Hartford|W|69|57|22|47|.468|5|14|.357|20|28|.714|10|42|13|5|5|15|18||19|59|.322|6|18|.333|13|21|.619|8|27|9|7|0|11|21
9|9|2014-12-03|@|Bryant|W|67|60|23|50|.460|5|16|.313|16|26|.615|12|35|15|6|5|10|10||23|55|.418|10|25|.400|4|6|.667|7|25|12|5|1|12|22
10|10|2014-12-05|@|Connecticut|W|45|44|18|55|.327|3|21|.143|6|7|.857|9|31|12|10|4|11|15||19|43|.442|2|11|.182|4|6|.667|1|23|12|5|2|12|9
11|11|2014-12-08|@|Florida|L|47|85|16|47|.340|4|13|.308|11|15|.733|10|20|7|3|0|15|10||37|58|.638|10|19|.526|1|4|.250|12|32|18|10|6|10|12
12|12|2014-12-18|@|Vermont|W|57|56|20|42|.476|6|10|.600|11|15|.733|4|25|11|8|7|11|18||21|53|.396|7|16|.438|7|12|.583|9|27|13|2|4|12|18
13|13|2014-12-20||Albany (NY)|L|60|64|22|46|.478|8|20|.400|8|12|.667|7|25|15|5|7|15|18||22|48|.458|4|13|.308|16|18|.889|7|23|10|8|1|12|19
14|14|2014-12-30|@|Sacred Heart|W|70|64|23|51|.451|10|16|.625|14|18|.778|15|37|16|9|2|18|14||25|49|.510|7|16|.438|7|11|.636|4|18|16|9|5|15|16
15|15|2015-01-03|@|Vanderbilt|L (2 OT)|74|79|27|67|.403|10|29|.345|10|14|.714|12|34|14|2|2|17|26||23|56|.411|7|22|.318|26|34|.765|9|37|14|6|5|11|16
16|16|2015-01-09|@|NJIT|L|71|78|24|55|.436|7|21|.333|16|19|.842|8|34|14|4|3|15|25||25|54|.463|8|16|.500|20|28|.714|6|22|14|10|4|10|18
17|17|2015-01-10||Daniel Webster|W|102|47|38|66|.576|13|28|.464|13|17|.765|15|44|28|8|5|8|7||16|53|.302|10|25|.400|5|6|.833|7|18|5|6|0|16|15
18|18|2015-01-17|@|Brown|W|80|62|25|58|.431|7|19|.368|23|37|.622|14|42|12|7|6|9|18||23|61|.377|5|24|.208|11|18|.611|11|35|9|6|5|10|27
19|19|2015-01-24||Brown|W|69|65|20|47|.426|4|12|.333|25|37|.676|8|30|10|4|2|12|26||18|49|.367|3|18|.167|26|33|.788|8|30|9|5|1|13|27
20|20|2015-01-30|@|Columbia|W|63|59|22|51|.431|3|10|.300|16|27|.593|9|27|9|10|5|3|12||23|49|.469|10|18|.556|3|6|.500|9|28|11|2|3|14|23
21|21|2015-01-31|@|Cornell|W|65|57|19|48|.396|5|17|.294|22|33|.667|12|42|10|3|2|15|20||20|60|.333|4|21|.190|13|17|.765|8|29|11|9|2|8|25
22|22|2015-02-06||Dartmouth|W|81|66|23|45|.511|13|21|.619|22|32|.688|8|33|18|7|4|14|21||24|58|.414|6|19|.316|12|22|.545|14|31|9|7|7|10|26
23|23|2015-02-07||Harvard|L|50|52|17|54|.315|8|22|.364|8|13|.615|7|31|12|4|5|9|17||20|50|.400|3|10|.300|9|14|.643|8|38|11|5|4|12|13
24|24|2015-02-13|@|Pennsylvania|W|75|48|27|50|.540|12|22|.545|9|10|.900|8|25|19|7|5|10|15||16|45|.356|5|16|.313|11|15|.733|6|20|7|5|3|13|17
25|25|2015-02-14|@|Princeton|W|81|73|28|48|.583|6|13|.462|19|25|.760|6|23|13|5|3|11|17||25|48|.521|6|20|.300|17|19|.895|4|18|13|5|3|12|23
